university,name,job_title,academic_level,level_code,h_index,field_of_research,profile_url
Adelaide University,Kent Wilson,,,,,Accounting & Finance,https://adelaide.edu.au/people/kent.wilson
Adelaide University,Heather Prider,"Lecturer, Accounting",Lecturer,B,,Accounting & Finance,https://adelaide.edu.au/people/heather.prider
Adelaide University,Chris Kandunias,"Senior Lecturer, Accounting",Senior Lecturer,C,1,Accounting & Finance,https://adelaide.edu.au/people/chris.kandunias
Adelaide University,Jessica Yi,"Lecturer, Accounting",Lecturer,B,84,Accounting & Finance,https://adelaide.edu.au/people/jessica.yi
Adelaide University,Daffa Prayudya,,,,2,Accounting & Finance,https://adelaide.edu.au/people/d.prayudya
Adelaide University,Saira Saqib,,,,,Accounting & Finance,https://adelaide.edu.au/people/saira.saqib
Adelaide University,Greg Lucas,Lecturer B,Lecturer,B,,Accounting & Finance,https://adelaide.edu.au/people/greg.lucas
Adelaide University,Youngnae Jun,,,,0,Accounting & Finance,https://adelaide.edu.au/people/youngnae.jun
Adelaide University,John Christie,"Lecturer, Finance",Lecturer,B,16,Accounting & Finance,https://adelaide.edu.au/people/john.christie
Adelaide University,Scott Copeland,,,,7,Accounting & Finance,https://adelaide.edu.au/people/scott.copeland
Adelaide University,Hasni Gunasekara,,,,1,Accounting & Finance,https://adelaide.edu.au/people/hasni.gunasekara
Adelaide University,Peter Rossini,Senior Lecturer,Senior Lecturer,C,13,Accounting & Finance,https://adelaide.edu.au/people/peter.rossini
Adelaide University,Prof Lan Snell,,,,,Accounting & Finance,https://adelaide.edu.au/people/lan.snell
Adelaide University,Rob Whait,Senior Lecturer,Senior Lecturer,C,6,Accounting & Finance,https://adelaide.edu.au/people/rob.whait
Adelaide University,Amanpreet Kaur,Senior Lecturer,Senior Lecturer,C,13,Accounting & Finance,https://adelaide.edu.au/people/amanpreet.kaur01
Adelaide University,Prof Tony Cavoli,Professor of International Economics,Professor,E,,Accounting & Finance,https://adelaide.edu.au/people/tony.cavoli
