journal_name,journal_canonical,issn,issn_online,issn_scimago,quality_rank,abdc_list_year,abdc_for_code,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_categories,impact_factor,impact_factor_5yr,publication_count,abdc_match_type,scimago_match_type,issn_conflict,quality_rank_source,sjr_source,sjr_quartile_source,h_index_source,cites_per_doc_2y_source,impact_factor_source,impact_factor_5yr_source
Accounting and Finance,Accounting and Finance,0810-5391,1467-629X,,A,2025,3501,0.814,Q1,77.0,3.53,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)",2.6,3.6,24,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Australian Journal of Management,Australian Journal of Management,0312-8962,1327-2020,,A,2025,3502,0.778,Q1,57.0,3.96,"Business, Management and Accounting (miscellaneous) (Q1)",3.1,5.0,14,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Pacific-Basin Finance Journal,Pacific-Basin Finance Journal,0927-538X,1879-0585,,A,2025,3502,1.322,Q1,92.0,6.12,Economics and Econometrics (Q1); Finance (Q1),5.4,5.6,14,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
European Accounting Review,The European Accounting Review,0963-8180,1468-4497,,A*,2025,3501,2.272,Q1,98.0,6.0,"Accounting (Q1); Aerospace Engineering (Q1); Arts and Humanities (miscellaneous) (Q1); Automotive Engineering (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1); History (Q1)",2.2,4.8,12,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Accounting & Finance,Accounting and Finance,0810-5391,1467-629X,,A,2025,3501,0.814,Q1,77.0,3.53,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)",2.6,3.6,10,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Auditing: A Journal of Practice and Theory,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),3.7,4.1,7,title,title-variant,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Australian Accounting Review,Australian Accounting Review,1035-6908,1835-2561,,B,2025,3501,0.702,Q2,54.0,3.1,Accounting (Q2),2.8,3.1,7,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Journal of Business Finance and Accounting,Journal of Business Finance & Accounting,0306-686X,1468-5957,,A*,2025,3501,1.202,Q1,102.0,3.81,"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)",2.6,3.5,7,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Journal of Business Ethics,Journal of Business Ethics,0167-4544,1573-0697,,A,2025,3507,3.138,Q1,304.0,10.35,"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)",6.3,9.7,6,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Abacus,Abacus,0001-3072,1467-6281,,A,2025,3501,0.762,Q2,60.0,3.2,Accounting (Q2),1.7,2.8,5,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Auditing: A Journal of Practice & Theory,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),3.7,4.1,5,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
The British Accounting Review,British Accounting Review,0890-8389,1095-8347,,A*,2025,3501,1.705,Q1,100.0,8.33,Accounting (Q1),8.0,8.5,5,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Australian Tax Forum,Australian Tax Forum,0812-695X,,,A*,2025,4801,,,,,,,,4,title,,,,,,,,,
Information Systems Research,Information Systems Research,1047-7047,1526-5536,,A*,2025,4609,5.679,Q1,203.0,11.02,Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1),7.8,9.9,4,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
International Journal of Auditing,International Journal of Auditing,1090-6738,1099-1123,,A,2025,3501,0.681,Q1,42.0,3.19,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2)",2.7,3.1,4,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Asia Pacific Journal of Management,Asia Pacific Journal of Management,0217-4561,1572-9958,,A,2025,3507,1.297,Q1,105.0,6.27,"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Strategy and Management (Q1)",9.7,7.5,3,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Contemporary Accounting Research,Contemporary Accounting Research,0823-9150,1911-3846,,A*,2025,3501,3.686,Q1,141.0,6.37,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),4.9,6.8,3,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
European Financial Management,European Financial Management,1354-7798,1468-036X,,A,2025,3502,1.188,Q1,82.0,5.58,"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)",4.2,4.1,3,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Financial Accountability & Management,Financial Accountability and Management,0267-4424,1468-0408,,A,2025,3501,1.136,Q1,58.0,4.33,"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)",2.3,3.7,3,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
International Review of Finance,International Review of Finance,1369-412X,1468-2443,,A,2025,3502,0.636,Q2,35.0,2.96,Economics and Econometrics (Q2); Finance (Q2),2.3,2.2,3,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Journal of Business Finance & Accounting,Journal of Business Finance & Accounting,0306-686X,1468-5957,,A*,2025,3501,1.202,Q1,102.0,3.81,"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)",2.6,3.5,3,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Journal of Corporate Finance,Journal of Corporate Finance,0929-1199,1872-6313,,A*,2025,3502,2.706,Q1,166.0,7.97,Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1),6.9,10.5,3,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Journal of Empirical Finance,Journal of Empirical Finance,0927-5398,1879-1727,,A,2025,3502,1.139,Q1,101.0,3.05,Economics and Econometrics (Q1); Finance (Q1),2.5,2.6,3,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Journal of Financial Markets,Journal of Financial Markets,1386-4181,1878-576X,,A*,2025,3502,1.544,Q1,77.0,2.7,Economics and Econometrics (Q1); Finance (Q1),2.5,2.5,3,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
MIS Quarterly,MIS Quarterly,0276-7783,2162-9730,,A*,2025,4609,4.061,Q1,294.0,7.96,Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1),7.3,11.9,3,title,prefix,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
The Accounting Review,The Accounting Review,0001-4826,1558-7967,,A*,2025,3501,4.403,Q1,217.0,3.71,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),4.0,7.2,3,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
The International Journal of Accounting,The International Journal of Accounting,0020-7063,2213-3933,,A,2025,3501,0.436,Q2,75.0,1.71,Finance (Q2); Accounting (Q3),2.2,2.4,3,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Accounting and Business Research,Accounting and Business Research,0001-4788,2159-4260,,A,2025,3501,1.065,Q1,77.0,3.62,Accounting (Q1); Finance (Q1),2.5,3.0,2,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Accounting Forum,Accounting Forum,0155-9982,1467-6303,,A,2025,3501,1.087,Q1,70.0,5.81,Accounting (Q1); Finance (Q1),4.1,4.3,2,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Accounting Research Journal,Accounting Research Journal,1030-9616,,,B,2025,3501,0.62,Q2,37.0,5.11,Accounting (Q2); Finance (Q2),3.3,3.0,2,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
"Accounting, Accountability & Performance",Accounting Accountability and Performance,1445-954X,,,C,2025,3501,,,,,,,,2,title,,,,,,,,,
Decision Support Systems,Decision Support Systems,0167-9236,1873-5797,,A*,2025,4609,2.079,Q1,203.0,9.06,Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1),7.5,8.2,2,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Encyclopedia of Business and Professional Ethics,,,,,none,2025,,,,,,,,,2,,,,,,,,,,
