university,name,year,journal_name,title,doi,classification,recommended_action,reason,evidence_url
University of Melbourne,Di (Demi) Wang,2000,Journal of Crystal Growth,Growth of high-quality cubic GaN on Si (0 0 1) coated with ultra-thin flat SiC by plasma-assisted molecular-beam epitaxy,10.1016/S0022-0248(00)00430-9,confirmed_false_identity,excluded_now,Semiconductor paper; official Demi Wang profile is an accounting lecturer whose interests are accounting education and financial accounting.,https://fbe.unimelb.edu.au/our-people/staff/accounting/demi-wang
University of Melbourne,Di (Demi) Wang,2002,Journal of Crystal Growth,Effect of Si doping on the growth and microstructure of GaN grown on Si(111) using SiC as a buffer layer,10.1016/S0022-0248(02)01310-6,confirmed_false_identity,excluded_now,Semiconductor paper attributed to a different Di/Deliang Wang; does not match the official accounting profile.,https://fbe.unimelb.edu.au/our-people/staff/accounting/demi-wang
University of Melbourne,Di (Demi) Wang,2002,Journal of Crystal Growth,Initial growth of hexagonal GaN grown on an Si(111) substrate coated with an ultra-thin SiC buffer layer,10.1016/S0022-0248(01)02220-5,confirmed_false_identity,excluded_now,Semiconductor paper attributed to a different Di/Deliang Wang; does not match the official accounting profile.,https://fbe.unimelb.edu.au/our-people/staff/accounting/demi-wang
University of Melbourne,Like Jiang,2024,Corrosion Engineering Science and Technology,"A mini review on coated pipes: Materials, manufacturing and anti-corrosion protection",10.1177/1478422x241278895,confirmed_false_identity,excluded_now,Materials-engineering paper; official Like Jiang profile is an accounting/auditing scholar.,https://fbe.unimelb.edu.au/our-people/staff/accounting/like-jiang
University of Melbourne,Like Jiang,2023,Journal of Magnetism and Magnetic Materials,Magneto-mechanical properties of anisotropic magnetorheological elastomers with tilt angle of magnetic chain under compression mode,10.1016/j.jmmm.2023.170441,confirmed_false_identity,excluded_now,Materials-engineering paper with non-Melbourne engineering affiliations; does not match the official accounting profile.,https://fbe.unimelb.edu.au/our-people/staff/accounting/like-jiang
University of Melbourne,Like Jiang,2024,Engineering Fracture Mechanics,A four-point bending technique for characterizing the interface fracture toughness between soft thin films and stiff substrates,10.1016/j.engfracmech.2024.109881,confirmed_false_identity,excluded_now,Engineering paper; official Like Jiang profile is an accounting/auditing scholar.,https://fbe.unimelb.edu.au/our-people/staff/accounting/like-jiang
University of Melbourne,Bo Qin,2024,Sustainability,Urban Transportation Data Research Overview: A Bibliometric Analysis Based on CiteSpace,10.3390/su16229615,confirmed_false_identity,excluded_now,Transport/bibliometrics paper by a different Bo Qin and Chinese institutional affiliations.,https://doi.org/10.3390/su16229615
University of Melbourne,Bo Qin,2024,Sustainability,The Impact of the National Civilized City Program on the Environmental Social and Governance Performance of Enterprises: Evidence from China,10.3390/su16208888,manual_identity_review,exclude_if_confirmed,Chinese namesake record appears outside the Melbourne accounting author context; confirm author affiliation before deletion.,https://doi.org/10.3390/su16208888
University of Melbourne,Bo Qin,2020,Journal of Computer Research and Development,Cybersecurity Challenges from the Perspective of Emergence,10.7544/issn1000-1239.2020.20190379,confirmed_false_identity,excluded_now,Cybersecurity paper by Chinese authors; not the Melbourne accounting researcher.,https://doi.org/10.7544/issn1000-1239.2020.20190379
University of Melbourne,Bo Qin,2006,Journal of Computer Research and Development,A Practical Electronic Auction with Bids Confidential,10.1360/crad20060105,confirmed_false_identity,excluded_now,Chinese cryptography/computer-science paper; not the Melbourne accounting researcher.,https://doi.org/10.1360/crad20060105
