journal_id,journal_name,issn,eissn,quality_rank,abdc_for,abdc_match_method,abdc_match_status,abdc_list_version,impact_factor,five_year_impact_factor,jcr_year,jcr_journal_id,clarivate_match_method,clarivate_match_status,impact_factor_status,clarivate_retrieved_at,publication_count
journal-424ae14da8ffdd4a,Abacus,0001-3072,1467-6281,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,10
journal-bb4d8bc93e51aeb1,Academy of Management Proceedings,0065-0668,2151-6561,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-90f0564ecae9a02b,Academy of Taiwan Business Management Review,1813-0534,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-38ada156e477a096,Accounting & Finance,1467-629X,1467-629X,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,4
journal-fa183717e2bda3bc,Accounting and Business Research,0001-4788,2159-4260,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,12
journal-dcd2ad6a6c6a43d3,Accounting and Finance,0810-5391,1467-629X,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,83
journal-50f918390001d1e4,Accounting Education,0963-9284,1468-4489,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,7
journal-7022aabc6e624278,Accounting Forum,0155-9982,1467-6303,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-17eaf29560c92ee9,Accounting History,1032-3732,1749-3374,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,11
journal-9bbae930ccef1f07,Accounting Horizons,0888-7993,1558-7975,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,5
journal-c110ebb86c8e13dc,Accounting Organizations and Society,0361-3682,1873-6289,A*,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,20
journal-ed66ebad57637c7c,Accounting Research Journal,1030-9616,1839-5465,B,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,12
journal-0b2c2622fe839e20,Accounting Review,1558-7967,,A*,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-a7494085b34495fd,"Accounting, Accountability and Performance",1445-954X,,C,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-756d2d571517f7fe,"Accounting, Accountability and Performance",1323-711X,,C,3501,exact normalized journal title,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
