review_type,university,field_of_research,researcher_id,researcher_name,publication_id,title,review_reason,source_url
researcher,The University of Western Australia,Accounting,uwa-accounting-003,Collette Chesters,,,Pure profile is not classified as research; ORCID returned no OpenAlex author,https://research-repository.uwa.edu.au/en/persons/collette-chesters/
researcher,The University of Western Australia,Accounting,uwa-accounting-005,Dhammi Azariadis,,,Pure profile is not classified as research; ORCID returned no OpenAlex author,https://research-repository.uwa.edu.au/en/persons/dr-dhammi-azariadis/
researcher,The University of Western Australia,Accounting,uwa-accounting-006,Fangbin Lin,,,No ORCID; automatic name-only OpenAlex matching is disabled,https://research-repository.uwa.edu.au/en/persons/fangbin-lin/
researcher,The University of Western Australia,Accounting,uwa-accounting-008,Glen Hutchings,,,Pure profile is not classified as research,https://research-repository.uwa.edu.au/en/persons/glen-hutchings/
researcher,The University of Western Australia,Accounting,uwa-accounting-009,Leo Langa,,,academic level requires client confirmation; UWA Assistant Professor mapping requires confirmation; Pure profile is not classified as research; No ORCID; automatic name-only OpenAlex matching is disabled,https://research-repository.uwa.edu.au/en/persons/leo-langa/
researcher,The University of Western Australia,Accounting,uwa-accounting-011,Mark Holub,,,No ORCID; automatic name-only OpenAlex matching is disabled,https://research-repository.uwa.edu.au/en/persons/mark-holub/
researcher,The University of Western Australia,Accounting,uwa-accounting-012,Nikki Schonfeldt,,,Pure profile is not classified as research,https://research-repository.uwa.edu.au/en/persons/nikki-schonfeldt/
researcher,The University of Western Australia,Accounting,uwa-accounting-013,Phil Hancock,,,No ORCID; automatic name-only OpenAlex matching is disabled,https://research-repository.uwa.edu.au/en/persons/phil-hancock/
researcher,The University of Western Australia,Accounting,uwa-accounting-015,Ricky Chung,,,Pure profile is not classified as research; ORCID returned no OpenAlex author,https://research-repository.uwa.edu.au/en/persons/ricky-chung/
researcher,The University of Western Australia,Accounting,uwa-accounting-016,Simeng Liu,,,ORCID returned no OpenAlex author,https://research-repository.uwa.edu.au/en/persons/simeng-liu/
researcher,The University of Western Australia,Accounting,uwa-accounting-018,Thanesvary Subraamanniam,,,Pure profile is not classified as research,https://research-repository.uwa.edu.au/en/persons/thanesvary-subraamanniam/
researcher,The University of Western Australia,Finance,uwa-finance-003,Dirk Baur,,,No ORCID; automatic name-only OpenAlex matching is disabled,https://research-repository.uwa.edu.au/en/persons/dirk-baur/
researcher,The University of Western Australia,Finance,uwa-finance-004,Duc Vo,,,Pure profile is not classified as research,https://research-repository.uwa.edu.au/en/persons/duc-vo/
researcher,The University of Western Australia,Finance,uwa-finance-006,Farhan Shazia,,,Pure profile is not classified as research,https://research-repository.uwa.edu.au/en/persons/farhan-shazia/
researcher,The University of Western Australia,Finance,uwa-finance-008,Gary Smith,,,Pure profile is not classified as research; No ORCID; automatic name-only OpenAlex matching is disabled,https://research-repository.uwa.edu.au/en/persons/gary-smith/
researcher,The University of Western Australia,Finance,uwa-finance-011,Kevin Na,,,No ORCID; automatic name-only OpenAlex matching is disabled,https://research-repository.uwa.edu.au/en/persons/kevin-na/
researcher,The University of Western Australia,Finance,uwa-finance-014,Mosharraf Hossain,,,Pure profile is not classified as research,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain/
researcher,The University of Western Australia,Finance,uwa-finance-018,Russell Poskitt,,,Pure profile is not classified as research; No ORCID; automatic name-only OpenAlex matching is disabled,https://research-repository.uwa.edu.au/en/persons/russell-poskitt/
researcher,The University of Western Australia,Finance,uwa-finance-020,Vincent Chong,,,academic level requires client confirmation,https://research-repository.uwa.edu.au/en/persons/vincent-chong/
researcher,The University of Western Australia,Finance,uwa-finance-021,Yeok-Fun Mah,,,Pure profile is not classified as research; No ORCID; automatic name-only OpenAlex matching is disabled,https://research-repository.uwa.edu.au/en/persons/yeok-fun-mah/
researcher,The University of Western Australia,Finance,uwa-finance-024,Zhengge Zhou,,,ORCID returned no OpenAlex author,https://research-repository.uwa.edu.au/en/persons/zhengge-zhou/
researcher,The University of Melbourne,Accounting,unimelb-accounting-002,Professor Rosemary Addis,,,appointment category requires client decision; no Find an Expert profile linked; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/rosemary-addis
researcher,The University of Melbourne,Accounting,unimelb-accounting-004,Dr Stuart Black,,,appointment category requires client decision; academic level could not be mapped automatically,https://findanexpert.unimelb.edu.au/profile/900177
researcher,The University of Melbourne,Accounting,unimelb-accounting-006,Mr Noel Boys,,,teaching/education-focused role; academic level could not be mapped automatically; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/11503
researcher,The University of Melbourne,Accounting,unimelb-accounting-007,Professor Albie Brooks,,,No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/177702
researcher,The University of Melbourne,Accounting,unimelb-accounting-008,Associate Professor Geoffrey Burrows,,,no Find an Expert profile linked; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/geoffrey_burrows
researcher,The University of Melbourne,Accounting,unimelb-accounting-009,Mr Danny Burton,,,no Find an Expert profile linked; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/danny-burton
researcher,The University of Melbourne,Accounting,unimelb-accounting-010,Dr Phill Cobbin,,,appointment category requires client decision; academic level could not be mapped automatically; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/13986
researcher,The University of Melbourne,Accounting,unimelb-accounting-011,Mr Wayne Coetzee,,,teaching/education-focused role; no Find an Expert profile linked; academic level could not be mapped automatically; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/wayne-coetzee
researcher,The University of Melbourne,Accounting,unimelb-accounting-012,Mr Bob Cornick,,,teaching/education-focused role; no Find an Expert profile linked; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/bob-cornick
researcher,The University of Melbourne,Accounting,unimelb-accounting-013,Mr Greg Cusack,,,teaching/education-focused role; no Find an Expert profile linked; academic level could not be mapped automatically; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/greg-cusack
researcher,The University of Melbourne,Accounting,unimelb-accounting-015,Dr Tongqing (Tony) Ding,,,no Find an Expert profile linked; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/tongqing-ding
researcher,The University of Melbourne,Accounting,unimelb-accounting-016,Mr Matt Dyki,,,teaching/education-focused role; academic level could not be mapped automatically; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/223994
researcher,The University of Melbourne,Accounting,unimelb-accounting-019,Ms Lisa Greig,,,teaching/education-focused role; no Find an Expert profile linked; academic level could not be mapped automatically; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/lisa-greig
researcher,The University of Melbourne,Accounting,unimelb-accounting-020,Ms Jane Hronsky,,,ORCID returned no OpenAlex author,https://findanexpert.unimelb.edu.au/profile/14595
researcher,The University of Melbourne,Accounting,unimelb-accounting-024,Professor Flora Kuang,,,No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/743113
researcher,The University of Melbourne,Accounting,unimelb-accounting-025,Mr Warren Lee,,,teaching/education-focused role; no Find an Expert profile linked; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/warren-lee
researcher,The University of Melbourne,Accounting,unimelb-accounting-026,Professor Stewart Leech,,,ORCID returned no OpenAlex author,https://findanexpert.unimelb.edu.au/profile/278
researcher,The University of Melbourne,Accounting,unimelb-accounting-027,Professor Anne Lillis,,,appointment category requires client decision,https://findanexpert.unimelb.edu.au/profile/14425
researcher,The University of Melbourne,Accounting,unimelb-accounting-028,Ms Joana Linggo Liong,,,teaching/education-focused role; no Find an Expert profile linked; academic level could not be mapped automatically; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/joana-linggo-liong
researcher,The University of Melbourne,Accounting,unimelb-accounting-029,Dr Junhao Liu,,,No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/1093039
researcher,The University of Melbourne,Accounting,unimelb-accounting-030,Mr Derick Lyle,,,teaching/education-focused role; academic level could not be mapped automatically; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/826860
researcher,The University of Melbourne,Accounting,unimelb-accounting-031,Dr Rebecca Mattocks,,,no Find an Expert profile linked; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/rebecca-mattocks
researcher,The University of Melbourne,Accounting,unimelb-accounting-032,Mr Warren McKeown,,,teaching/education-focused role; academic level could not be mapped automatically; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/178662
researcher,The University of Melbourne,Accounting,unimelb-accounting-033,Dr Tasneem Mohammed,,,teaching/education-focused role; no Find an Expert profile linked; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/tasneem-mohammed
researcher,The University of Melbourne,Accounting,unimelb-accounting-037,Professor Brad Potter,,,No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/20553
researcher,The University of Melbourne,Accounting,unimelb-accounting-039,Ms Michelle Sabe,,,no Find an Expert profile linked; No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://fbe.unimelb.edu.au/our-people/staff/accounting/michelle-sabe
researcher,The University of Melbourne,Accounting,unimelb-accounting-041,Ms Maggie Singorahardjo,,,no Find an Expert profile linked; academic level could not be mapped automatically,https://fbe.unimelb.edu.au/our-people/staff/accounting/maggie-singorahardjo
researcher,The University of Melbourne,Accounting,unimelb-accounting-043,Professor Nasser Spear,,,No Minerva internal-author identity found in the departmental seed collection; No ORCID; automatic name-only OpenAlex matching is disabled,https://findanexpert.unimelb.edu.au/profile/1559
