issn,issn_online,title,for_code,quality_rank,abdc_edition
16194500,16142411,4OR,3599,B,2025
15287106,15287106,AACE International Transactions,3599,B,2025
00013072,14676281,Abacus,3501,A,2025
1018161X,,Academia Economic Papers,3801,C,2025
19416520,19416067,Academy of Management Annals,3507,A*,2025
21681007,,Academy of Management Discoveries,3507,A*,2025
00014273,19480989,Academy of Management Journal,3507,A*,2025
1537260X,19449585,Academy of Management Learning and Education,3507,A*,2025
15589080,19434529,Academy of Management Perspectives,3507,A,2025
03637425,19303807,Academy of Management Review,3507,A*,2025
10956298,15282678,Academy of Marketing Studies Journal,3506,B,2025
00014575,18792057,Accident Analysis and Prevention,3509,A*,2025
17457718,,Accountancy Business and the Public Interest,3501,B,2025
15197077,1808057X,Accounting & Finance Journal / Revista Contabilidade & Finanças,3501,C,2025
1445954X,,Accounting Accountability and Performance,3501,C,2025
00014788,21594260,Accounting and Business Research,3501,A,2025
08105391,1467629X,Accounting and Finance,3501,A,2025
1944592X,,Accounting and Taxation,3501,C,2025
15309320,,Accounting and the Public Interest,3501,B,2025
09513574,17584205,Accounting Auditing and Accountability Journal,3501,A*,2025
09639284,14684489,Accounting Education,3501,A,2025
10410392,,Accounting Educators Journal,3501,B,2025
01559982,14676303,Accounting Forum,3501,A,2025
01484184,,Accounting Historians Journal,3501,B,2025
10323732,17493374,Accounting History,3501,A,2025
21552851,2155286X,Accounting History Review,3501,B,2025
08887993,15587975,Accounting Horizons,3501,A,2025
17449480,17449499,Accounting in Europe,3501,A,2025
1911382X,19113838,Accounting Perspectives,3501,B,2025
10309616,,Accounting Research Journal,3501,B,2025
29499453,,Accounting Theory and Practice,3501,C,2025
21946051,21522820,"Accounting, Economics and Law – A Convivium",3501,B,2025
07919638,,"Accounting, Finance and Governance Review",3501,C,2025
03613682,18736289,"Accounting, Organizations and Society",3501,A*,2025
10468188,15582868,ACM Transactions on Information Systems,4609,C,2025
10493301,15581195,ACM Transactions on Modeling and Computer Simulation,3599,B,2025
00016373,15882659,Acta Oeconomica,3899,C,2025
00016918,18736297,Acta Psychologica,3507,A,2025
03534316,18486061,Acta Turistica,3508,C,2025
12123285,23364297,Acta Universitatis Bohemiae Meridionalis,3801,C,2025
1326964X,1326964X,Action Learning and Action Research Journal,3507,C,2025
14767333,14767341,Action Learning Research and Practice,3507,C,2025
14697874,17412625,Active Learning in Higher Education,3505,B,2025
07325428,,Actuarial Research Clearinghouse,3502,C,2025
00651915,,Adelaide Law Review,4801,A,2025
00953997,15523039,Administration and Society,3507,B,2025
00018392,19303815,Administrative Science Quarterly,3507,A*,2025
,20763387,Administrative Sciences,3507,C,2025
10841806,19490461,Administrative Theory and Praxis,3507,B,2025
09723617,,Advances and Applications in Statistics,4905,C,2025
08826110,10465715,Advances in Accounting,3501,A,2025
14751488,,Advances in Accounting Behavioral Research,3501,A,2025
10854622,,Advances in Accounting Education: teaching and curriculum innovations,3501,C,2025
00018678,14756064,Advances in Applied Probability,4905,A,2025
00989258,,Advances in Consumer Research,3506,B,2025
15234223,15523055,Advances in Developing Human Resources,3505,C,2025
14793598,,Advances in Environmental Accounting and Management,3501,B,2025
00652601,15578410,Advances in Experimental Social Psychology,3507,A*,2025
17453542,,Advances in Hospitality and Leisure,3504,C,2025
15715027,,Advances in International Management,3507,C,2025
14747979,,Advances in International Marketing,3506,C,2025
14747871,,Advances in Management Accounting,3501,A,2025
10417060,,Advances in Public Interest Accounting,3501,C,2025
07423322,,Advances in Strategic Management,3507,C,2025
10587497,,Advances in Taxation,4801,B,2025
24751790,15347311,Advertising & Society Review,3506,C,2025
1024266X,,Afaq Iqtisadiyyah,3801,C,2025
08503907,,Africa Development/Afrique et Developpement,3899,C,2025
10176772,14678268,African Development Review,3899,C,2025
01452258,21639108,African Economic History,3801,C,2025
20468083,20468091,"African Journal of Accounting, Auditing and Finance",3501,C,2025
19933738,25219871,African Journal of Agricultural and Resource Economics,3801,B,2025
17504554,17504562,African Journal of Business and Economic Research,3801,C,2025
20400705,20400713,African Journal of Economic and Management Studies,3507,C,2025
20464770,20464789,African Journal of Economic and Sustainable Development,3801,C,2025
20421478,24104906,African Review of Economics and Finance,3801,C,2025
00020397,18686869,Afrika Spectrum,3801,C,2025
17516447,17516455,Afro-Asian Journal of Finance and Accounting,3502,C,2025
1522936X,,AgBioForum,3801,C,2025
13221833,14474735,Agenda: a journal of policy analysis and reform,3801,B,2025
07424477,15206297,Agribusiness: An international journal,3801,C,2025
10682805,23722614,Agricultural and Resource Economics Review,3801,B,2025
01695150,15740862,Agricultural Economics,3801,A,2025
09713441,09740279,Agricultural Economics Research Review,3899,C,2025
11092580,,Agricultural Economics Review,3899,C,2025
00021466,20416326,Agricultural Finance Review,3502,C,2025
0889048X,15728366,Agriculture and Human Values,3801,B,2025
