researcher_name,title,year,doi
Sarah Adams,Understanding Collective Impact in Australia: A new approach to interorganizational collaboration,2018,10.1177/0312896217705178
Sorin Daniliuc,The Interaction of Post-Acquisition Integration and Acquisition Focus in Relation to Long-Run Performance,2014,10.1111/irfi.12040
Neil Fargher,The impact of Ball and Brown (1968) on generations of research,2019,10.2139/ssrn.3304915
Neil Fargher,Accounting for financial instruments with characteristics of debt and equity: finding a way forward,2019,10.1111/acfi.12280
Neil Fargher,The role of the audit committee in their oversight of whistle-blowing,2018,10.2308/ajpt-51769
Neil Fargher,Further Evidence on the Effect of Regulation on the Exit of Small Auditors from the Audit Market and Resulting Audit Quality,2018,10.2308/ajpt-51943
Neil Fargher,Trends in Auditor Reporting in Australia: A Synthesis and Opportunities for Research,2016,10.1111/auar.12124
Neil Fargher,Audit Quality for US-listed Chinese Companies,2016,10.1111/ijau.12085
Neil Fargher,Does Short Selling Amplify Price Declines or Align Stocks with Their Fundamental Values?,2014,10.1287/mnsc.2013.1872
Neil Fargher,How do auditors perceive CEO's risk-taking incentives?,2014,10.1111/acfi.12044
Neil Fargher,Changes in the measurement of fair value: Implications for accounting earnings,2014,10.1016/j.accfor.2014.06.002
Neil Fargher,"Cross-listing as a Global Depository Receipt: The influence of emerging markets, regulation, and accounting regime",2014,10.1016/j.jcae.2014.10.004
Neil Fargher,"The influence of sunk costs, personal responsibility and culture on the tendency of accountants to facilitate escalation of commitment",2014,10.1108/par-12-2012-0065
Neil Fargher,Companies Use of Whistle-Blowing to Detect Fraud: An Examination of Corporate Whistle-blowing Policies,2012,10.1007/s10551-012-1348-9
Neil Fargher,Audit Reports in Australia during the Global Financial Crisis,2011,10.1111/j.1835-2561.2010.00118.x
Neil Fargher,Accounting for investments and the relevance of losses to firm value,2010,10.1016/j.intacc.2010.01.005
Susanna Ho,Continued Voluntary Participation Intention in Firm-Participating Open Source Software Projects,2017,10.1287/isre.2016.0687
Susanna Ho,Examining the effects of malfunctioning personalized services on online users' distrust and behaviors,2013,10.1016/j.dss.2013.05.023
Susanna Ho,The Effects of Location Personalization on Individuals' Intention to Use Mobile Services,2012,10.1016/j.dss.2012.05.012
Susanna Ho,Timing of Adaptive Web Personalization and its Effects on Online Consumer Behavior,2011,10.1287/isre.1090.0262
Susanna Ho,Web Personalization as a Persuasion Strategy: An Elaboration Likelihood Model Perspective,2005,10.1287/isre.1050.0058
Janet Lee,"From intention to action on sustainability reporting: the role of individual, organisational and institutional factors during war and post-war periods",2022,10.1016/j.bar.2021.101021
Janet Lee,The diffusion of sustainability key performance indicators in a developing country context,2021,10.1108/aaaj-07-2019-4106
Janet Lee,"Australian not-for-profit sector views on the conceptual framework, accounting standards and accounting information",2021,10.1111/acfi.12605
Janet Lee,Sustainability Reporting and the Theory of Planned Behaviour,2015,10.1108/aaaj-08-2013-1449
Janet Lee,"GAAP, GFS and AASB 1049: perceptions of public sector stakeholders",2013,10.1111/j.1467-629x.2012.00469.x
Janet Lee,Mind Your Accruals: Perceived Usefulness of Financial Information in the Australian Public Sector under Different Accounting Systems,2010,10.1111/j.1468-0408.2010.00502.x
Janet Lee,"Executive Performance-based Remuneration, Performance Change and Board Structures",2009,10.1016/j.intacc.2009.03.002
Janet Lee,Preparing performance information in the public sector: an Australian perspective,2008,10.1111/j.1468-0408.2008.00449.x
Janet Lee,Performance Reporting by Australian Government Trading Enterprises: an Empirical Study 1998-2002,2006,10.1111/j.1835-2561.2006.tb00358.x
Janet Lee,Infrastructure Assets Disclosure in Australian Public Sector Annual Reports,2004,10.1016/j.accfor.2004.08.002
Lingwei Li,Pilot CEOs and corporate cash holdings,2025,10.1111/eufm.12545
Lingwei Li,Workforce education and corporate innovation,2022,10.1177/03128962221077453
Lingwei Li,Busy directors and firm performance: a replication and extension of Hauser (2018),2021,10.1111/acfi.12631
Lingwei Li,Busy directors and firm performance: Evidence from Australian mergers,2020,10.1016/j.pacfin.2020.101434
Louise Lu,Economic Policy Uncertainty and Firms’ Non-GAAP Reporting,2024,10.1080/09638180.2024.2368721
Louise Lu,Local community's social capital and CEO pay duration,2024,10.1111/jbfa.12781
Louise Lu,"The Opioid Crisis, Employee Health Capital, and Corporate Information Production",2023,10.2139/ssrn.4602184
Louise Lu,CEO equity incentive duration and expected crash risk,2023,10.1016/j.bar.2023.101265
Louise Lu,Corporate Social Responsibility Performance and the Reputational Incentives of Independent Directors,2022,10.1111/jbfa.12569
Louise Lu,Death is a Law: Death of Former Colleagues and Management Forecasts,2022,10.1016/j.aos.2022.101350
Louise Lu,Local political corruption and Firm's non-GAAP reporting,2021,10.1016/j.jcorpfin.2021.102071
Louise Lu,Financial Analyst Coverage and Corporate Social Performance: Evidence from Natural Experiments,2019,10.1002/smj.3066
Louise Lu,Analyst Coverage and Expected Crash Risk: Evidence from Exogenous Changes in Analyst Coverage,2018,10.2308/accr-52280
Louise Lu,Investment-related Pressure and Audit Risk,2017,10.2308/ajpt-51670
Louise Lu,Corporate Social Responsibility Disclosure and the Value of Cash Holdings,2017,10.1080/09638180.2016.1187074
Louise Lu,Financial Statement Comparability and Expected Crash Risk,2016,10.1016/j.jacceco.2015.12.003
Juliana Ng,Presentation Format and Financial Literacy: Accessibility and Assessability of Retirement Savings Statements,2015,10.1111/joca.12087
Juliana Ng,"GAAP, GFS and AASB 1049: Perceptions of Public Sector Stakeholders",2013,10.1111/j.1467-629x.2012.00469.x
Juliana Ng,Conceptual Framework Issues: Perspectives of Australian Public Sector Stakeholders,2012,10.1080/00014788.2012.670383
Juliana Ng,Mind Your Accruals: Perceived Usefulness of Financial Information in the Australian Public Sector Under Different Accounting Systems,2010,10.1111/j.1468-0408.2010.00502.x
Juliana Ng,The Moral Intensity of Reduced Audit Quality Acts,2008,10.2308/aud.2008.27.1.127
Juliana Ng,Effects of Employee Support on Junior Accountants’ Job Attitudes and Intention to Quit,2008,10.1111/j.1835-2561.2008.0016.x
Juliana Ng,The Interrelationship Between Management Control Mechanisms and Strategy,2007,10.1016/j.mar.2007.01.002
Juliana Ng,The Effect of Risk of Misstatement on the Propensity to Commit Reduced Audit Quality Acts Under Time Budget Pressure,2004,10.2308/aud.2004.23.2.159
