name,orcid,openalex_author_id
Sarah Adams,0000-0002-4737-4507,A5100632160
Sorin Daniliuc,0000-0001-9541-5652,A5039909432
Neil Fargher,0000-0003-2604-109X,A5007232227
Tejshree Kala,0000-0003-4145-2671,A5050496098
Eunice Khoo,0000-0001-8405-0504,A5075478832
Janet Lee,0000-0001-6492-0314,A5100761855
Lingwei Li,0000-0002-9855-8082,A5100623355
Louise Lu,0000-0002-5383-4303,A5073704082
Juliana Ng,0000-0002-1629-4731,A5038585982
Greg Shailer,0000-0002-4896-4197,A5046088722
Madhukar Singh,0000-0002-8369-863X,A5069865170
Rebecca Tan,0000-0003-1337-4338,A5014213665
Sonali Walpola,,A5066890274
Isabel Wang,0000-0002-7297-3384,A5103278655
Kathy Wang,,A5029534340
Marvin Wee,0000-0002-3097-9091,A5007556858
Keturah Whitford,,A5029899561
Jean You,,A5143759567
Xiu-Ye Zhang,0000-0002-5354-0655,A5047183478
Mohammed Abdullah Al Mamun,0000-0002-2104-7479,A5081186334
Antje Berndt,0000-0002-4436-2885,A5090443683
Jenni Bettman,,A5003467895
Dean Katselas,0000-0001-7378-0624,A5050367998
