journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Accounting Education,Accounting education: an international journal,Taylor & Francis,0963-9284; 1468-4489,A,2025,2.5,3.8,2025,0.879,Q1,58,5.76,2025
Journal of Accounting Literature,Journal of Accounting Literature,Elsevier BV,0737-4607; 2452-1469,A,2025,4.8,4.8,2025,0.912,Q2,31,3.8,2025
Higher Education Quarterly,Higher Education Quarterly,Wiley,0951-5224; 1468-2273,C,2025,2.5,2.7,2025,0.885,Q1,57,3.71,2025
International Journal of Critical Accounting,International journal of critical accounting,Inderscience Publishers,1757-9848; 1757-9856,C,2025,,,,,,,,
Critical Perspectives on Accounting,Critical perspectives on accounting,Elsevier BV,1045-2354; 1095-9955,A,2025,4.4,5.5,2025,2.1,Q1,97,5.37,2025
Journal of the Asia Pacific Centre for Environmental Accountability,Journal of the Asia Pacific Centre for Environmental Accountability,,,,,,,,,,,,
Urban Science,Urban Science,Multidisciplinary Digital Publishing Institute,2413-8851,,,3.2,3.2,2025,0.673,Q1,36,4.02,2025
Journal of Facilities Management,Journal of Facilities Management,Emerald Publishing Limited,1472-5967; 1741-0983,C,2025,2.4,2.8,2025,0.632,Q2,49,4.89,2025
Australasian Accounting Business and Finance Journal,"Australasian Accounting, Business and Finance Journal",University of Wollongong,1834-2000; 1834-2019,B,2025,1.0,1.8,2025,0.386,Q2,32,1.54,2025
Anziam Journal,Anziam Journal,Cambridge University Press,1446-1811; 1446-8735,,,0.8,0.9,2025,0.193,Q4,35,0.71,2025
Bulletin of the Australian Mathematical Society,Bulletin of the Australian Mathematical Society,Cambridge University Press,0004-9727; 1755-1633,,,0.6,0.6,2025,0.384,Q2,51,0.54,2025
Journal of the Australian Mathematical Society Series B Applied Mathematics,Journal of the Australian Mathematical Society Series B Applied Mathematics,,0334-2700; 1445-8810; 1839-4078,,,,,,,,,,
Chaos Solitons and Fractals,Chaos Solitons and Fractals,Elsevier BV,0960-0779; 1873-2887,,,5.7,5.1,2025,1.123,Q1,185,5.99,2025
Property Management,Property Management,Emerald Publishing Limited,0263-7472; 1758-731X,B,2025,1.6,1.5,2025,0.346,Q3,37,2.48,2025
Environment and Planning B: Urban Analytics and City Science,Environment and Planning B: Urban Analytics and City Science,SAGE Publishing,2399-8083; 2399-8091,A*,2025,2.9,3.8,2025,1.018,Q1,123,4.15,2025
Habitat International,Habitat International,Elsevier BV,0197-3975; 1873-5428,A,2025,8.5,9.1,2025,1.892,Q1,140,9.19,2025
Land Use Policy,Land use policy,Elsevier BV,0264-8377; 1873-5754,A,2025,6.6,7.4,2025,1.686,Q1,186,7.43,2025
Urban Studies: an international journal for research in urban studies,Urban studies,SAGE Publishing,0042-0980; 1360-063X,A*,2025,4.4,5.8,2025,1.809,Q1,195,6.39,2025
International Journal of Housing Markets and Analysis,International journal of housing markets and analysis,Emerald Publishing Limited,1753-8270; 1753-8289,B,2025,1.7,1.7,2025,0.398,Q2,34,2.67,2025
Pacific Rim Property Research Journal,Pacific Rim property research journal,Taylor & Francis,1444-5921; 2201-6716,C,2025,0.3,0.7,2025,0.154,Q4,24,0.43,2025
International Journal of Managerial Finance,International journal of managerial finance,Emerald Publishing Limited,1743-9132; 1758-6569,A,2025,2.7,2.7,2025,0.635,Q2,47,3.19,2025
Housing Studies,Housing studies,Taylor & Francis,0267-3037; 1466-1810,A,2025,2.7,4.2,2025,1.476,Q1,99,4.85,2025
International journal of water resources development,International journal of water resources development,Taylor & Francis,0790-0627; 1360-0648,,,2.8,2.9,2025,0.641,Q2,74,2.61,2025
Australian property journal,Australian property journal,,,,,,,,,,,,
Flinders journal of law reform,Flinders journal of law reform,,,,,,,,,,,,
Australian Land Economics Review,Australian Land Economics Review,,,,,,,,,,,,
Managing Sport and Leisure,Managing Sport and Leisure,Taylor & Francis,2375-0472; 2375-0480,B,2025,1.7,2.6,2025,0.738,Q2,50,3.4,2025
"Journal of Public Budgeting, Accounting and Financial Management","Journal of Public Budgeting, Accounting and Financial Management",Emerald Publishing Limited,1096-3367; 1945-1814,B,2025,3.1,3.3,2025,0.74,Q1,32,3.55,2025
Taxation Today,Taxation Today,,,,,,,,,,,,
Journal of the Australasian Tax Teachers Association,Journal of the Australasian Tax Teachers Association,,1832-911X,B,2025,0.3,0.4,2025,0.134,Q4,6,0.25,2025
New Zealand Journal of Taxation Law and Policy,New Zealand Journal of Taxation Law and Policy,,1322-4417,A,2025,,,,,,,,
Journal of Australian Taxation,Journal of Australian Taxation,,1440-0405,A,2025,,,,0.115,Q4,4,0.06,2025
Australian Tax Review,Australian Tax Review,,0311-094X,A,2025,0.1,0.1,2025,,,,,
British Accounting Review,The British Accounting Review,Elsevier BV,0890-8389; 1095-8347,A*,2025,8.0,8.5,2025,1.705,Q1,100,8.33,2025
Australian Tax Forum,Australian Tax Forum,,0812-695X,A*,2025,,,,,,,,
Journal of Cleaner Production,Journal of cleaner production,Elsevier BV,0959-6526; 1879-1786,C,2025,10.7,11.0,2025,2.019,Q1,397,11.78,2025
Journal of Property Investment & Finance,Journal of Property Investment and Finance,Emerald Publishing Limited,1463-578X; 1470-2002,B,2025,2.2,2.3,2025,0.564,Q2,47,2.29,2025
eJournal of Tax Research,eJournal of tax research,,1448-2398,A,2025,0.3,0.4,2025,0.19,Q4,15,0.65,2025
Journal of the American Chemical Society,Journal of the American Chemical Society,American Chemical Society,0002-7863; 1520-5126; 1943-2984,,,16.6,16.1,2025,5.491,Q1,759,15.53,2025
Meditari Accountancy Research,Meditari Accountancy Research,Emerald Publishing Limited,1022-2529; 2049-372X; 2049-3738,A,2025,3.8,5.4,2025,0.974,Q1,59,5.94,2025
Accounting Auditing and Accountability Journal,Accounting Auditing & Accountability Journal,Emerald Publishing Limited,0951-3574; 1368-0668; 1758-4205; 2051-3151,A*,2025,2.7,5.1,2025,1.574,Q1,136,4.12,2025
Qualitative Research in Accounting and Management,Qualitative Research in Accounting & Management,Emerald Publishing Limited,1176-6093; 1758-7654,A,2025,2.8,2.9,2025,1.027,Q1,42,3.7,2025
Pacific Accounting Review,Pacific accounting review,Emerald Publishing Limited,0114-0582; 2041-5494,B,2025,2.1,2.3,2025,0.521,Q2,40,2.84,2025
Business Strategy and the Environment,Business Strategy and the Environment,Wiley,0964-4733; 1099-0836,A,2025,13.2,17.5,2025,3.678,Q1,199,19.04,2025
Corporate Social Responsibility and Environmental Management,Corporate Social Responsibility and Environmental Management,Wiley,1535-3958; 1535-3966,C,2025,10.1,11.6,2025,2.147,Q1,146,13.18,2025
Natural Hazards Review,Natural Hazards Review,American Society of Civil Engineers,1527-6988; 1527-6996; 1527-7003,,,3.3,3.2,2025,0.671,Q1,78,3.58,2025
International Journal Of Water Resources Development,International Journal Of Water Resources Development,Taylor & Francis,0790-0627; 1360-0648,,,2.8,2.9,2025,0.641,Q2,74,2.61,2025
Australasian Journal of Environmental Management,Australasian Journal of Environmental Management,Taylor & Francis,1322-1698; 1448-6563; 2159-5356,,,2.4,2.2,2025,0.419,Q2,37,1.8,2025
International Journal of Accounting Information Systems,International Journal of Accounting Information Systems,Elsevier BV,1467-0895; 1873-4723,A,2025,7.4,7.7,2025,1.747,Q1,74,12.21,2025
"Sustainability Accounting, Management and Policy Journal","Sustainability Accounting, Management and Policy Journal",Emerald Publishing Limited,2040-8021; 2040-803X,A,2025,8.8,9.0,2025,1.808,Q1,68,12.14,2025
Outlook on agriculture,Outlook on agriculture,SAGE Publishing,0030-7270; 2043-6866,,,3.2,3.6,2025,0.759,Q1,44,3.71,2025
Safety Science,Safety science,Elsevier BV,0925-7535; 1879-1042,A,2025,6.2,6.4,2025,1.443,Q1,178,7.9,2025
Journal of hydrology,Journal of hydrology,Elsevier BV,0022-1694; 1879-2707,,,7.3,7.7,2025,2.051,Q1,304,7.82,2025
Journal of Business Ethics,Journal of business ethics,Springer Science+Business Media,0167-4544; 1573-0697,A,2025,6.3,9.7,2025,3.138,Q1,304,10.35,2025
Hydrology research,Hydrology research,IWA Publishing,0029-1277; 1996-9694; 1998-9563; 2224-7955,,,3.7,3.2,2025,0.812,Q1,63,3.88,2025
Water resources,Water resources,Pleiades Publishing,0097-8078; 1608-344X,,,0.8,0.8,2025,0.299,Q3,32,0.89,2025
Social Responsibility Journal,Social responsibility journal,Emerald Publishing Limited,1747-1117; 1758-857X,B,2025,5.2,5.3,2025,0.973,Q1,71,7.24,2025
European journal of comparative law and governance,European journal of comparative law and governance,Brill,2213-4506; 2213-4514,,,0.5,0.8,2025,0.188,Q3,11,0.67,2025
Accounting Research Journal,Accounting research journal,Emerald Publishing Limited,1030-9616; 1839-5465,B,2025,3.3,3.0,2025,0.62,Q2,37,5.11,2025
Australian Accounting Review,Australian accounting review,Wiley,1035-6908; 1835-2561,B,2025,2.8,3.1,2025,0.702,Q2,54,3.1,2025
Agricultural water management,Agricultural water management,Elsevier BV,0378-3774; 1873-2283,,,7.8,7.9,2025,1.736,Q1,189,8.18,2025
Australasian journal of environmental management,Australasian journal of environmental management,Taylor & Francis,1322-1698; 1448-6563; 2159-5356,,,2.4,2.2,2025,0.419,Q2,37,1.8,2025
Water Resources Research,Water resources research,Wiley,0043-1397; 1944-7973,A,2025,6.3,6.8,2025,1.778,Q1,290,6.24,2025
International water power and dam construction,International water power and dam construction,,,,,,,,,,,,
William & Mary environmental law and policy review,William & Mary environmental law and policy review,,,,,,,,,,,,
Benchmarking: an international journal,Benchmarking: an international journal,Emerald Publishing Limited,1463-5771; 1758-4094,B,2025,4.8,5.6,2025,1.112,Q1,104,8.66,2025
The Australian journal of emergency management,The Australian journal of emergency management,,,,,,,,,,,,
Water SA,Water SA,Water Research Commission,0378-4738; 1816-7950,,,1.4,1.5,2025,0.376,Q3,75,1.42,2025
Disasters,Disasters,Wiley,0361-3666; 1467-7717,A,2025,2.3,3.1,2025,0.736,Q1,93,2.97,2025
Small Talk,Small Talk,,,,,,,,,,,,
Water policy,Water policy,UWA Publishing,1366-7017; 1996-9759,,,2.1,2.2,2025,0.564,Q2,73,2.4,2025
AUSTRALIAN JOURNAL OF EMERGENCY MANAGEMENT,AUSTRALIAN JOURNAL OF EMERGENCY MANAGEMENT,,,,,,,,,,,,
International Journal of Water Resources Development,International Journal of Water Resources Development,Taylor & Francis,0790-0627; 1360-0648,,,2.8,2.9,2025,0.641,Q2,74,2.61,2025
The Australian Journal of Emergency Management,The Australian Journal of Emergency Management,,,,,,,,,,,,
Water International,Water International,Taylor & Francis,0250-8060; 1941-1707,,,1.9,2.3,2025,0.409,Q3,72,1.75,2025
Australian journal of emergency management,Australian journal of emergency management,,,,,,,,,,,,
Water,Water,Multidisciplinary Digital Publishing Institute,2073-4441,,,3.5,3.6,2025,0.807,Q1,145,3.96,2025
Australian Journal of Water Resources,Australian Journal of Water Resources,,,,,,,,,,,,
Personal and Ubiquitous Computing,Personal and Ubiquitous Computing,Springer Science+Business Media,1617-4909; 1617-4917,,,,,,0.539,Q2,106,3.7,2025
Journal of Business Research,Journal of Business Research,Elsevier BV,0148-2963; 1873-7978,A,2025,11.1,14.0,2025,3.498,Q1,322,15.01,2025
Accounting Forum,Accounting forum,Taylor & Francis,0155-9982; 1467-6303,A,2025,4.1,4.3,2025,1.087,Q1,70,5.81,2025
Marine Policy,Marine policy,Elsevier BV,0308-597X; 1872-9460,A,2025,3.9,4.3,2025,1.279,Q1,140,4.81,2025
Discover Education,Discover Education,Springer Science+Business Media,2731-5525,,,,,,0.559,Q2,19,3.47,2025
Accounting and Finance,Accounting and Finance,Wiley,0810-5391; 1467-629X,A,2025,2.6,3.6,2025,0.814,Q1,77,3.53,2025
Journal of Environmental Management,Journal of Environmental Management,Elsevier BV,0301-4797; 1095-8630,,,9.2,9.2,2025,1.923,Q1,296,10.3,2025
Managerial Auditing Journal,Managerial Auditing Journal,Emerald Publishing Limited,0268-6902; 1758-7735,A,2025,2.6,3.4,2025,0.676,Q1,83,3.39,2025
Journal of Business Economics,Journal of business economics,Springer Science+Business Media,0044-2372; 1861-8928,B,2025,3.8,,2025,0.799,Q2,43,4.26,2025
The International Journal of Accounting,International Journal of Accounting,Elsevier BV,0020-7063; 1094-4060; 1879-2251; 2213-3933,A,2025,2.2,2.4,2025,0.436,Q2,75,1.71,2025
European Management Review,European management review,Wiley,1740-4754; 1740-4762,B,2025,3.1,3.9,2025,1.202,Q1,54,5.17,2025
Sustainable Development,Sustainable development,Wiley,0968-0802; 1099-1719,C,2025,9.3,9.9,2025,1.799,Q1,125,11.73,2025
Journal of environmental management,Journal of environmental management,Elsevier BV,0301-4797; 1095-8630,,,9.2,9.2,2025,1.923,Q1,296,10.3,2025
Public Money & Management,Public money and management,Taylor & Francis,0954-0962; 1467-9302,A,2025,2.6,2.6,2025,0.642,Q1,65,2.47,2025
Social and Environmental Accountability Journal,Social and Environmental Accountability Journal,Routledge,0969-160X; 2156-2245,B,2025,,,,0.472,Q3,29,1.86,2025
Public Management Review,Public management review,Taylor & Francis,1461-667X; 1470-1065; 1471-9037; 1471-9045,A,2025,5.2,6.4,2025,2.54,Q1,115,9.04,2025
International Journal of Accounting and Information Management,International journal of accounting and information management,Emerald Publishing Limited,1758-9037; 1834-7649,B,2025,4.8,5.6,2025,1.106,Q1,46,7.07,2025
Journal of Law and Financial Management,Journal of law and financial management,,1446-6899,C,2025,,,,,,,,
Journal of Accounting & Organizational Change,Journal of accounting & organizational change,Emerald Publishing Limited,1832-5912; 1839-5473,B,2025,3.5,3.6,2025,0.805,Q1,43,5.59,2025
International Journal of Services Technology and Management,International Journal of Services Technology and Management,,,,,,,,,,,,
"International Journal of Environmental, Cultural, Economic & Social Sustainability","International Journal of Environmental, Cultural, Economic & Social Sustainability",,,,,,,,,,,,
The International Journal of Digital Accounting Research,The International Journal of Digital Accounting Research,,1577-8517,B,2025,,,,0.355,Q2,20,3.27,2025
Fijian Studies: Special Issue on Sustainable Development,Fijian Studies: Special Issue on Sustainable Development,,,,,,,,,,,,
Electronic Green Journal,Electronic Green Journal,,,,,,,,,,,,
International Journal of Public Sector Management,International Journal of Public Sector Management,Emerald Publishing Limited,0951-3558; 1758-6666,B,2025,2.9,3.1,2025,0.659,Q1,74,3.6,2025
Accountancy Business and the Public Interest,Accountancy Business and the Public Interest,,1745-7718,B,2025,,,,,,,,
Electronic Journal of Information Systems in Developing Countries,Electronic Journal of Information Systems in Developing Countries,Wiley,1681-4835,B,2025,1.6,2.0,2025,0.412,Q2,56,2.78,2025
Journal of Hospitality and Tourism Technology,Journal of Hospitality and Tourism Technology,Emerald Publishing Limited,1757-9880; 1757-9899,B,2025,8.2,8.1,2025,1.785,Q1,66,12.17,2025
Global Business and Economics Review,Global Business and Economics Review,Inderscience Publishers,1097-4954; 1745-1329,C,2025,0.6,,2025,0.183,Q4,20,0.69,2025
Australian Journal of Management,Australian Journal of Management,SAGE Publishing,0312-8962; 1327-2020,A,2025,3.1,5.0,2025,0.778,Q1,57,3.96,2025
Finance Research Letters,Finance Research Letters,Elsevier BV,1544-6123; 1544-6131,A,2025,7.1,7.2,2025,1.672,Q1,143,8.17,2025
International Review of Economics & Finance,International Review of Economics and Finance,Elsevier BV,1059-0560; 1873-8036,A,2025,7.6,6.8,2025,1.485,Q1,101,8.27,2025
The Journal of Risk Finance,Journal of Risk Finance,Emerald Publishing Limited,1526-5943; 2331-2947,B,2025,3.4,3.4,2025,0.916,Q2,53,5.28,2025
"International Journal of Services, Economics and Management","International Journal of Services, Economics and Management",Inderscience Publishers,1753-0822; 1753-0830,,,,,,0.204,Q4,18,0.75,2025
Research in International Business and Finance,Research in International Business and Finance,Elsevier BV,0275-5319; 1878-3384,A,2025,7.6,7.0,2025,1.509,Q1,99,9.31,2025
American Business Review,American Business Review,,0743-2348; 2689-8810,B,2025,,,,0.251,Q3,9,1.16,2025
Global Finance Journal,Global Finance Journal,Elsevier BV,1044-0283; 1873-5665,A,2025,5.2,5.2,2025,1.254,Q1,59,6.49,2025
International Review of Financial Analysis,International Review of Financial Analysis,Elsevier BV,1057-5219; 1873-8079,A,2025,10.2,10.3,2025,2.373,Q1,129,11.33,2025
