name,orcid,source_id,journal_name,title,year,author_count,authors,doi,article_url,link,quality_rank,sjr_quartile,citation_percentile,cited_by_count,fwci,oa_status,oa_url,publication_status,source
Chris Kandunias,,chris.kandunias,Accounting Education,Harnessing Facebook for student engagement in accounting education: guiding principles for accounting students and educators,2014,3,"Stone, G.; Fiedler, B.; Kandunias, C.",10.1080/09639284.2014.908730,https://doi.org/10.1080/09639284.2014.908730,https://hdl.handle.net/11541.2/118141,A,Q1,0.90496692,23,2.0531,closed,,published,Adelaide profile
Youngnae Jun,0000-0002-9665-1363,youngnae.jun,Journal of Accounting Literature,Economic policy uncertainty and corporate disclosure,2026,4,"Jun, Y.; Banerjee, R.; Gupta, K.; Krishnamurti, C.",10.1108/jal-04-2025-0200,https://doi.org/10.1108/jal-04-2025-0200,https://hdl.handle.net/2440/150099,A,Q2,0.30754573,0,0.0,hybrid,https://www.emerald.com/jal/article-pdf/48/5/389/11546214/jal-04-2025-0200en.pdf,published,Adelaide profile
Scott Copeland,0000-0003-2142-3814,scott.copeland,Higher Education Quarterly,The gradual retreat from academic citizenship,2022,6,"Beatson, N. J.; Tharapos, M.; O'Connell, B. T.; de Lange, P.; Carr, S.; Copeland, S.",10.1111/hequ.12341,https://doi.org/10.1111/hequ.12341,https://hdl.handle.net/11541.2/147969,C,Q1,0.99589237,57,29.1414,closed,,published,Adelaide profile
Scott Copeland,0000-0003-2142-3814,scott.copeland,International Journal of Critical Accounting,"Making better decisions: incorporating self, others, choice and environment into the process",2016,2,"Briggs, S. P.; Copeland, S.",10.1504/ijca.2016.077552,https://doi.org/10.1504/ijca.2016.077552,https://hdl.handle.net/11541.2/117102,C,,0.07398641,0,0.0,closed,,published,Adelaide profile
Scott Copeland,0000-0003-2142-3814,scott.copeland,International Journal of Critical Accounting,More soft skills needed for accountants: using Tolstoy's literature to inform ethical thought and develop critical skills,2014,2,"Copeland, S.; Briggs, S. P.",10.1504/ijca.2014.068370,https://doi.org/10.1504/ijca.2014.068370,https://hdl.handle.net/1959.8/222248,C,,0.17368954,0,0.0,closed,,published,Adelaide profile
Scott Copeland,0000-0003-2142-3814,scott.copeland,International Journal of Critical Accounting,Accountants: 'know thyself',2009,2,"Briggs, S. P.; Copeland, S.",10.1504/ijca.2009.028059,https://doi.org/10.1504/ijca.2009.028059,https://hdl.handle.net/1959.8/114817,C,,0.24224344,0,0.0,closed,,published,Adelaide profile
Scott Copeland,0000-0003-2142-3814,scott.copeland,Critical Perspectives on Accounting,Mind the gap: accountants at work and play,2008,3,"Haynes, W. D. G.; Briggs, S. P.; Copeland, S.",10.1016/j.cpa.2006.01.014,https://doi.org/10.1016/j.cpa.2006.01.014,https://hdl.handle.net/1959.8/67351,A,Q1,0.91298622,23,2.0324,closed,,published,Adelaide profile
Scott Copeland,0000-0003-2142-3814,scott.copeland,Critical Perspectives on Accounting,"Accountants for the 21st century, where are you?: a five-year study of accounting students' personality preferences",2007,3,"Briggs, S. P.; Copeland, S.; Haynes, W. D. G.",10.1016/j.cpa.2006.01.013,https://doi.org/10.1016/j.cpa.2006.01.013,https://hdl.handle.net/1959.8/48117,A,Q1,0.95432952,77,5.4197,closed,,published,Adelaide profile
Hasni Gunasekara,0000-0002-1894-3555,hasni.gunasekara,Urban Science,Identification of boundaries of measurements for city environmental quality,2025,3,"Gunasekara, H. G.; Sylva, K.; Dias, S.",10.3390/urbansci9080328,https://doi.org/10.3390/urbansci9080328,https://hdl.handle.net/11541.2/44389,,Q1,0.10031161,0,0.0,gold,https://www.mdpi.com/2413-8851/9/8/328/pdf?version=1755615076,published,Adelaide profile
Hasni Gunasekara,0000-0002-1894-3555,hasni.gunasekara,Journal of Facilities Management,Effective use of blockchain technology for facilities management procurement process,2022,3,"Gunasekara, H. G.; Sridarran, P.; Rajaratnam, D.",10.1108/jfm-10-2020-0077,https://doi.org/10.1108/jfm-10-2020-0077,https://doi.org/10.1108/jfm-10-2020-0077,C,Q2,0.99078579,71,16.3526,closed,,published,Adelaide profile
