name,title,year,journal,doi,source,screened_reason
Boram Lee,"Effect of probiotics on multi-resistant organism colonisation in persons with spinal cord injury: secondary outcome of ProSCIUTTU, a randomised placebo-controlled trial",2020,Spinal Cord,10.1038/s41393-020-0420-z,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,"Impact of respiratory muscle training on respiratory muscle strength, respiratory function and quality of life in individuals with tetraplegia: A randomised clinical trial",2020,Thorax,10.1136/thoraxjnl-2019-213917,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Intermittent catheterization with single- or multiple-reuse catheters: clinical study on safety and impact on quality of life,2020,International Urology and Nephrology,10.1007/s11255-020-02435-9,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Abdominal functional electrical stimulation to augment respiratory function in spinal cord injury,2019,Topics in Spinal Cord Injury Rehabilitation,10.1310/sci2502-105,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,"Continuous Positive Airway Pressure Use for Obstructive Sleep Apnea in Acute, Traumatic Tetraplegia",2019,Archives of Physical Medicine and Rehabilitation,10.1016/j.apmr.2019.07.005,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Global mapping for the epidemiology of paediatric spinal cord damage: towards a living data repository,2019,Spinal Cord,10.1038/s41393-018-0209-5,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Outcomes following stoma formation in patients with spinal cord injury,2019,Colorectal Disease,10.1111/codi.14753,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Positive airway pressure for sleep-disordered breathing in acute quadriplegia: A randomised controlled trial,2019,Thorax,10.1136/thoraxjnl-2018-212319,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Probiotics [LGG-BB12 or RC14-GR1] versus placebo as prophylaxis for urinary tract infection in persons with spinal cord injury [ProSCIUTTU]: a randomised controlled trial,2019,Spinal Cord,10.1038/s41393-019-0251-y,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Characteristics of CSF velocity-time profile in posttraumatic syringomyelia,2017,American Journal of Neuroradiology,10.3174/ajnr.a5304,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
