name,job_title,academic_level,university,field_of_research,source_id,orcid,profile_url
Chris Kandunias,Senior Lecturer,C,Adelaide University,Accounting,chris.kandunias,,https://adelaide.edu.au/people/chris.kandunias
Youngnae Jun,,,Adelaide University,Finance,youngnae.jun,0000-0002-9665-1363,https://adelaide.edu.au/people/youngnae.jun
Scott Copeland,Program Director,,Adelaide University,Accounting,scott.copeland,0000-0003-2142-3814,https://adelaide.edu.au/people/scott.copeland
Hasni Gunasekara,,,Adelaide University,Accounting,hasni.gunasekara,0000-0002-1894-3555,https://adelaide.edu.au/people/hasni.gunasekara
John Christie,Lecturer,B,Adelaide University,Finance,john.christie,,https://adelaide.edu.au/people/john.christie
Peter Rossini,Senior Lecturer,C,Adelaide University,Finance,peter.rossini,,https://adelaide.edu.au/people/peter.rossini
Rob Whait,Senior Lecturer,C,Adelaide University,Finance,rob.whait,0000-0003-1129-887X,https://adelaide.edu.au/people/rob.whait
Amanpreet Kaur,Senior Lecturer,C,Adelaide University,Accounting,amanpreet.kaur01,0000-0001-5438-7448,https://adelaide.edu.au/people/amanpreet.kaur01
Upekha Atupola,,,Adelaide University,Accounting,upekha.atupola,,https://adelaide.edu.au/people/upekha.atupola
John Pisaniello,Research Professor,E,Adelaide University,Accounting,john.pisaniello,,https://adelaide.edu.au/people/john.pisaniello
Sanjaya Kuruppu,Associate Professor of Accounting,D,Adelaide University,Accounting,sanjaya.kuruppu,0000-0002-7282-272X,https://adelaide.edu.au/people/sanjaya.kuruppu
Dinithi Dissanayake,Lecturer,B,Adelaide University,Accounting,dinithi.dissanayake,,https://adelaide.edu.au/people/dinithi.dissanayake
Sumit Lodhia,Professor,E,Adelaide University,Accounting,sumit.lodhia,0000-0002-4459-2621,https://adelaide.edu.au/people/sumit.lodhia
Niro Wellalage,Associate Professor of Finance,D,Adelaide University,Finance,niro.wellalage,0000-0002-3316-3813,https://adelaide.edu.au/people/niro.wellalage
Chandra Krishnamurti,Professor of Finance,E,Adelaide University,Finance,chandra.krishnamurti,0000-0001-6726-8018,https://adelaide.edu.au/people/chandra.krishnamurti
Belinda Harrison,Lecturer,B,Adelaide University,Accounting,belinda.harrison,,https://adelaide.edu.au/people/belinda.harrison
Katherine Christ,Senior Lecturer,C,Adelaide University,Accounting,katherine.christ,,https://adelaide.edu.au/people/katherine.christ
Reza Bradrania,Senior Lecturer,C,Adelaide University,Finance,reza.bradrania,0000-0003-4495-8408,https://adelaide.edu.au/people/reza.bradrania
Mishkatur Rahman,,,Adelaide University,Finance,mishkatur.rahman,0000-0002-1690-8246,https://adelaide.edu.au/people/mishkatur.rahman
