name,job_title,academic_level,university,field_of_research,source_id,orcid,profile_url
Sarah Adams,Senior Lecturer,C,Australian National University,Accounting,,0000-0002-4737-4507,https://rsa.anu.edu.au/people/sarah-adams
Bonnie Allan,Lecturer,B,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/bonnie-allan
Pat Barrett,Professor,E,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/pat-barrett
Yue Cai,Lecturer,B,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/yue-cai
Lily Chen,Associate Professor,D,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/lily-chen
Sorin Daniliuc,Lecturer,B,Australian National University,Accounting,,0000-0001-9541-5652,https://rsa.anu.edu.au/people/sorin-daniliuc
Neil Fargher,Emeritus Professor,E,Australian National University,Accounting,,0000-0003-2604-109X,https://rsa.anu.edu.au/people/neil-fargher
Susanna Ho,Professor,E,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/susanna-ho
Tejshree Kala,Lecturer,B,Australian National University,Accounting,,0000-0003-4145-2671,https://rsa.anu.edu.au/people/tejshree-kala
Eunice Khoo,Senior Lecturer,C,Australian National University,Accounting,,0000-0001-8405-0504,https://rsa.anu.edu.au/people/eunice-khoo
Janet Lee,Associate Professor,D,Australian National University,Accounting,,0000-0001-6492-0314,https://rsa.anu.edu.au/people/janet-lee
Lingwei Li,Senior Lecturer,C,Australian National University,Accounting,,0000-0002-9855-8082,https://rsa.anu.edu.au/people/lingwei-li
Louise Lu,Professor,E,Australian National University,Accounting,,0000-0002-5383-4303,https://rsa.anu.edu.au/people/louise-lu
Scarlett Luo,Lecturer,B,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/scarlett-luo
Ian McPhee,Professor,E,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/ian-mcphee
Juliana Ng,,E,Australian National University,Accounting,,0000-0002-1629-4731,https://rsa.anu.edu.au/people/juliana-ng
Greg Shailer,Professor,E,Australian National University,Accounting,,0000-0002-4896-4197,https://rsa.anu.edu.au/people/greg-shailer
Madhukar Singh,Lecturer,B,Australian National University,Accounting,,0000-0002-8369-863X,https://rsa.anu.edu.au/people/madhukar-singh
Rebecca Tan,Senior Lecturer,C,Australian National University,Accounting,,0000-0003-1337-4338,https://rsa.anu.edu.au/people/rebecca-tan
Sonali Walpola,Associate Professor,D,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/sonali-walpola
Alex Wang,Senior Lecturer,C,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/alex-wang
Isabel Wang,Senior Lecturer,C,Australian National University,Accounting,,0000-0002-7297-3384,https://rsa.anu.edu.au/people/isabel-wang
Kathy Wang,Lecturer,B,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/kathy-wang
Tracy (Kun) Wang,Professor,E,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/tracy-kun-wang
Marvin Wee,Professor,E,Australian National University,Accounting,,0000-0002-3097-9091,https://rsa.anu.edu.au/people/marvin-wee
Keturah Whitford,,D,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/keturah-whitford
Mark Wilson,Professor,E,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/mark-wilson
Steven Wu,Associate Professor,D,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/steven-wu
Jean You,Lecturer,B,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/jean-you
Wei Zeng,Lecturer,B,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/wei-zeng
Lijuan Zhang,Senior Lecturer,C,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/lijuan-zhang
Xiu-Ye Zhang,Senior Lecturer,C,Australian National University,Accounting,,0000-0002-5354-0655,https://rsa.anu.edu.au/people/xiu-ye-zhang
Richard (Ruichao) Zhu,Lecturer,B,Australian National University,Accounting,,,https://rsa.anu.edu.au/people/richard-ruichao-zhu
Mohammed Abdullah Al Mamun,Lecturer,B,Australian National University,Finance,,0000-0002-2104-7479,https://rsfas.anu.edu.au/people/mohammed-abdullah-al-mamun
Antje Berndt,Professor,E,Australian National University,Finance,,0000-0002-4436-2885,https://rsfas.anu.edu.au/people/antje-berndt
Jenni Bettman,Associate Professor,D,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/jenni-bettman
Hua Deng,Lecturer,B,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/hua-deng
Ding Ding,Lecturer,B,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/ding-ding
Jo Drienko,,D,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/jo-drienko
Chao Gao,Senior Lecturer,C,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/chao-gao
Lin Hu,Senior Lecturer,C,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/lin-hu
Dean Katselas,Senior Lecturer,C,Australian National University,Finance,,0000-0001-7378-0624,https://rsfas.anu.edu.au/people/dean-katselas
Nhan Le,Senior Lecturer,C,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/nhan-le
Kun Li,Lecturer,B,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/kun-li
Wai-Man (Raymond) Liu,Associate Professor,D,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/wai-man-raymond-liu
Xin (Kelly) Liu,Associate Professor,D,Australian National University,Finance,,,https://rsfas.anu.edu.au/people/xin-kelly-liu
