university,source,last_run,latest_year,record_count
Monash University,2015 Fall Conference: The Golden Age of Evidence-Based Policy,2026-09-22T06:09:42.608313+00:00,,1
Monash University,2018 APPAM Fall Research Conference: <i>Evidence for Action: Encouraging Innovation and Improvement</i>,2026-09-22T06:09:42.608313+00:00,,1
Monash University,2019 9th International Conference on Education and Social Science,2026-09-22T06:09:42.608313+00:00,,1
Monash University,2019 APPAM Fall Research Conference,2026-09-22T06:09:42.608313+00:00,,2
Monash University,2021 13th International Conference on Wireless Communications and Signal Processing (WCSP),2026-09-22T06:09:42.608313+00:00,,1
Monash University,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),2026-09-22T06:09:42.608313+00:00,,1
Monash University,"2021 5th International Conference on Education, Management and Social Science",2026-09-22T06:09:42.608313+00:00,,1
Monash University,2021 IEEE International Conference on Emergency Science and Information Technology (ICESIT),2026-09-22T06:09:42.608313+00:00,,1
Monash University,"2021 International Conference on Control, Automation and Information Sciences (ICCAIS)",2026-09-22T06:09:42.608313+00:00,,1
Monash University,2022 30th European Signal Processing Conference (EUSIPCO),2026-09-22T06:09:42.608313+00:00,,1
Monash University,27th Annual Meeting,2026-09-22T06:09:42.608313+00:00,2015,1
Monash University,ACM SIGMIS Database the DATABASE for Advances in Information Systems,2026-09-22T06:09:42.608313+00:00,2012,1
Monash University,ACM Transactions on Software Engineering and Methodology,2026-09-22T06:09:42.608313+00:00,2026,16
Monash University,ACR Open Rheumatology,2026-09-22T06:09:42.608313+00:00,2024,1
Monash University,ACS Applied Materials & Interfaces,2026-09-22T06:09:42.608313+00:00,2026,9
Monash University,ACS Applied Nano Materials,2026-09-22T06:09:42.608313+00:00,2026,1
Monash University,ACS Biomaterials Science & Engineering,2026-09-22T06:09:42.608313+00:00,2019,1
Monash University,ACS Catalysis,2026-09-22T06:09:42.608313+00:00,2026,2
Monash University,ACS Chemical Biology,2026-09-22T06:09:42.608313+00:00,2024,3
Monash University,ACS Chemical Neuroscience,2026-09-22T06:09:42.608313+00:00,,1
Monash University,ACS Nano,2026-09-22T06:09:42.608313+00:00,2024,4
Monash University,ACS Omega,2026-09-22T06:09:42.608313+00:00,2025,3
Monash University,ACS Sensors,2026-09-22T06:09:42.608313+00:00,2024,2
Monash University,ACS Sustainable Chemistry & Engineering,2026-09-22T06:09:42.608313+00:00,2016,1
Monash University,ACTA AGRONOMICA SINICA,2026-09-22T06:09:42.608313+00:00,2013,1
Monash University,AEA Randomized Controlled Trials,2026-09-22T06:09:42.608313+00:00,,6
Monash University,AFRICAN JOURNAL OF BIOTECHNOLOGY,2026-09-22T06:09:42.608313+00:00,2009,2
Monash University,AGE,2026-09-22T06:09:42.608313+00:00,2013,1
Monash University,AGUFM,2026-09-22T06:09:42.608313+00:00,2016,1
Monash University,AHFE international,2026-09-22T06:09:42.608313+00:00,,1
Monash University,AIDS,2026-09-22T06:09:42.608313+00:00,1995,1
Monash University,AJIS. Australasian journal of information systems/AJIS. Australian journal of information systems/Australian journal of information systems,2026-09-22T06:09:42.608313+00:00,2023,3
Monash University,AJP Advances in Physiology Education,2026-09-22T06:09:42.608313+00:00,2023,1
Monash University,ALGAE,2026-09-22T06:09:42.608313+00:00,2011,1
Monash University,ANU Open Research (Australian National University),2026-09-22T06:09:42.608313+00:00,1997,6
Monash University,ANZ Journal of Surgery,2026-09-22T06:09:42.608313+00:00,2001,1
Monash University,APL Bioengineering,2026-09-22T06:09:42.608313+00:00,2018,1
Monash University,APOPTOSIS,2026-09-22T06:09:42.608313+00:00,2024,1
Monash University,AQUA - Water Infrastructure Ecosystems and Society,2026-09-22T06:09:42.608313+00:00,2015,1
Monash University,"ARRB Conference, 25th, 2012, Perth, Western Australia, Australia",2026-09-22T06:09:42.608313+00:00,,1
Monash University,ASAIO Journal,2026-09-22T06:09:42.608313+00:00,,1
Monash University,ASCILITE Publications,2026-09-22T06:09:42.608313+00:00,2023,1
Monash University,Abacus,2026-09-22T06:09:42.608313+00:00,2025,15
Monash University,Abstracts,2026-09-22T06:09:42.608313+00:00,,2
Monash University,Academic Journal of Guangzhou Medical College,2026-09-22T06:09:42.608313+00:00,2001,1
Monash University,Academic Journal of Second Military Medical University,2026-09-22T06:09:42.608313+00:00,2015,1
Monash University,Academic Medicine,2026-09-22T06:09:42.608313+00:00,2017,1
