name,orcid,source_id,journal_name,title,year,author_count,authors,doi,article_url,link,quality_rank,sjr_quartile,citation_percentile,cited_by_count,fwci,oa_status,oa_url,publication_status,source
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Journal of Financial Markets,Identifying and characterizing opening auction manipulation,2025,4,Huu Nhan Duong; Sean Foley; Petko S. Kalev; Kin Soon Lim,10.1016/j.finmar.2025.101031,https://doi.org/10.1016/j.finmar.2025.101031,https://research.monash.edu/en/publications/identifying-and-characterizing-opening-auction-manipulation/,A*,Q1,0.80938965,1,0.901,closed,,published,Monash Pure
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Journal of Banking & Finance,Folklore narratives and IPO outcomes,2026,3,Huu Nhan Duong; Abhinav Goyal; S. Ghon Rhee,10.1016/j.jbankfin.2025.107578,https://doi.org/10.1016/j.jbankfin.2025.107578,https://research.monash.edu/en/publications/folklore-narratives-and-ipo-outcomes/,A*,Q1,0.91729246,1,2.5158,hybrid,https://doi.org/10.1016/j.jbankfin.2025.107578,published,Monash Pure
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Journal of Corporate Finance,Do firms benefit from carbon risk management? Evidence from the credit default swaps market,2025,4,Huu Nhan Duong; Petko S. Kalev; Madhu Kalimipalli; Saurabh Trivedi,10.1016/j.jcorpfin.2025.102843,https://doi.org/10.1016/j.jcorpfin.2025.102843,https://research.monash.edu/en/publications/do-firms-benefit-from-carbon-risk-management-evidence-from-the-cr/,A*,Q1,0.99674605,16,29.5507,closed,,published,Monash Pure
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Critical Finance Review,The bright side of foreign competition: import penetration and default risk,2025,4,Nader Atawnah; Ghasan A. Baghdadi; Huu Nhan Duong; Edward J. Podolski,10.1561/104.00000158,https://doi.org/10.1561/104.00000158,https://research.monash.edu/en/publications/the-bright-side-of-foreign-competition-import-penetration-and-def/,A*,Q1,0.79007431,1,1.4969,closed,,published,Monash Pure
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Journal of Financial Research,The value of social capital in small business lending: evidence from the Small Business Administration program,2025,3,Huu Nhan Duong; Thu Ha Nguyen; Van Hoang Vu,10.1111/jfir.12451,https://doi.org/10.1111/jfir.12451,https://research.monash.edu/en/publications/the-value-of-social-capital-in-small-business-lending-evidence-fr/,A,Q2,0.84677138,1,0.6414,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfir.12451,published,Monash Pure
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Journal of Corporate Finance,Anti-collusion leniency legislations and IPO activity: worldwide evidence,2024,3,Huu Nhan Duong; Abhinav Goyal; Leon Zolotoy,10.1016/j.jcorpfin.2024.102691,https://doi.org/10.1016/j.jcorpfin.2024.102691,https://research.monash.edu/en/publications/anti-collusion-leniency-legislations-and-ipo-activity-worldwide-e/,A*,Q1,0.92946217,5,3.3734,hybrid,https://doi.org/10.1016/j.jcorpfin.2024.102691,published,Monash Pure
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Journal of Business Finance & Accounting,Does options trading affect audit pricing?,2025,5,Muhammad Jahangir Ali; Balasingham Balachandran; Huu Nhan Duong; Premkanth Puwanenthiren; Michael F. Theobald,10.1111/jbfa.12821,https://doi.org/10.1111/jbfa.12821,https://research.monash.edu/en/publications/does-options-trading-affect-audit-pricing/,A*,Q1,0.93806245,6,4.038,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbfa.12821,published,Monash Pure
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Journal of Banking & Finance,Corporate noncompliance: do corporate violations affect bank loan contracting?,2024,4,Huu Nhan Duong; Mariem Khalifa; Ali Sheikhbahaei; Mohammed Aminu Sualihu,10.1016/j.jbankfin.2024.107225,https://doi.org/10.1016/j.jbankfin.2024.107225,https://research.monash.edu/en/publications/corporate-noncompliance-do-corporate-violations-affect-bank-loan-/,A*,Q1,0.99050137,23,15.5177,hybrid,https://doi.org/10.1016/j.jbankfin.2024.107225,published,Monash Pure
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Journal of Empirical Finance,Social capital and the pricing of initial public offerings,2023,4,Yangyang Chen; Huu Nhan Duong; Abhinav Goyal; Madhu Veeraraghavan,10.1016/j.jempfin.2023.101418,https://doi.org/10.1016/j.jempfin.2023.101418,https://research.monash.edu/en/publications/social-capital-and-the-pricing-of-initial-public-offerings/,A,Q1,0.85790343,4,1.5764,green,https://research.birmingham.ac.uk/en/publications/4e11e1ed-1308-4cab-8c74-0410a598b962,published,Monash Pure
Huu Duong,0000-0002-2252-2913,huu-nhan-duong,Journal of Corporate Finance,Collateral shocks and M&A decisions,2023,4,Md. Imran Hossain; Huu Nhan Duong; Md Al Mamun; Paul Docherty,10.1016/j.jcorpfin.2023.102433,https://doi.org/10.1016/j.jcorpfin.2023.102433,https://research.monash.edu/en/publications/collateral-shocks-and-mampa-decisions/,A*,Q1,0.94594251,15,4.579,closed,,published,Monash Pure
