name,job_title,academic_level,university,field_of_research,source_id,orcid,profile_url
Susan Thorp,Professor,E,Monash University,Finance,susan-thorp,0000-0003-3462-0876,https://research.monash.edu/en/persons/susan-thorp/
Huu Duong,Professor,E,Monash University,Finance,huu-nhan-duong,0000-0002-2252-2913,https://research.monash.edu/en/persons/huu-nhan-duong/
John Watson,Associate Professor,D,Monash University,Finance,john-watson,0000-0001-6550-243X,https://research.monash.edu/en/persons/john-watson/
Christine Brown,Emeritus Professor,E,Monash University,Finance,christine-brown,0000-0002-0306-2982,https://research.monash.edu/en/persons/christine-brown/
Stephen Brown,Emeritus Professor,E,Monash University,Finance,stephen-brown,0000-0002-0210-4562,https://research.monash.edu/en/persons/stephen-brown/
Michael Skully,ADJUNCT PROFESSOR,E,Monash University,Finance,michael-skully,0000-0002-4904-9003,https://research.monash.edu/en/persons/michael-skully/
Abe de Jong,Professor,E,Monash University,Finance,abe-de-jong,0000-0002-2809-5465,https://research.monash.edu/en/persons/abe-de-jong/
Neal Galpin,Professor,E,Monash University,Finance,neal-galpin,0000-0002-7187-0308,https://research.monash.edu/en/persons/neal-galpin/
Yulia Merkoulova,Professor,E,Monash University,Finance,yulia-merkoulova,0000-0001-7356-2977,https://research.monash.edu/en/persons/yulia-merkoulova/
Lyndon Moore,Professor,E,Monash University,Finance,lyndon-moore,,https://research.monash.edu/en/persons/lyndon-moore/
Chris Veld,Professor,E,Monash University,Finance,chris-veld,0000-0003-3971-0600,https://research.monash.edu/en/persons/chris-veld/
Ying Xia,Professor,E,Monash University,Finance,ying-xia,,https://research.monash.edu/en/persons/ying-xia/
John Chu,Associate Professor,D,Monash University,Finance,john-chu,,https://research.monash.edu/en/persons/john-chu/
Silvio Contessi,Associate Professor,D,Monash University,Finance,silvio-contessi,0000-0002-7517-5417,https://research.monash.edu/en/persons/silvio-contessi/
Ying Dou,Associate Professor,D,Monash University,Finance,ying-dou,,https://research.monash.edu/en/persons/ying-dou/
Philip Gharghori,Associate Professor,D,Monash University,Finance,philip-gharghori,0000-0002-6148-7305,https://research.monash.edu/en/persons/philip-gharghori/
Thanh Huynh,Professor,E,Monash University,Finance,thanh-huynh,0000-0001-7970-1464,https://research.monash.edu/en/persons/thanh-huynh/
Paul Lajbcygier,Associate Professor,D,Monash University,Finance,paul-lajbcygier,0000-0003-2064-9774,https://research.monash.edu/en/persons/paul-lajbcygier/
Hassan Naqvi,Associate Professor,D,Monash University,Finance,hassan-naqvi,0000-0002-7472-260X,https://research.monash.edu/en/persons/hassan-naqvi/
Abu Zafar Shahriar,Associate Professor,D,Monash University,Finance,abu-zafar-shahriar,0000-0003-1357-003X,https://research.monash.edu/en/persons/abu-zafar-shahriar/
Barry Williams,Associate Professor,D,Monash University,Finance,barry-williams,0000-0001-8751-1003,https://research.monash.edu/en/persons/barry-williams/
Jin Yu,Professor,E,Monash University,Finance,jin-yu,0000-0002-1517-2740,https://research.monash.edu/en/persons/jin-yu/
Zhe An,Senior Lecturer,C,Monash University,Finance,zhe-an,0000-0002-6977-2186,https://research.monash.edu/en/persons/zhe-an/
Hue Hwa Au Yong,Senior Lecturer,C,Monash University,Finance,hue-hwa-au-yong,0000-0003-4739-2016,https://research.monash.edu/en/persons/hue-hwa-au-yong/
