name,discipline,job_title,profile_url,review_priority,reason,recommended_action,minerva_identity_confidence,minerva_candidate_count,orcid_identity_status,orcid_candidate_count,orcid_review_candidates,openalex_identity_status,openalex_candidate_count,openalex_review_candidates,review_decision,review_notes
Wayne Coetzee,Accounting,Teaching Fellow,https://fbe.unimelb.edu.au/our-people/staff/accounting/wayne-coetzee,low,"no verified Minerva, ORCID, or OpenAlex author identity","Keep the official staff row usable for headcount. Leave publication coverage as unresolved unless a CV, ORCID, or profile supplies direct evidence.",none,0,not_found,0,"[{""orcid"": ""0000-0001-6530-0053"", ""credit_name"": null, ""given_names"": ""Wayne"", ""family_names"": ""Coetzee"", ""institutions"": [], ""has_unimelb_affiliation"": false}]",not_found,0,"[{""openalex_author_id"": ""A5045389138"", ""display_name"": ""Wayne Stephen Coetzee"", ""orcid"": ""0000-0002-2808-183X"", ""works_count"": 13, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5017379919"", ""display_name"": ""Cuan Wayne Coetzee"", ""orcid"": null, ""works_count"": 2, ""has_unimelb_affiliation"": false}]",,
Bob Cornick,Accounting,Lecturer (Education Focussed),https://fbe.unimelb.edu.au/our-people/staff/accounting/bob-cornick,low,"no verified Minerva, ORCID, or OpenAlex author identity","Keep the official staff row usable for headcount. Leave publication coverage as unresolved unless a CV, ORCID, or profile supplies direct evidence.",none,0,not_found,0,[],not_found,0,[],,
Greg Cusack,Accounting,Teaching Fellow,https://fbe.unimelb.edu.au/our-people/staff/accounting/greg-cusack,low,"no verified Minerva, ORCID, or OpenAlex author identity","Keep the official staff row usable for headcount. Leave publication coverage as unresolved unless a CV, ORCID, or profile supplies direct evidence.",none,0,not_found,0,"[{""orcid"": ""0000-0001-7369-7185"", ""credit_name"": ""Greg Cusack"", ""given_names"": ""Greg"", ""family_names"": ""Cusack"", ""institutions"": [], ""has_unimelb_affiliation"": false}]",not_found,0,"[{""openalex_author_id"": ""A5020434662"", ""display_name"": ""Greg Cusack"", ""orcid"": null, ""works_count"": 11, ""has_unimelb_affiliation"": false}]",,
Joana Linggo Liong,Accounting,Tutor in Charge,https://fbe.unimelb.edu.au/our-people/staff/accounting/joana-linggo-liong,low,"no verified Minerva, ORCID, or OpenAlex author identity","Keep the official staff row usable for headcount. Leave publication coverage as unresolved unless a CV, ORCID, or profile supplies direct evidence.",none,0,not_found,0,[],not_found,0,[],,
Assaf Dekel,Finance,Tutor - Education Focussed,https://fbe.unimelb.edu.au/our-people/staff/finance/assaf-dekel,low,"no verified Minerva, ORCID, or OpenAlex author identity","Keep the official staff row usable for headcount. Leave publication coverage as unresolved unless a CV, ORCID, or profile supplies direct evidence.",none,0,not_found,0,"[{""orcid"": ""0000-0003-2074-3218"", ""credit_name"": null, ""given_names"": ""Assaf"", ""family_names"": ""Dekel"", ""institutions"": [], ""has_unimelb_affiliation"": false}]",not_found,0,"[{""openalex_author_id"": ""A5073649601"", ""display_name"": ""Assaf Dekel"", ""orcid"": null, ""works_count"": 11, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5034509563"", ""display_name"": ""Dekel Assaf"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}]",,
Allan Horsfall,Finance,Tutor - Education Focussed,https://fbe.unimelb.edu.au/our-people/staff/finance/allan-horsfall,low,"no verified Minerva, ORCID, or OpenAlex author identity","Keep the official staff row usable for headcount. Leave publication coverage as unresolved unless a CV, ORCID, or profile supplies direct evidence.",none,0,not_found,0,[],not_found,0,"[{""openalex_author_id"": ""A5119611925"", ""display_name"": ""Allan Horsfall"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5119611549"", ""display_name"": ""Allan Horsfall"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}]",,
Natalie (Nhung) Le,Finance,Tutor - Education Focussed,https://fbe.unimelb.edu.au/our-people/staff/finance/natalie-le,low,"no verified Minerva, ORCID, or OpenAlex author identity","Keep the official staff row usable for headcount. Leave publication coverage as unresolved unless a CV, ORCID, or profile supplies direct evidence.",none,0,not_found,0,"[{""orcid"": ""0009-0005-5257-6372"", ""credit_name"": ""Natalie Bao Tram Le"", ""given_names"": ""Natalie"", ""family_names"": ""Le"", ""institutions"": [""Harvard University""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0009-0004-3717-4722"", ""credit_name"": null, ""given_names"": ""Natalie"", ""family_names"": ""Le"", ""institutions"": [""The Heart Research Institute"", ""University of New South Wales"", ""University of Sydney""], ""has_unimelb_affiliation"": false}]",not_found,0,"[{""openalex_author_id"": ""A5054754469"", ""display_name"": ""Natalie Le Sage"", ""orcid"": ""0000-0003-4762-8156"", ""works_count"": 111, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5109242023"", ""display_name"": ""Natalie Le"", ""orcid"": null, ""works_count"": 10, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5101521402"", ""display_name"": ""Nhat Le"", ""orcid"": ""0009-0007-1122-4981"", ""works_count"": 27, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5077142326"", ""display_name"": ""Natalie Le Clue"", ""orcid"": ""0000-0002-3224-139X"", ""works_count"": 21, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5062514560"", ""display_name"": ""Natalie le Roux"", ""orcid"": null, ""works_count"": 2, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5093390692"", ""display_name"": ""Natalie Le Lay"", ""orcid"": null, ""works_count"": 2, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5100859480"", ""display_name"": ""Natalie Le"", ""orcid"": null, ""works_count"": 2, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5108260171"", ""display_name"": ""Ms Natalie le Roux"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5073482156"", ""display_name"": ""Natalie Le Clézio"", ""orcid"": null, ""works_count"": 3, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5114449912"", ""display_name"": ""Natalie Le-Blanc"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5107694535"", ""display_name"": ""Natalie B. Le"", ""orcid"": ""0009-0005-5257-6372"", ""works_count"": 2, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5125775931"", ""display_name"": ""Natalie Le"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5123750525"", ""display_name"": ""Natalie Le"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5149958621"", ""display_name"": ""Natalie Le Clue"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5106773710"", ""display_name"": ""Natalie Le Clue"", ""orcid"": null, ""works_count"": 2, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5127681682"", ""display_name"": ""Natalie Le Clue"", ""orcid"": null, ""works_count"": 2, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5116883975"", ""display_name"": ""Natalie Le Clue"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5131359706"", ""display_name"": ""Natalie Le Clue"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5023944113"", ""display_name"": ""Natalie Le Roux"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5106773698"", ""display_name"": ""Natalie Le Clue"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}]",,
Bob Li,Finance,Teaching Specialist,https://fbe.unimelb.edu.au/our-people/staff/finance/bob-li,low,"no verified Minerva, ORCID, or OpenAlex author identity","Keep the official staff row usable for headcount. Leave publication coverage as unresolved unless a CV, ORCID, or profile supplies direct evidence.",none,0,not_found,0,"[{""orcid"": ""0000-0002-9919-4452"", ""credit_name"": null, ""given_names"": ""bob"", ""family_names"": ""li"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-0517-1920"", ""credit_name"": null, ""given_names"": ""Bob"", ""family_names"": ""Li"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-7127-0249"", ""credit_name"": null, ""given_names"": ""bob"", ""family_names"": ""li"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-2637-4943"", ""credit_name"": null, ""given_names"": ""Bob"", ""family_names"": ""Li"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-6661-8733"", ""credit_name"": ""Bob T. Li"", ""given_names"": ""Bob"", ""family_names"": ""Li"", ""institutions"": [""Memorial Sloan-Kettering Cancer Center""], ""has_unimelb_affiliation"": false}]",not_found,0,"[{""openalex_author_id"": ""A5042115782"", ""display_name"": ""Bob T. Li"", ""orcid"": ""0000-0001-6661-8733"", ""works_count"": 607, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5108213143"", ""display_name"": ""B. Li"", ""orcid"": null, ""works_count"": 9, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5036510236"", ""display_name"": ""Bob Li"", ""orcid"": null, ""works_count"": 3, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5051173116"", ""display_name"": ""LI Xiao-bob"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5020438713"", ""display_name"": ""LI Bob"", ""orcid"": null, ""works_count"": 5, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5079070343"", ""display_name"": ""Bob X Li"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5077772142"", ""display_name"": ""T Li Bob"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5015098225"", ""display_name"": ""LI Jing-bob"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5048304831"", ""display_name"": ""XU Li-bob"", ""orcid"": null, ""works_count"": 3, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5013791201"", ""display_name"": ""LI Guang-bob"", ""orcid"": null, ""works_count"": 1, ""has_unimelb_affiliation"": false}]",,
Gaby Nardari,Finance,Lecturer - Education Focussed,https://fbe.unimelb.edu.au/our-people/staff/finance/gaby-berhe-nardari,low,"no verified Minerva, ORCID, or OpenAlex author identity","Keep the official staff row usable for headcount. Leave publication coverage as unresolved unless a CV, ORCID, or profile supplies direct evidence.",none,0,not_found,0,[],not_found,0,[],,
Linh Nguyen,Finance,Lecturer - Education Focussed & Program Director (Master of Applied Finance),https://findanexpert.unimelb.edu.au/profile/999882,high,"no verified Minerva, ORCID, or OpenAlex author identity",Compare candidate publications and identifiers with the official profile; approve only an identifier supported by direct evidence.,ambiguous,2,ambiguous,2,"[{""orcid"": ""0000-0001-8619-0308"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-2966-2270"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-1551-8588"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""nguyen"", ""institutions"": [""Orenburg State University""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-1252-6168"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Loughborough University"", ""University of Western Sydney School of Business""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-2624-9176"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyễn"", ""institutions"": [""Foreign Trade University"", ""University of East Anglia""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-4454-7310"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Coventry University"", ""Vysnova""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-6681-2552"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-8732-8436"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-6101-4911"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-6423-6042"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyễn"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-2980-3248"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-0837-5945"", ""credit_name"": ""Nguyen Tran Bao Linh"", ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Hiroshima University""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-8030-5001"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-7029-5081"", ""credit_name"": ""Linh91"", ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Can Tho University"", ""Mekong University"", ""PCR Biotechnology Com., Ltd."", ""Tan Tao University"", ""University of Tsukuba"", ""Wellcome Trust""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-4695-5446"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-2870-4934"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-9310-0753"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-7167-8455"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-1240-6094"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-8129-0446"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-0650-6227"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-1392-3165"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-2822-9777"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Development and Policies Research Center"", ""University of Groningen"", ""Vietnam National University of Agriculture""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-7814-1418"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-9561-4352"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-7278-8835"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Hue University""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-8257-5902"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Tohoku University""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0009-0005-0808-0695"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-6801-1679"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Applied Molecular Transport"", ""Stanford University""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-4916-4693"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Hue University"", ""Quang Nam univeristy""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-2905-3291"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-4298-113X"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyễn"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-4052-0791"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-9588-0287"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-8171-1303"", ""credit_name"": ""Linh Duy Nguyen"", ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-3228-6520"", ""credit_name"": ""Linh T. Nguyen"", ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Ho Chi Minh City University of Science"", ""Humboldt-Universität zu Berlin"", ""Max Delbrück Center for Molecular Medicine"", ""University of Tsukuba""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-4566-2668"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-5825-1601"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0009-0000-4734-3463"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0009-0004-5648-4021"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Vietnam National University, Hanoi""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-4021-8720"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0001-8995-2822"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyễn"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-8344-3418"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""University of Oxford""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0003-0776-9480"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0009-0006-3184-5649"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""University of Economics Ho Chi Minh City""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0009-0004-1824-4959"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""National Economics University""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-3324-9107"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-4567-5162"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0000-0002-3457-5764"", ""credit_name"": ""Linh T. T. Nguyen"", ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""The University of Queensland"", ""Vietnam National University of Agriculture""], ""has_unimelb_affiliation"": false}, {""orcid"": ""0009-0001-2927-7295"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [], ""has_unimelb_affiliation"": false}, {""orcid"": ""0009-0006-7425-6342"", ""credit_name"": ""Dr Linh Nguyen"", ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Monash University"", ""University of Melbourne""], ""has_unimelb_affiliation"": true}, {""orcid"": ""0009-0006-1582-8160"", ""credit_name"": null, ""given_names"": ""Linh"", ""family_names"": ""Nguyen"", ""institutions"": [""Australian and New Zealand Association of Clinical Anatomists"", ""Australian and New Zealand Orthopaedic Research Society"", ""Australian and New Zealand Society of Biomechanics"", ""The University of Melbourne"", ""University of Auckland""], ""has_unimelb_affiliation"": true}]",ambiguous,2,"[{""openalex_author_id"": ""A5015096941"", ""display_name"": ""Paul L. Nguyen"", ""orcid"": ""0000-0003-4268-3973"", ""works_count"": 926, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5039423086"", ""display_name"": ""Linh T. Nguyen"", ""orcid"": ""0000-0003-3470-1318"", ""works_count"": 147, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5101684958"", ""display_name"": ""Linh P. Nguyen"", ""orcid"": ""0000-0003-3373-0838"", ""works_count"": 55, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5036310727"", ""display_name"": ""Nguyễn Thị Thùy Linh"", ""orcid"": null, ""works_count"": 120, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5067470754"", ""display_name"": ""Ngoc Cuong Nguyen"", ""orcid"": ""0000-0001-9167-5780"", ""works_count"": 205, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5101777505"", ""display_name"": ""Linh Nguyen"", ""orcid"": ""0000-0003-4820-6967"", ""works_count"": 78, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5046137901"", ""display_name"": ""Linh V. Nguyen"", ""orcid"": ""0000-0002-2543-2374"", ""works_count"": 116, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5060426055"", ""display_name"": ""Linh Nhat Nguyen"", ""orcid"": ""0000-0003-1967-3857"", ""works_count"": 63, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5034201659"", ""display_name"": ""Van-Linh Nguyen"", ""orcid"": ""0000-0002-3472-0108"", ""works_count"": 109, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5058186317"", ""display_name"": ""Linh Hồ Thùy Nguyễn"", ""orcid"": ""0000-0003-3187-8310"", ""works_count"": 113, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5053404847"", ""display_name"": ""Thu Anh Nguyen"", ""orcid"": ""0000-0002-2089-2902"", ""works_count"": 178, ""has_unimelb_affiliation"": true}, {""openalex_author_id"": ""A5059294221"", ""display_name"": ""Linda Nguyen"", ""orcid"": ""0000-0002-7165-6678"", ""works_count"": 108, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5106428542"", ""display_name"": ""Linh T. Nguyen"", ""orcid"": ""0000-0002-4143-5225"", ""works_count"": 132, ""has_unimelb_affiliation"": true}, {""openalex_author_id"": ""A5103391433"", ""display_name"": ""Linh N Nguyen"", ""orcid"": null, ""works_count"": 7, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5055424683"", ""display_name"": ""Linh Anh Nguyen"", ""orcid"": ""0000-0002-8109-0567"", ""works_count"": 171, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5021335306"", ""display_name"": ""Linh Nguyen"", ""orcid"": ""0000-0002-6132-8312"", ""works_count"": 101, ""has_unimelb_affiliation"": true}, {""openalex_author_id"": ""A5063877992"", ""display_name"": ""Nguyen Thuy Ba Linh"", ""orcid"": ""0000-0002-8532-8296"", ""works_count"": 58, ""has_unimelb_affiliation"": false}, {""openalex_author_id"": ""A5101741884"", ""display_name"": ""Hong‐Kong T. Nguyen"", ""orcid"": ""0000-0003-4075-9823"", ""works_count"": 121, ""has_unimelb_affiliation"": false}]",,
