journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Financial Management,Financial Management,WILEY,0046-3892; 1755-053X,A*,2025,7.5,5.3,2025,3.477,Q1,88,9.5,2025
Journal of Banking & Finance,Journal of Banking & Finance,Elsevier,0378-4266; 1872-6372,A*,2025,4.0,4.7,2025,1.954,Q1,225,5.11,2025
Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica,Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica,Elsevier BV,1000-9361; 2588-9230,,,6.9,6.8,2025,1.404,Q1,101,7.26,2025
Energies,Energies,MDPI,1996-1073,,,3.9,3.5,2025,0.748,Q1,201,4.61,2025
IEEE Journal on Selected Areas in Communications,IEEE Journal on Selected Areas in Communications,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0733-8716; 1558-0008,,,16.8,17.7,2025,6.496,Q1,287,18.03,2025
Applied Energy,Applied Energy,ELSEVIER SCI LTD,0306-2619; 1872-9118,A,2025,12.2,12.1,2025,2.864,Q1,354,13.74,2025
IEEE Communications Magazine,IEEE Communications Magazine,Institute of Electrical and Electronics Engineers,0163-6804; 1558-1896,,,8.3,10.0,2025,2.924,Q1,306,8.64,2025
Small Business Economics,Small Business Economics,SPRINGER,0921-898X; 1573-0913,A,2025,5.9,8.4,2025,2.618,Q1,196,8.58,2025
Annals of Finance,Annals of Finance,SPRINGER HEIDELBERG,1614-2446; 1614-2454,B,2025,1.1,1.1,2025,0.343,Q2,30,1.13,2025
Accounting and Finance,Accounting and Finance,WILEY,0810-5391; 1467-629X,A,2025,2.6,3.6,2025,0.814,Q1,77,3.53,2025
Management Accounting Research,Management Accounting Research,Elsevier BV,1044-5005; 1096-1224,A*,2025,4.5,5.6,2025,1.625,Q1,109,5.19,2025
The Accounting Review,Accounting Review,AMER ACCOUNTING ASSOC,0001-4826; 1558-7967,A*,2025,4.0,7.2,2025,4.403,Q1,217,3.71,2025
Journal of Management Accounting Research,Journal of Management Accounting Research,AMER ACCOUNTING ASSOC,1049-2127; 1558-8033,A*,2025,1.5,2.1,2025,1.248,Q1,38,1.91,2025
Qualitative Research in Accounting and Management,Qualitative Research in Accounting and Management,EMERALD GROUP PUBLISHING LTD,1176-6093; 1758-7654,A,2025,2.8,2.9,2025,1.027,Q1,42,3.7,2025
Australian Accounting Review,Australian Accounting Review,Wiley,1035-6908; 1835-2561,B,2025,2.8,3.1,2025,0.702,Q2,54,3.1,2025
International Review of Finance,International Review of Finance,Wiley,1369-412X; 1468-2443,A,2025,2.3,2.2,2025,0.636,Q2,35,2.96,2025
Australian Journal of Corporate Law,Australian Journal of Corporate Law,Butterworths,1037-4124,A,2025,,,,,,,,
Journal of Business and Policy Research,Journal of Business and Policy Research,,1449-387X; 1838-3742,,,,,,,,,,
Journal of Remote Sensing,Journal of Remote Sensing,American Association for the Advancement of Science (AAAS),2694-1589; 2097-0064,,,11.0,12.2,2025,2.727,Q1,29,9.75,2025
Scientific Data,Scientific Data,Springer Science and Business Media LLC,2052-4463,,,7.2,9.3,2025,1.907,Q1,165,6.78,2025
International Review of Financial Analysis,International Review of Financial Analysis,Elsevier BV,1057-5219; 1873-8079,A,2025,10.2,10.3,2025,2.373,Q1,129,11.33,2025
Accounting and Business Research,Accounting and Business Research,Informa UK Limited,0001-4788; 2159-4260,A,2025,2.5,3.0,2025,1.065,Q1,77,3.62,2025
British Accounting Review,British Accounting Review,Elsevier BV,0890-8389; 1095-8347,A*,2025,8.0,8.5,2025,1.705,Q1,100,8.33,2025
Contemporary Accounting Research,Contemporary Accounting Research,Wiley,0823-9150; 1911-3846,A*,2025,4.9,6.8,2025,3.686,Q1,141,6.37,2025
Corporate Governance: an international review,Corporate governance. An International Review,Wiley,0964-8410; 1467-8683,A,2025,5.4,7.3,2025,1.992,Q1,120,8.85,2025
The Economic Record,Economic Record,WILEY,0013-0249; 1475-4932,A,2025,0.8,1.3,2025,0.469,Q2,53,1.27,2025
Journal of Financial Economics,Journal of Financial Economics,ELSEVIER SCIENCE SA,0304-405X; 1879-2774,A*,2025,8.8,15.8,2025,18.748,Q1,355,8.99,2025
Journal of Financial Markets,Journal of financial markets,Elsevier,1386-4181; 1878-576X,A*,2025,2.5,2.5,2025,1.544,Q1,77,2.7,2025
The Journal of Finance,Journal of Finance,WILEY,0022-1082; 1540-6261,A*,2025,12.2,12.3,2025,22.27,Q1,386,12.3,2025
Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,CAMBRIDGE UNIV PRESS,0022-1090; 1756-6916,A*,2025,4.1,5.3,2025,4.404,Q1,164,4.15,2025
Review of Finance,Review of Finance,Oxford University Press,1572-3097; 1573-692X; 1382-6662; 1875-824X,A*,2025,7.2,10.4,2025,9.87,Q1,91,7.62,2025
JASSA: The Finsia Journal of Applied Finance,JASSA,Financial Services Institute of Australasia,0313-5934,B,2025,,,,,,,,
Communications Psychology,Communications Psychology,Nature Portfolio,2731-9121,,,6.4,6.4,2025,,,,,
Scientific Reports,Scientific Reports,Nature Portfolio,2045-2322,,,4.9,4.8,2025,0.893,Q1,382,5.01,2025
Behavioural Brain Research,Behavioural Brain Research,Elsevier BV,0166-4328; 1872-7549,,,2.9,2.9,2025,0.862,Q2,206,3.12,2025
Schizophrenia Bulletin,Schizophrenia Bulletin,Oxford University Press (OUP),0586-7614; 1745-1701; 1745-1707,,,5.7,6.4,2025,2.071,Q1,236,5.12,2025
PLoS Computational Biology,PLoS Computational Biology,Public Library of Science (PLoS),1553-734X; 1553-7358,,,3.7,4.4,2025,1.466,Q1,237,3.5,2025
npj Mental Health Research,npj Mental Health Research,Nature Portfolio,2731-4251,,,9.1,8.3,2025,1.814,Q1,17,8.41,2025
Psychopharmacology,Psychopharmacology,SPRINGER,0033-3158; 1432-2072,,,3.3,3.5,2025,1.147,Q1,224,3.38,2025
Journal of Behavioral and Experimental Finance,Journal of Behavioral and Experimental Finance,Elsevier,2214-6369; 2214-6350,A,2025,3.9,4.5,2025,0.965,Q1,54,4.68,2025
Human Brain Mapping,Human Brain Mapping,Wiley,1065-9471; 1097-0193,,,4.0,4.8,2025,1.501,Q1,231,4.04,2025
Public Health Genomics,Public Health Genomics,Karger Publishers,1422-2795; 1422-2833; 1662-4246; 1662-8063,,,2.2,2.0,2025,0.547,Q2,62,1.84,2025
Frontiers in Psychology,Frontiers in Psychology,Frontiers Media,1664-1078,,,3.8,4.2,2025,0.941,Q1,241,3.94,2025
Frontiers in Behavioral Neuroscience,Frontiers in Behavioral Neuroscience,Frontiers Media SA,1662-5153,,,3.4,3.7,2025,1.077,Q1,115,2.97,2025
Neuropsychology Review,Neuropsychology Review,Springer Verlag,1040-7308; 1573-6660,,,8.2,8.8,2025,2.193,Q1,123,7.89,2025
Journal of Neuroscience,Journal of Neuroscience,Society for Neuroscience,0270-6474; 1529-2401,,,4.3,5.1,2025,1.836,Q1,528,3.71,2025
Psychophysiology,Psychophysiology,Wiley,0048-5772; 1540-5958; 1469-8986,,,3.2,4.0,2025,1.233,Q1,191,3.33,2025
Neuropsychologia,Neuropsychologia,Elsevier,0028-3932; 1873-3514,,,2.5,2.8,2025,0.854,Q2,244,2.51,2025
NeuroImage: Clinical,NeuroImage: Clinical,Elsevier,2213-1582,,,4.2,4.6,2025,1.507,Q1,117,4.47,2025
Appetite,Appetite,Elsevier,0195-6663; 1095-8304,A,2025,4.2,4.9,2025,1.057,Q1,205,4.31,2025
Review of Income and Wealth,"Review of Income and Wealth, The",Wiley,0034-6586; 1475-4991,A,2025,1.7,2.4,2025,1.212,Q1,77,2.34,2025
PLoS ONE,PLoS ONE,Public Library of Science (PLoS),1932-6203,,,2.8,3.3,2025,0.726,Q1,500,2.95,2025
Philosophical Transactions of the Royal Society of London. Biological Sciences,Philosophical Transactions of the Royal Society of London. Biological Sciences,"Royal Society, The",0962-8436; 1471-2970,,,5.3,6.2,2025,1.725,Q1,350,5.03,2025
Journal of Experimental Psychology: Human Perception and Performance,Journal of Experimental Psychology: Human Perception and Performance,Center for Open Science,0096-1523; 1939-1277,,,2.7,2.7,2025,1.285,Q1,175,2.33,2025
"Journal of Experimental Psychology: learning, memory, and cognition",Journal of Experimental Psychology: Learning Memory and Cognition,American Psychological Association,0278-7393; 1939-1285,A,2025,2.3,2.8,2025,1.219,Q1,187,2.13,2025
Proceedings of the Royal Society of London. Biological Sciences,Proceedings of the Royal Society of London. Biological Sciences,"Royal Society, The",0962-8452; 1471-2954; 0080-4649; 2053-9193,,,3.6,4.4,2025,1.408,Q1,313,3.6,2025
eNeuro,eNeuro,SOC NEUROSCIENCE,2373-2822,,,2.6,3.1,2025,1.016,Q1,74,2.35,2025
Journal of Business Finance & Accounting,Journal of Business Finance & Accounting,WILEY-BLACKWELL,0306-686X; 1468-5957,A*,2025,2.6,3.5,2025,1.202,Q1,102,3.81,2025
Review of Accounting and Finance,Review of Accounting and Finance,Emerald,1475-7702; 1758-7700,B,2025,4.6,3.3,2025,0.731,Q1,39,6.0,2025
Management Science,Management science,INFORMS,0025-1909; 1526-5501,A*,2025,5.7,7.6,2025,6.428,Q1,321,7.69,2025
Beijing Law Review,Beijing Law Review,"Scientific Research Publishing, Inc.",2159-4627; 2159-4635,,,,,,,,,,
Australian Tax Forum,"Australian Tax Forum: a journal of taxation policy, law and reform",Taxation Institute of Australia,0812-695X,A*,2025,,,,,,,,
The Journal of Futures Markets,"Journal of Futures Markets, The",WILEY,0270-7314; 1096-9934,A,2025,2.8,2.5,2025,0.599,Q2,69,2.93,2025
Journal of Corporate Finance,Journal of Corporate Finance,ELSEVIER,0929-1199; 1872-6313,A*,2025,6.9,10.5,2025,2.706,Q1,166,7.97,2025
Journal of Accounting Auditing and Finance,"Journal of Accounting, Auditing and Finance",SAGE PUBLICATIONS INC,0148-558X; 2160-4061,A,2025,1.3,2.1,2025,0.965,Q1,68,1.91,2025
Accounting History,Accounting History,SAGE PUBLICATIONS LTD,1032-3732; 1749-3374,A,2025,1.2,1.3,2025,0.404,Q1,36,1.0,2025
