name,orcid,source_id,journal_name,title,year,author_count,authors,doi,article_url,link,quality_rank,sjr_quartile,citation_percentile,cited_by_count,fwci,oa_status,oa_url,publication_status,source
Andrea Lu,0000-0002-8635-2167,54873,Financial Management,Growing Pains: International Instability and Equity Market Returns,2017,3.0,"Chen, Z; Lu, AY; Yang, Z",10.1111/fima.12165,https://doi.org/10.1111/fima.12165,https://doi.org/10.1111/fima.12165,A*,Q1,0.9635296,10.0,5.6252,green,http://hdl.handle.net/11343/158072,published,UniMelb Minerva
Andrea Lu,0000-0002-8635-2167,54873,Journal of Banking & Finance,Slow Diffusion of Information and Price Momentum in Stocks: Evidence from Options Markets,2017,2.0,"Chen, Z; LU, A",10.1016/j.jbankfin.2016.11.010,https://doi.org/10.1016/j.jbankfin.2016.11.010,https://doi.org/10.1016/j.jbankfin.2016.11.010,A*,Q1,0.95409519,42.0,5.3129,green,http://hdl.handle.net/11343/172291,published,UniMelb Minerva
André Gygax,0000-0001-7265-9400,223,Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica,Secure task offloading strategy optimization of UAV-aided outdoor mobile high-definition live streaming,2025,5.0,"YAN, M; ZHANG, Y; CHAN, CA; GYGAX, AF; LI, C",10.1016/j.cja.2025.103454,https://doi.org/10.1016/j.cja.2025.103454,https://doi.org/10.1016/j.cja.2025.103454,,Q1,0.99219006,11.0,23.1543,hybrid,https://doi.org/10.1016/j.cja.2025.103454,published,UniMelb Minerva
André Gygax,0000-0001-7265-9400,223,Energies,Modeling the Total Energy Consumption of Mobile Network Services and Applications,2019,7.0,"Yan, M; Chan, CA; Gygax, AF; Yan, J; Campbell, L; Nirmalathas, A; Leckie, C",10.3390/en12010184,https://doi.org/10.3390/en12010184,https://doi.org/10.3390/en12010184,,Q1,0.98439654,93.0,10.6261,gold,https://www.mdpi.com/1996-1073/12/1/184/pdf?version=1546859704,published,UniMelb Minerva
André Gygax,0000-0001-7265-9400,223,IEEE Journal on Selected Areas in Communications,Network Energy Consumption Assessment of Conventional Mobile Services and Over-The-Top Instant Messaging Applications,2016,10.0,"Yan, M; Chan, CA; Li, W; Chih-Lin, I; Bian, S; Gygax, AF; Leckie, C; Hinton, K; Wong, E; Nirmalathas, A",10.1109/jsac.2016.2611978,https://doi.org/10.1109/jsac.2016.2611978,https://doi.org/10.1109/jsac.2016.2611978,,Q1,0.89340223,48.0,2.4674,green,http://hdl.handle.net/11343/191144,published,UniMelb Minerva
André Gygax,0000-0001-7265-9400,223,Applied Energy,Telecommunications energy and greenhouse gas emissions management for future network growth,2016,6.0,"Chan, CA; Gygax, AF; Leckie, C; Wong, E; Nirmalathas, A; Hinton, K",10.1016/j.apenergy.2016.01.007,https://doi.org/10.1016/j.apenergy.2016.01.007,https://doi.org/10.1016/j.apenergy.2016.01.007,A,Q1,0.6962236,14.0,0.5806,green,http://hdl.handle.net/11343/91757,published,UniMelb Minerva
André Gygax,0000-0001-7265-9400,223,IEEE Communications Magazine,Assessing network energy consumption of mobile applications,2015,8.0,"Chan, CA; Li, W; Bian, S; I, C-L; GYGAX, AF; Leckie, C; Yan, M; Hinton, K",10.1109/mcom.2015.7321989,https://doi.org/10.1109/mcom.2015.7321989,https://doi.org/10.1109/mcom.2015.7321989,,Q1,0.84871559,17.0,1.6533,closed,,published,UniMelb Minerva
André Gygax,0000-0001-7265-9400,223,Small Business Economics,Succession financing in family firms,2013,3.0,"Koropp, C; Grichnik, D; Gygax, AF",10.1007/s11187-012-9442-z,https://doi.org/10.1007/s11187-012-9442-z,https://doi.org/10.1007/s11187-012-9442-z,A,Q1,0.88305096,48.0,2.0242,closed,,published,UniMelb Minerva
André Gygax,0000-0001-7265-9400,223,Journal of Banking & Finance,Index composition changes and the cost of incumbency,2010,2.0,"Gygax, AF; Otchere, I",10.1016/j.jbankfin.2010.04.007,https://doi.org/10.1016/j.jbankfin.2010.04.007,https://doi.org/10.1016/j.jbankfin.2010.04.007,A*,Q1,,22.0,,closed,,published,UniMelb Minerva
André Gygax,0000-0001-7265-9400,223,Annals of Finance,Pricing errors and estimates of risk premia in factor models,2010,3.0,"Sawyer, KR; Gygax, AF; Hazledine, M",10.1007/s10436-008-0116-4,https://doi.org/10.1007/s10436-008-0116-4,https://doi.org/10.1007/s10436-008-0116-4,B,Q2,0.78836417,3.0,0.7121,closed,,published,UniMelb Minerva
André Gygax,0000-0001-7265-9400,223,Accounting and Finance,"Audit quality, auditor compensation and initial public offering underpricing",2008,4.0,"Chang, X; Gygax, AF; Oon, E; Zhang, HF",10.1111/j.1467-629x.2008.00275.x,https://doi.org/10.1111/j.1467-629x.2008.00275.x,https://doi.org/10.1111/j.1467-629x.2008.00275.x,A,Q1,0.95333281,65.0,4.8562,green,https://figshare.com/articles/journal_contribution/Audit_quality_auditor_compensation_and_initial_public_offering_underpricing/21056617,published,UniMelb Minerva
Anne Lillis,0000-0002-3057-6428,590,Management Accounting Research,Using emphasis frames to embed values in the interpretation of multiple performance criteria,2025,3.0,"Martyn, P; Sweeney, B; Lillis, AM",10.1016/j.mar.2024.100914,https://doi.org/10.1016/j.mar.2024.100914,https://doi.org/10.1016/j.mar.2024.100914,A*,Q1,0.7017464,1.0,0.3755,hybrid,https://doi.org/10.1016/j.mar.2024.100914,published,UniMelb Minerva
Anne Lillis,0000-0002-3057-6428,590,The Accounting Review,The Role of Subjectivity in Mitigating Incentive Contracting Risks,2022,3.0,"Lillis, AM; Malina, MA; Mundy, J",10.2308/tar-2017-0652,https://doi.org/10.2308/tar-2017-0652,https://doi.org/10.2308/tar-2017-0652,A*,Q1,0.92679846,29.0,3.5044,green,http://hdl.handle.net/11343/281551,published,UniMelb Minerva
Anne Lillis,0000-0002-3057-6428,590,Journal of Management Accounting Research,Performance Measurement System Design in Joint Strategy Settings,2008,2.0,"Lillis, AM; van Veen-Dirks, PMG",10.2308/jmar.2008.20.1.25,https://doi.org/10.2308/jmar.2008.20.1.25,https://doi.org/10.2308/jmar.2008.20.1.25,A*,Q1,0.2066787,9.0,0.0,green,https://core.ac.uk/display/16153354,published,UniMelb Minerva
Anne Lillis,0000-0002-3057-6428,590,Qualitative Research in Accounting and Management,"Qualitative management accounting research: Rationale, pitfalls and potential: A comment on Vaivio (2008)",2008,1.0,"Lillis, A",10.1108/11766090810910236,https://doi.org/10.1108/11766090810910236,https://doi.org/10.1108/11766090810910236,A,Q1,0.88060856,31.0,2.1931,closed,,published,UniMelb Minerva
Anne Lillis,0000-0002-3057-6428,590,The Accounting Review,Profits versus Losses: Does Reporting an Accounting Loss Act as a Heuristic Trigger to Exercise the Abandonment Option and Divest Employees?,2007,2.0,"PINNUCK, M; LILLIS, A",10.2308/accr.2007.82.4.1031,https://doi.org/10.2308/accr.2007.82.4.1031,https://doi.org/10.2308/accr.2007.82.4.1031,A*,Q1,0.96410452,343.0,6.8577,closed,,published,UniMelb Minerva
Anne Lillis,0000-0002-3057-6428,590,Management Accounting Research,A multi-method approach to building causal performance maps from expert knowledge,2005,5.0,"Abernethy, MA; Horne, M; Lillis, AM; Malina, MA; Selto, FH",10.1016/j.mar.2005.03.003,https://doi.org/10.1016/j.mar.2005.03.003,https://doi.org/10.1016/j.mar.2005.03.003,A*,Q1,0.97249157,129.0,8.5662,closed,,published,UniMelb Minerva
Anne Lillis,0000-0002-3057-6428,590,Journal of Management Accounting Research,Cross-Sectional Field Studies in Management Accounting Research—Closing the Gaps between Surveys and Case Studies,2005,2.0,"Lillis, AM; Mundy, J",10.2308/jmar.2005.17.1.119,https://doi.org/10.2308/jmar.2005.17.1.119,https://doi.org/10.2308/jmar.2005.17.1.119,A*,Q1,0.82731554,56.0,1.3637,green,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID719841_code42136.pdf?abstractid=719841&mirid=1,published,UniMelb Minerva
Anne Lillis,0000-0002-3057-6428,590,Australian Accounting Review,Health Sector Performance Management,2005,2.0,"LILLIS, A; GRAFTON, J",10.1111/j.1835-2561.2005.tb00297.x,https://doi.org/10.1111/j.1835-2561.2005.tb00297.x,https://doi.org/10.1111/j.1835-2561.2005.tb00297.x,B,Q2,0.46345718,1.0,0.0,closed,,published,UniMelb Minerva
Asjeet Lamba,0000-0002-7541-967X,2727,International Review of Finance,The Role of Executive Stock Options in On‐Market Share Buybacks *,2010,2.0,"LAMBA, AS; MIRANDA, VM",10.1111/j.1468-2443.2010.01118.x,https://doi.org/10.1111/j.1468-2443.2010.01118.x,https://doi.org/10.1111/j.1468-2443.2010.01118.x,A,Q2,0.17024874,7.0,0.0,closed,,published,UniMelb Minerva
Attila Balogh,0000-0002-7026-1965,172695,Journal of Remote Sensing,Themeda: Predicting Land Cover Change Using Deep Learning,2025,6.0,"Turnbull, R; Mannion, DJ; Wells, JA; Shrestha, KM; Balogh, A; Runting, RK",10.34133/remotesensing.0780,https://doi.org/10.34133/remotesensing.0780,https://doi.org/10.34133/remotesensing.0780,,Q1,0.0919647,0.0,0.0,diamond,https://doi.org/10.34133/remotesensing.0780,published,UniMelb Minerva
Attila Balogh,0000-0002-7026-1965,172695,Scientific Data,Insider trading,2023,1.0,"Balogh, A",10.1038/s41597-023-02147-6,https://doi.org/10.1038/s41597-023-02147-6,https://doi.org/10.1038/s41597-023-02147-6,,Q1,,5.0,,gold,https://www.nature.com/articles/s41597-023-02147-6.pdf,published,UniMelb Minerva
Attila Balogh,0000-0002-7026-1965,172695,International Review of Financial Analysis,Time to acquire: Regulatory burden and M&A activity,2022,3.0,"Balogh, A; Creedy, U; Wright, D",10.1016/j.irfa.2022.102047,https://doi.org/10.1016/j.irfa.2022.102047,https://doi.org/10.1016/j.irfa.2022.102047,A,Q1,0.90317894,13.0,2.7905,closed,,published,UniMelb Minerva
