name,title,year,journal,doi,source,screened_reason
Elizabeth Bowman,"Resource allocation, computational complexity, and market design",2024,Journal of Behavioral and Experimental Finance,10.1016/j.jbef.2024.100906,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Not so smart? “Smart” drugs increase the level but decrease the quality of cognitive effort,2023,Science Advances,10.1126/sciadv.add4165,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Surveying the Use of Pharmaceutical Cognitive Enhancers in the Australian Financial Services Industry,2020,,10.2139/ssrn.3661966,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Asset Pricing under Computational Complexity,2019,,10.2139/ssrn.3475433,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,The Efficient Markets Hypothesis Does Not Hold When Securities Valuation Is Computationally Hard,2017,,10.2139/ssrn.2925071,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Longitudinal assessment of reflexive and volitional saccades in Niemann-Pick Type C disease during treatment with miglustat,2015,Orphanet Journal of Rare Diseases,10.1186/s13023-015-0377-8,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Longitudinal changes in cerebellar and subcortical volumes in adult-onset Niemann–Pick disease type C patients treated with miglustat,2015,Journal of Neurology,10.1007/s00415-015-7819-z,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Cerebellar volume correlates with saccadic gain and ataxia in adult Niemann-Pick type C,2013,Molecular Genetics and Metabolism,10.1016/j.ymgme.2012.11.009,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Subcortical volumetric reductions in adult niemann-pick disease type C: A cross-sectional study,2013,American Journal of Neuroradiology,10.3174/ajnr.a3356,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Pontine-to-midbrain ratio indexes ocular-motor function and illness stage in adult Niemann-Pick disease type C,2012,European Journal of Neurology,10.1111/j.1468-1331.2011.03545.x,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Saccadic Eye Movement Characteristics in Adult Niemann-Pick Type C Disease: Relationships with Disease Severity and Brain Structural Measures,2012,PLoS ONE,10.1371/journal.pone.0050947,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Pontine-to-midbrain ratio indexes ocular-motor function and illness stage in adult Niemann-Pick disease type C,2011,European Journal of Neurology,10.1111/j.1468-1331.2011.3545.x,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Size and shape of the corpus callosum in adult niemann-pick type C reflects state and trait illness variables,2011,American Journal of Neuroradiology,10.3174/ajnr.a2490,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Gender dimorphism in siblings with schizophrenia-like psychosis due to Niemann-Pick disease type C,2009,Journal of Inherited Metabolic Disease,10.1007/s10545-009-1173-1,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,"Saccades in adult Niemann-Pick disease type C reflect frontal, brainstem, and biochemical deficits",2009,Neurology,10.1212/01.wnl.0000345040.01917.9d,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Does performance on the standard antisaccade task meet the co-familiality criterion for an endophenotype?,2008,Brain and Cognition,10.1016/j.bandc.2008.08.027,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Hierarchical decomposition of dichoptic multifocal visual evoked potentials,2006,Visual Neuroscience,10.1017/s0952523806230013,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Contrast response of temporally sparse dichoptic multifocal visual evoked potentials,2005,Visual Neuroscience,10.1017/s0952523805222046,ORCID,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Juan Pablo Franco,The neural dynamics associated with computational complexity,2024,PLOS Computational Biology,10.1371/journal.pcbi.1012447,ORCID,only 14% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Juan Pablo Franco,Harnessing Computational Complexity Theory to Model Human Decision‐making and Cognition,2023,Cognitive Science,10.1111/cogs.13304,ORCID,only 14% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Juan Pablo Franco,Task-independent metrics of computational hardness predict human cognitive performance,2022,Scientific Reports,10.1038/s41598-022-16565-w,ORCID,only 14% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Juan Pablo Franco,Generic properties of a computational task predict human effort and performance,2021,Journal of Mathematical Psychology,10.1101/405449,ORCID,only 14% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Juan Pablo Franco,"Asset Price Bubbles: Existence, Persistence and Migration",2017,South African Journal of Economics,10.1111/saje.12108,ORCID,only 14% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Juan Pablo Franco,"Burbujas en precios de activos financieros: existencia, persistencia y migración",2015,Política monetaria y estabilidad financiera en economías pequeñas y abiertas,10.32468/ebook.664-314-6,ORCID,only 14% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Juan Pablo Franco,Task-independent metrics of computational hardness predict human cognitive performance,2021,,10.1101/2021.04.25.441300,Crossref,only 14% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
