name,job_title,academic_level,university,field_of_research,source_id,orcid,profile_url
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,University of Melbourne,Accounting,4757,0000-0002-1244-7593,https://findanexpert.unimelb.edu.au/profile/14551
Rosemary Addis,"Enterprise Professor in impact, sustainability and innovation",E,University of Melbourne,Accounting,,0000-0001-9466-4470,https://fbe.unimelb.edu.au/our-people/staff/accounting/rosemary-addis
Gary Biddle,Professor,E,University of Melbourne,Accounting,120646,0000-0003-3405-0738,https://findanexpert.unimelb.edu.au/profile/774767
Stuart Black,"Enterprise Fellow in data, analytics, disruption and innovation",,University of Melbourne,Accounting,164026,0000-0002-5391-256X,https://findanexpert.unimelb.edu.au/profile/900177
Jonathan Black,Senior Lecturer,C,University of Melbourne,Accounting,182928,0000-0001-9805-5672,https://findanexpert.unimelb.edu.au/profile/1045278
Noel Boys,Teaching Fellow,,University of Melbourne,Accounting,,,https://findanexpert.unimelb.edu.au/profile/11503
Albie Brooks,Professor,E,University of Melbourne,Accounting,,,https://findanexpert.unimelb.edu.au/profile/177702
Geoffrey Burrows,Associate Professor,D,University of Melbourne,Accounting,11110,,https://fbe.unimelb.edu.au/our-people/staff/accounting/geoffrey_burrows
Danny Burton,Lecturer,B,University of Melbourne,Accounting,,0009-0009-8084-9058,https://fbe.unimelb.edu.au/our-people/staff/accounting/danny-burton
Phill Cobbin,Principal Fellow Honorary,,University of Melbourne,Accounting,,0000-0002-1117-7341,https://findanexpert.unimelb.edu.au/profile/13986
Wayne Coetzee,Teaching Fellow,,University of Melbourne,Accounting,,,https://fbe.unimelb.edu.au/our-people/staff/accounting/wayne-coetzee
Bob Cornick,Lecturer (Education Focussed),B,University of Melbourne,Accounting,,,https://fbe.unimelb.edu.au/our-people/staff/accounting/bob-cornick
Greg Cusack,Teaching Fellow,,University of Melbourne,Accounting,,,https://fbe.unimelb.edu.au/our-people/staff/accounting/greg-cusack
Michael Davern,Professor of Accounting & Business Information Systems,E,University of Melbourne,Accounting,4743,0000-0002-9572-812X,https://findanexpert.unimelb.edu.au/profile/14375
Tongqing (Tony) Ding,Senior Lecturer (Engagement/Research),C,University of Melbourne,Accounting,151430,0000-0001-9335-6644,https://fbe.unimelb.edu.au/our-people/staff/accounting/tongqing-ding
Matt Dyki,Teaching Fellow,,University of Melbourne,Accounting,,,https://findanexpert.unimelb.edu.au/profile/223994
Patrick Ferguson,Senior Lecturer,C,University of Melbourne,Accounting,59488,0000-0003-2376-5463,https://findanexpert.unimelb.edu.au/profile/196369
Jennifer Grafton,Associate Dean (Global Engagement),E,University of Melbourne,Accounting,8626,0000-0003-3545-3870,https://findanexpert.unimelb.edu.au/profile/2122
Lisa Greig,Teaching Specialist (Education Focussed),,University of Melbourne,Accounting,,0009-0000-2997-4309,https://fbe.unimelb.edu.au/our-people/staff/accounting/lisa-greig
Jane Hronsky,Lecturer,B,University of Melbourne,Accounting,11236,0000-0002-1987-7668,https://findanexpert.unimelb.edu.au/profile/14595
Chung-Yu Hung,Deputy Head of Department,D,University of Melbourne,Accounting,116746,0000-0003-0805-5260,https://findanexpert.unimelb.edu.au/profile/759375
Xue Jia,Senior Lecturer,C,University of Melbourne,Accounting,124963,0000-0002-0843-9259,https://findanexpert.unimelb.edu.au/profile/788715
Like Jiang,Senior Lecturer,C,University of Melbourne,Accounting,115447,0000-0003-1704-9751,https://findanexpert.unimelb.edu.au/profile/747313
Flora Kuang,Professor,E,University of Melbourne,Accounting,,0000-0001-5095-4118,https://findanexpert.unimelb.edu.au/profile/743113
Warren Lee,Tutor Assistant Lecturer,B,University of Melbourne,Accounting,,0009-0009-2000-0538,https://fbe.unimelb.edu.au/our-people/staff/accounting/warren-lee
Stewart Leech,Professor,E,University of Melbourne,Accounting,33361,0000-0001-6956-1357,https://findanexpert.unimelb.edu.au/profile/278
Anne Lillis,Emeritus Professor Honorary,E,University of Melbourne,Accounting,590,0000-0002-3057-6428,https://findanexpert.unimelb.edu.au/profile/14425
Joana Linggo Liong,Tutor in Charge,,University of Melbourne,Accounting,,,https://fbe.unimelb.edu.au/our-people/staff/accounting/joana-linggo-liong
Junhao Liu,Senior Lecturer,C,University of Melbourne,Accounting,,,https://findanexpert.unimelb.edu.au/profile/1093039
Derick Lyle,Teaching Fellow,,University of Melbourne,Accounting,,,https://findanexpert.unimelb.edu.au/profile/826860
Rebecca Mattocks,Lecturer,B,University of Melbourne,Accounting,,,https://fbe.unimelb.edu.au/our-people/staff/accounting/rebecca-mattocks
Warren McKeown,Teaching Fellow,,University of Melbourne,Accounting,,,https://findanexpert.unimelb.edu.au/profile/178662
