name,job_title,academic_level,field_of_research,profile_url,university,orcid,title,doi,author_count,year,article_url,source,citation_percentile,journal_name,issn,quality_rank,impact_factor
Anne Lillis,Emeritus Professor Honorary,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14425,UNIMELB,0000-0002-3057-6428,Using emphasis frames to embed values in the interpretation of multiple performance criteria,10.1016/j.mar.2024.100914,3,2025,https://doi.org/10.1016/j.mar.2024.100914,minerva,,Management Accounting Research,1044-5005,,
Anne Lillis,Emeritus Professor Honorary,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14425,UNIMELB,0000-0002-3057-6428,The Role of Subjectivity in Mitigating Incentive Contracting Risks,10.2308/tar-2017-0652,3,2022,https://doi.org/10.2308/tar-2017-0652,minerva,,Accounting Review,0001-4826,,
Anne Lillis,Emeritus Professor Honorary,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14425,UNIMELB,0000-0002-3057-6428,Performance Measurement System Design in Joint Strategy Settings,10.2308/jmar.2008.20.1.25,2,2008,https://doi.org/10.2308/jmar.2008.20.1.25,minerva,,Journal of Management Accounting Research,1049-2127,,
Anne Lillis,Emeritus Professor Honorary,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14425,UNIMELB,0000-0002-3057-6428,"Qualitative management accounting research: Rationale, pitfalls and potential: A comment on Vaivio (2008)",10.1108/11766090810910236,1,2008,https://doi.org/10.1108/11766090810910236,minerva,,Qualitative Research in Accounting and Management,1176-6093,,
Anne Lillis,Emeritus Professor Honorary,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14425,UNIMELB,0000-0002-3057-6428,Profits versus Losses: Does Reporting an Accounting Loss Act as a Heuristic Trigger to Exercise the Abandonment Option and Divest Employees?,10.2308/accr.2007.82.4.1031,2,2007,https://doi.org/10.2308/accr.2007.82.4.1031,minerva,,Accounting Review,0001-4826,,
Anne Lillis,Emeritus Professor Honorary,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14425,UNIMELB,0000-0002-3057-6428,A multi-method approach to building causal performance maps from expert knowledge,10.1016/j.mar.2005.03.003,5,2005,https://doi.org/10.1016/j.mar.2005.03.003,minerva,,Management Accounting Research,1044-5005,,
Anne Lillis,Emeritus Professor Honorary,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14425,UNIMELB,0000-0002-3057-6428,Cross-Sectional Field Studies in Management Accounting Research—Closing the Gaps between Surveys and Case Studies,10.2308/jmar.2005.17.1.119,2,2005,https://doi.org/10.2308/jmar.2005.17.1.119,minerva,,Journal of Management Accounting Research,1049-2127,,
Anne Lillis,Emeritus Professor Honorary,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14425,UNIMELB,0000-0002-3057-6428,Health Sector Performance Management,10.1111/j.1835-2561.2005.tb00297.x,2,2005,https://doi.org/10.1111/j.1835-2561.2005.tb00297.x,minerva,,Australian Accounting Review,1035-6908,,
Bo Qin,,D,Accounting,https://findanexpert.unimelb.edu.au/profile/743093,UNIMELB,0000-0001-5817-1169,Parent-subsidiary dispersion and ESG rating disparities: evidence from China,10.1080/00014788.2025.2518082,4,2026,https://doi.org/10.1080/00014788.2025.2518082,minerva,,Accounting and Business Research,0001-4788,,
Bo Qin,,D,Accounting,https://findanexpert.unimelb.edu.au/profile/743093,UNIMELB,0000-0001-5817-1169,From bytes to bucks: The influence of social media commentary on private placements in Chinese listed companies,10.1016/j.bar.2025.101812,4,2025,https://doi.org/10.1016/j.bar.2025.101812,minerva,,British Accounting Review,0890-8389,,
