journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Behavioral Research in Accounting,Behavioral Research in Accounting,American Accounting Association,1050-4753; 1558-8009,A,2025,1.8,2.2,2025,0.679,Q2,36,1.83,2025
Accounting and Finance,Accounting and Finance,Wiley,0810-5391; 1467-629X,A,2025,2.6,3.6,2025,0.814,Q1,77,3.53,2025
Abacus,ABACUS,Wiley,0001-3072; 1467-6281,A,2025,1.7,2.8,2025,0.762,Q2,60,3.2,2025
"Environment, Development and Sustainability","Environment, Development and Sustainability",Springer Science+Business Media,1387-585X; 1573-2975,,,4.9,5.0,2025,0.972,Q1,112,6.28,2025
International Journal of Construction Management,International Journal of Construction Management,Taylor & Francis,1562-3599; 2331-2327,B,2025,2.9,4.0,2025,0.945,Q1,62,6.13,2025
International Journal of Sustainable Development,International Journal of Sustainable Development,Inderscience Publishers,0960-1406; 1741-5268,,,,,,0.174,Q4,34,0.66,2025
Asia-Pacific Journal of Accounting and Economics,Asia-Pacific Journal of Accounting and Economics,Taylor & Francis,1608-1625; 2164-2257,B,2025,2.1,1.8,2025,0.459,Q2,33,2.39,2025
Energy Policy,Energy Policy,Elsevier BV,0301-4215; 1873-6777,A,2025,9.3,9.4,2025,2.516,Q1,311,10.11,2025
Smart and Sustainable Built Environment,Smart and Sustainable Built Environment,Emerald Publishing Limited,2046-6099; 2046-6102,C,2025,5.7,5.9,2025,1.198,Q1,46,9.38,2025
Journal of Management in Engineering,Journal of Management in Engineering,American Society of Civil Engineers,0742-597X; 1943-5479; 9742-597X,A,2025,6.0,6.6,2025,1.486,Q1,112,6.4,2025
International Journal of Strategic Property Management,International Journal of Strategic Property Management,Vilnius Gediminas Technical University,1648-715X; 1648-9179,B,2025,1.2,1.6,2025,0.317,Q3,42,1.32,2025
Construction Management and Economics,Construction Management and Economics,Taylor & Francis,0144-6193; 1466-433X,A,2025,3.2,4.0,2025,0.801,Q1,121,4.65,2025
Journal of Financial Management of Property and Construction,Journal of Financial management of property and construction,Emerald Publishing Limited,1366-4387; 1759-8443,C,2025,2.9,2.1,2025,0.43,Q2,35,3.45,2025
International Journal of Project Planning and Finance,International Journal of Project Planning and Finance,,,,,,,,,,,,
Engineering Economist,The Engineering Economist,Taylor & Francis,0013-791X; 1547-2701,C,2025,0.9,0.9,2025,0.203,Q3,37,0.97,2025
JASSA - Journal of the Securities Institute of Australia,JASSA - Journal of the Securities Institute of Australia,Financial Services Institute of Australasia (Finsia),,,,,,,,,,,
Journal of Business Finance & Accounting,Journal of Business Finance and Accounting,Wiley,0306-686X; 1468-5957,A*,2025,2.6,3.5,2025,1.202,Q1,102,3.81,2025
Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,Cambridge University Press,0022-1090; 1756-6916,A*,2025,4.1,5.3,2025,4.404,Q1,164,4.15,2025
Management Science,Management Science,Institute for Operations Research and the Management Sciences,0025-1909; 1526-5501,A*,2025,5.7,7.6,2025,6.428,Q1,321,7.69,2025
The Journal of Finance,Journal of Finance,Wiley,0022-1082; 1540-6261,A*,2025,12.2,12.3,2025,22.27,Q1,386,12.3,2025
The Review of Financial Studies,Review of Financial Studies,Oxford University Press,0893-9454; 1465-7368,A*,2025,7.6,12.7,2025,17.406,Q1,268,8.71,2025
Journal of Economic Theory,Journal of Economic Theory,Elsevier BV,0022-0531; 1095-7235,A*,2025,1.1,1.6,2025,2.842,Q1,124,1.35,2025
Journal of Economic Dynamics and Control,Journal of Economic Dynamics and Control,Elsevier BV,0165-1889; 1879-1743,A*,2025,1.8,2.2,2025,1.324,Q1,110,2.1,2025
Canadian Public Policy / Analyse de Politiques,Canadian Public Policy,University of Toronto Press,0317-0861; 1911-9917,B,2025,1.4,1.7,2025,0.429,Q2,45,1.34,2025
Applied Economics,Applied Economics,Taylor & Francis,0003-6846; 1466-4283,A,2025,2.6,2.5,2025,0.625,Q2,126,3.31,2025
Australian Tax Review,AUSTRALIAN TAX REVIEW,,0311-094X,A,2025,0.1,0.1,2025,,,,,
Weekly Tax Bulletin,Weekly Tax Bulletin,,,,,,,,,,,,
Tax Specialist,The Tax Specialist,,1329-1203,B,2025,,,,,,,,
Tax Notes International,Tax Notes International,Wiley,0024-3590; 1939-5590; 1939-5604,,,3.5,4.6,2025,1.527,Q1,236,3.95,2025
Australian Tax Forum,Australian Tax Forum,12th International Conference on Tax Administration,0812-695X,A*,2025,,,,,,,,
"Australian Tax Forum: a journal of taxation policy, law and reform","Australian Tax Forum: a journal of taxation policy, law and reform",RELX Group (Netherlands),,,,,,,,,,,
Journal of the Australasian Tax Teachers Association,Journal of the Australasian Tax Teachers Association,,1832-911X,B,2025,0.3,0.4,2025,0.134,Q4,6,0.25,2025
Company and Securities Law Journal,COMPANY AND SECURITIES LAW JOURNAL,,0729-2775,A,2025,0.1,0.3,2025,,,,,
Retirement & Estate Planning Bulletin,Retirement & Estate Planning Bulletin,,,,,,,,,,,,
Australian Tax Law Bulletin,Australian Tax Law Bulletin,,2203-9481,C,2025,,,,,,,,
Financial Planning Research Journal,Financial Planning Research Journal,,2206-1355,C,2025,,,,,,,,
CCH Tax Week,CCH Tax Week,,,,,,,,,,,,
Journal of Australian Taxation,Journal of Australian Taxation,,1440-0405,A,2025,,,,0.115,Q4,4,0.06,2025
ConTax - Student Member Newsletter of the Tax Institute,ConTax - Student Member Newsletter of the Tax Institute,,,,,,,,,,,,
eJournal of Tax Research,eJournal of Tax Research,,1448-2398,A,2025,0.3,0.4,2025,0.19,Q4,15,0.65,2025
Revenue Law Journal,Revenue Law Journal,Bond University,1034-7747; 2202-4859,B,2025,,,,,,,,
Goods and Services Tax Journal,Goods and Services Tax Journal,,,,,,,,,,,,
Australian Law Journal,Australian Law Journal,,0004-9611,A,2025,0.2,0.2,2025,,,,,
NSW Law Society Journal,NSW Law Society Journal,,,,,,,,,,,,
Taxation in Australia (Blue Edition),Taxation in Australia (Blue Edition),,,,,,,,,,,,
Taxation in Australia,Taxation in Australia,,0494-8343,C,2025,,,,,,,,
Australian Tax Forum Journal,Australian Tax Forum Journal,,,,,,,,,,,,
GST Today,GST Today,,,,,,,,,,,,
Taxation in Australia: Red Edition,Taxation in Australia: Red Edition,,,,,,,,,,,,
Taxation In Australia (Red Edition),Taxation In Australia (Red Edition),,,,,,,,,,,,
Butterworth's Fringe Benefits Tax Bulletin,Butterworth's Fringe Benefits Tax Bulletin,,,,,,,,,,,,
Butterworth's Capital Gains Tax Circular,Butterworth's Capital Gains Tax Circular,,,,,,,,,,,,
British Tax Review,British Tax Review,,0007-1870,A*,2025,,,,0.174,Q3,5,0.28,2025
