name,orcid,source_id,journal_name,title,year,author_count,authors,doi,article_url,link,quality_rank,sjr_quartile,citation_percentile,cited_by_count,fwci,oa_status,oa_url,publication_status,source
Shaun Bond,0000-0002-6368-3828,6079108,The International Journal of Accounting,Mandatory disclosures of greenhouse gas emissions and managerial myopia: evidence from the United States,2025,4.0,"Li, Chenjia; Chang, Liang; Bond, Shaun; Zhu, Yushu",10.1142/s1094406025410057,https://doi.org/10.1142/s1094406025410057,https://espace.library.uq.edu.au/view/UQ:02e94da,A,Q2,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Quarterly Review of Economics and Finance,Seasonal patterns of earnings releases and post-earnings announcement drift,2023,3.0,"Bond, Shaun; Wu, Wentao; Zheng, Suyan",10.1016/j.qref.2023.07.003,https://doi.org/10.1016/j.qref.2023.07.003,https://espace.library.uq.edu.au/view/UQ:4a30105,B,Q2,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Review of Financial Economics,Homemade equity offerings via dividend reinvestment and stock purchase plans,2023,3.0,"Bond, Shaun; Pai, Yu-Jou; Zheng, Suyan",10.1002/rfe.1172,https://doi.org/10.1002/rfe.1172,https://espace.library.uq.edu.au/view/UQ:6345a6d,B,Q3,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Journal of Real Estate Finance and Economics,Systematic mispricing: evidence from real estate markets,2022,3.0,"Bond, Shaun; Guo, Hui; Yang, Changyu",10.1007/s11146-021-09883-9,https://doi.org/10.1007/s11146-021-09883-9,https://espace.library.uq.edu.au/view/UQ:4466e5b,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Real Estate Economics,The role of parents on the home ownership experience of their children: evidence from the health and retirement study,2020,2.0,"Bond, Shaun A.; Eriksen, Michael D.",10.1111/1540-6229.12332,https://doi.org/10.1111/1540-6229.12332,https://espace.library.uq.edu.au/view/UQ:997d766,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Real Estate Economics,The impact of dividend reinvestment plans on firm payout choices-evidence from real estate investment trusts,2019,4.0,"Bond, Shaun A.; Pai, Yu-Jou; Wang, Peng; Zheng, Suyan",10.1111/1540-6229.12248,https://doi.org/10.1111/1540-6229.12248,https://espace.library.uq.edu.au/view/UQ:35cafca,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Journal of Real Estate Finance and Economics,Commercial real estate market property level capital expenditures: An options analysis,2019,3.0,"Bond, Shaun A.; Shilling, James D.; Wurtzebach, Charles H.",10.1007/s11146-018-9680-1,https://doi.org/10.1007/s11146-018-9680-1,https://espace.library.uq.edu.au/view/UQ:64825b6,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Journal of Real Estate Finance and Economics,The cross section of expected real estate returns: Insights from investment-based asset pricing,2016,2.0,"Bond, Shaun; Xue, Chen",10.1007/s11146-016-9573-0,https://doi.org/10.1007/s11146-016-9573-0,https://espace.library.uq.edu.au/view/UQ:dcd1924,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Journal of Real Estate Finance and Economics,Incentivizing green single-family construction: Identifying effective government policies and their features,2016,2.0,"Bond, Shaun A.; Devine, Avis",10.1007/s11146-015-9525-0,https://doi.org/10.1007/s11146-015-9525-0,https://espace.library.uq.edu.au/view/UQ:59c81ba,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Journal of Real Estate Finance and Economics,Certification matters: Is green talk cheap talk?,2015,2.0,"Bond, Shaun A.; Devine, Avis",10.1007/s11146-015-9499-y,https://doi.org/10.1007/s11146-015-9499-y,https://espace.library.uq.edu.au/view/UQ:d1ca517,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Real Estate Economics,The impact of leveraged and inverse ETFs on underlying real estate returns: Leverage and inverse ETFs and REITs,2014,3.0,"Bai, Qing; Bond, Shaun A.; Hatch, Brian",10.1111/1540-6229.12061,https://doi.org/10.1111/1540-6229.12061,https://espace.library.uq.edu.au/view/UQ:62d5177,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Journal of Property Research,The impact of enterprise zone tax incentives on local property markets in England: who actually benefits?,2013,3.0,"Bond, Shaun A.; Gardiner, Ben; Tyler, Peter",10.1080/09599916.2012.721381,https://doi.org/10.1080/09599916.2012.721381,https://espace.library.uq.edu.au/view/UQ:77a567b,B,Q2,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Journal of International Money and Finance,Liquidity dynamics across public and private markets,2012,2.0,"Bond, Shaun A.; Chang, Qingqing",10.1016/j.jimonfin.2012.05.020,https://doi.org/10.1016/j.jimonfin.2012.05.020,https://espace.library.uq.edu.au/view/UQ:4e0e874,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,Real Estate Economics,Commercial real estate returns: An anatomy of smoothing in asset and index returns: An anatomy of smoothing in asset and index returns,2012,3.0,"Bond, Shaun A.; Hwang, Soosung; Marcato, Gianluca",10.1111/j.1540-6229.2011.00327.x,https://doi.org/10.1111/j.1540-6229.2011.00327.x,https://espace.library.uq.edu.au/view/UQ:52587d8,A,Q1,,,,,,published,UQ eSpace
Shaun Bond,0000-0002-6368-3828,6079108,The Journal of Portfolio Management,The information content of real estate derivative prices,2011,2.0,"Bond, Shaun A.; Mitchell, Paul",10.3905/jpm.2011.37.5.170,https://doi.org/10.3905/jpm.2011.37.5.170,https://espace.library.uq.edu.au/view/UQ:82a7179,A,Q2,,,,,,published,UQ eSpace
