journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Abacus,Abacus,Wiley,0001-3072; 1467-6281,A,2025,1.7,2.8,2025.0,0.762,Q2,60.0,3.2,2025
Elsevier BV,Elsevier BV,RELX Group (Netherlands),,,,,,,,,,,
"Journal of International Financial Markets, Institutions and Money",Journal of International Financial Markets Institutions and Money,Elsevier,1042-4431; 1873-0612,A,2025,6.0,5.7,2025.0,1.389,Q1,94.0,7.71,2025
International Review of Financial Analysis,International Review of Financial Analysis,Elsevier,1057-5219; 1873-8079,A,2025,10.2,10.3,2025.0,2.373,Q1,129.0,11.33,2025
Accounting and Finance,Accounting and Finance,Wiley,0810-5391; 1467-629X,A,2025,2.6,3.6,2025.0,0.814,Q1,77.0,3.53,2025
INFORMS Journal on Optimization,INFORMS Journal on Optimization,Institute for Operations Research and the Management Sciences (INFORMS),2575-1484; 2575-1492,,,,,,,,,,
Current Sustainable/Renewable Energy Reports,Current Sustainable/Renewable Energy Reports,Springer Nature,2196-3010,,,,,,0.888,Q1,34.0,3.19,2025
European Journal of Operational Research,European Journal of Operational Research,Elsevier,0377-2217; 1872-6860,A*,2025,7.0,6.9,2025.0,2.373,Q1,333.0,8.17,2025
Naval Research Logistics,Naval Research Logistics,Wiley,0894-069X; 1520-6750,B,2025,2.3,2.6,2025.0,1.204,Q1,80.0,2.78,2025
Operations Research,Operations Research,Institute for Operations Research and the Management Sciences (INFORMS),0030-364X; 1526-5463,A*,2025,3.0,3.7,2025.0,3.759,Q1,173.0,4.13,2025
Oxford Bulletin of Economics and Statistics,Oxford Bulletin of Economics and Statistics,Wiley,0305-9049; 1468-0084,A,2025,2.1,2.6,2025.0,0.971,Q1,93.0,2.18,2025
Foundations and Trends® in Technology Information and Operations Management,Foundations and Trends® in Technology Information and Operations Management,Emerald,1571-9545; 1571-9553,,,,,,0.131,Q4,18.0,0.35,2025
Operations Research Letters,Operations Research Letters,Elsevier,0167-6377; 1872-7468,B,2025,1.0,1.1,2025.0,0.572,Q2,89.0,1.23,2025
Mathematical Programming,Mathematical Programming,Springer Nature,0025-5610; 1436-4646,,,2.1,3.2,2025.0,2.111,Q1,157.0,3.35,2025
Local Search in Combinatorial Optimization,Local Search in Combinatorial Optimization,,,,,,,,,,,,
Journal of Economic Theory,Journal of Economic Theory,Elsevier,0022-0531; 1095-7235,A*,2025,1.1,1.6,2025.0,2.842,Q1,124.0,1.35,2025
Production and Operations Management,Production and Operations Management,SAGE Publications,1059-1478; 1937-5956,A*,2025,4.4,6.9,2025.0,3.612,Q1,161.0,5.48,2025
RAND Journal of Economics,The RAND Journal of Economics,Wiley,0741-6261; 1756-2171,A*,2025,2.6,3.2,2025.0,4.617,Q1,135.0,2.47,2025
Journal of Optimization Theory and Applications,Journal of Optimization Theory and Applications,Springer Nature,0022-3239; 1573-2878,A,2025,1.9,1.9,2025.0,0.759,Q1,111.0,1.84,2025
Journal of Supply Chain Management,Journal of Supply Chain Management,Wiley,1523-2409; 1055-6001; 1745-493X; 2375-0588,A*,2025,13.5,13.4,2025.0,3.632,Q1,125.0,12.4,2025
International Journal of Industrial Organization,International Journal of Industrial Organization,Elsevier,0167-7187; 1873-7986,A*,2025,1.8,1.9,2025.0,1.449,Q1,100.0,2.04,2025
Energy Policy,Energy Policy,Elsevier,0301-4215; 1873-6777,A,2025,9.3,9.4,2025.0,2.516,Q1,311.0,10.11,2025
