name,orcid,source_id,journal_name,title,year,author_count,authors,doi,article_url,link,quality_rank,sjr_quartile,citation_percentile,cited_by_count,fwci,oa_status,oa_url,publication_status,source
Nurul Alam,0000-0002-9956-2753,nurul.alam,Abacus,The Signalling Effect of Corporate Social Responsibility Reporting: Evidence From Short Selling,2026,3.0,Xiao Liang; Xiaomeng Charlene Chen; Nurul Alam,10.1111/abac.12349,https://doi.org/10.1111/abac.12349,https://doi.org/10.1111/abac.12349,A,Q2,0.85939561,3.0,1.2112,closed,,published,Sydney Profiles
Nurul Alam,0000-0002-9956-2753,nurul.alam,Abacus,Managerial Ability and Debt Choice,2025,4.0,Samsul Alam; Mostafa Monzur Hasan; Nurul Alam; Shahidul Islam,10.1111/abac.12334,https://doi.org/10.1111/abac.12334,https://doi.org/10.1111/abac.12334,A,Q2,0.93893826,6.0,4.0924,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/abac.12334,published,Sydney Profiles
Nurul Alam,0000-0002-9956-2753,nurul.alam,"Journal of International Financial Markets, Institutions and Money",Real earnings management and debt choice,2024,4.0,Mostafa Monzur Hasan; Nurul Alam; Mohammad Riaz Uddin; Stewart Jones,10.1016/j.intfin.2024.102080,https://doi.org/10.1016/j.intfin.2024.102080,https://doi.org/10.1016/j.intfin.2024.102080,A,Q1,0.89471524,5.0,2.0187,closed,,published,Sydney Profiles
Nurul Alam,0000-0002-9956-2753,nurul.alam,International Review of Financial Analysis,Brand capital and debt choice,2024,4.0,Nurul Alam; Sabri Boubaker; Xiaomeng Charlene Chen; Mostafa Monzur Hasan,10.1016/j.irfa.2024.103160,https://doi.org/10.1016/j.irfa.2024.103160,https://doi.org/10.1016/j.irfa.2024.103160,A,Q1,0.99209811,25.0,17.0517,hybrid,https://www.sciencedirect.com/science/article/pii/S1057521924000929,published,Sydney Profiles
Nurul Alam,0000-0002-9956-2753,nurul.alam,"Journal of International Financial Markets, Institutions and Money",Does strategic deviation influence firms’ use of supplier finance?,2023,5.0,Xiaomeng Charlene Chen; Stewart Jones; Mostafa Monzur Hasan; Ruoyun Zhao; Nurul Alam,10.1016/j.intfin.2023.101787,https://doi.org/10.1016/j.intfin.2023.101787,https://doi.org/10.1016/j.intfin.2023.101787,A,Q1,0.95604966,14.0,5.5961,closed,,published,Sydney Profiles
Nurul Alam,0000-0002-9956-2753,nurul.alam,International Review of Financial Analysis,Asset redeployability and trade credit,2022,2.0,Mostafa Monzur Hasan; Nurul Alam,10.1016/j.irfa.2022.102024,https://doi.org/10.1016/j.irfa.2022.102024,https://doi.org/10.1016/j.irfa.2022.102024,A,Q1,0.98518407,43.0,10.5179,closed,,published,Sydney Profiles
Nurul Alam,0000-0002-9956-2753,nurul.alam,"Journal of International Financial Markets, Institutions and Money",Corporate failure prediction: An evaluation of deep learning vs discrete hazard models,2021,3.0,Nurul Alam; Junbin Gao; Stewart Jones,10.1016/j.intfin.2021.101455,https://doi.org/10.1016/j.intfin.2021.101455,https://doi.org/10.1016/j.intfin.2021.101455,A,Q1,0.94750994,30.0,4.7645,closed,,published,Sydney Profiles
Nurul Alam,0000-0002-9956-2753,nurul.alam,Abacus,Asset Redeployability and Corporate Tax Avoidance,2021,3.0,Mostafa Monzur Hasan; Ahsan Habib; Nurul Alam,10.1111/abac.12211,https://doi.org/10.1111/abac.12211,https://doi.org/10.1111/abac.12211,A,Q2,0.97966125,43.0,8.9684,closed,,published,Sydney Profiles
Nurul Alam,0000-0002-9956-2753,nurul.alam,Accounting and Finance,A machine learning analysis of citation impact among selected Pacific Basin journals,2019,2.0,Stewart Jones; Nurul Alam,10.1111/acfi.12584,https://doi.org/10.1111/acfi.12584,https://doi.org/10.1111/acfi.12584,A,Q1,0.69900203,14.0,0.4423,closed,,published,Sydney Profiles
Eddie Anderson,0000-0002-6375-4067,edward.anderson,INFORMS Journal on Optimization,On the Out-of-Sample Performance of Stochastic Dynamic Programming and Model Predictive Control,2026,3.0,Dominic S T Keehan; Andrew B Philpott; Edward J Anderson,10.1287/ijoo.2024.0060,https://doi.org/10.1287/ijoo.2024.0060,https://doi.org/10.1287/ijoo.2024.0060,,,0.14624106,0.0,0.0,diamond,https://doi.org/10.1287/ijoo.2024.0060,published,Sydney Profiles
