name,job_title,academic_level,university,field_of_research,source_id,orcid,profile_url
Nurul Alam,Lecturer,B,University of Sydney,Accounting,nurul.alam,0000-0002-9956-2753,https://profiles.sydney.edu.au/nurul.alam
Eddie Anderson,Professor,E,University of Sydney,Accounting,edward.anderson,0000-0002-6375-4067,https://profiles.sydney.edu.au/edward.anderson
Jane Andrew,,,University of Sydney,Accounting,jane.andrew,0000-0002-3543-5317,https://profiles.sydney.edu.au/jane.andrew
Max Baker,,,University of Sydney,Accounting,max.baker,0000-0002-0322-3010,https://profiles.sydney.edu.au/max.baker
Paul Blayney,Lecturer,B,University of Sydney,Accounting,paul.blayney,0000-0002-5231-4306,https://profiles.sydney.edu.au/paul.blayney
Roel Boomsma,Senior Lecturer,C,University of Sydney,Accounting,roel.boomsma,0000-0002-4255-8323,https://profiles.sydney.edu.au/roel.boomsma
Sara Cao,Associate Lecturer,A,University of Sydney,Accounting,sara.cao,0000-0002-3779-7418,https://profiles.sydney.edu.au/sara.cao
David Chaikin,Associate Professor,D,University of Sydney,Accounting,david.chaikin,0000-0002-9354-2268,https://profiles.sydney.edu.au/david.chaikin
Demetris Christodoulou,Associate Professor,D,University of Sydney,Accounting,demetris.christodoulou,0000-0002-2896-6486,https://profiles.sydney.edu.au/demetris.christodoulou
Wai-Fong Chua,Professor,E,University of Sydney,Accounting,waifong.chua,0000-0002-1634-7151,https://profiles.sydney.edu.au/waifong.chua
Janine Coupe,,,University of Sydney,Accounting,janine.coupe,0009-0006-5392-2473,https://profiles.sydney.edu.au/janine.coupe
Rodney Coyte,Senior Lecturer,C,University of Sydney,Accounting,rodney.coyte,0000-0002-8816-0687,https://profiles.sydney.edu.au/rodney.coyte
Graeme Dean,Emeritus Professor,E,University of Sydney,Accounting,graeme.dean,,https://profiles.sydney.edu.au/graeme.dean
Cary DiLernia,Senior Lecturer,C,University of Sydney,Accounting,cary.dilernia,0000-0002-4348-0476,https://profiles.sydney.edu.au/cary.dilernia
Maria Dyball,Associate Professor,D,University of Sydney,Accounting,maria.dyball,0000-0001-6196-0142,https://profiles.sydney.edu.au/maria.dyball
Matthew Egan,Senior Lecturer,C,University of Sydney,Accounting,matthew.egan,0000-0002-3388-3458,https://profiles.sydney.edu.au/matthew.egan
Clinton Free,Professor,E,University of Sydney,Accounting,clinton.free,0000-0001-6685-1682,https://profiles.sydney.edu.au/clinton.free
Geoff Frost,Associate Professor,D,University of Sydney,Accounting,geoffrey.frost,0000-0003-4990-2382,https://profiles.sydney.edu.au/geoffrey.frost
Uri Gal,Professor,E,University of Sydney,Accounting,uri.gal,0000-0002-6356-3869,https://profiles.sydney.edu.au/uri.gal
Fei Gao,Lecturer,B,University of Sydney,Accounting,fei.gao,0009-0007-6410-1547,https://profiles.sydney.edu.au/fei.gao
Olga Gouveros,Lecturer,B,University of Sydney,Accounting,olga.gouveros,0009-0001-1830-2651,https://profiles.sydney.edu.au/olga.gouveros
Wes Hamilton-Jessop,Lecturer,B,University of Sydney,Accounting,wes.hamilton-jessop,0000-0003-1297-4497,https://profiles.sydney.edu.au/wes.hamilton-jessop
Angela Hecimovic,Senior Lecturer,C,University of Sydney,Accounting,angela.hecimovic,0000-0003-2811-0554,https://profiles.sydney.edu.au/angela.hecimovic
Eva Huang,Lecturer,B,University of Sydney,Accounting,eva.huang,0000-0002-5663-5828,https://profiles.sydney.edu.au/eva.huang
Tina Huynh,Lecturer,B,University of Sydney,Accounting,tina.huynh,0000-0003-0194-8963,https://profiles.sydney.edu.au/tina.huynh
Kaiying Ji,Lecturer,B,University of Sydney,Accounting,kaiying.ji,0000-0002-4332-3892,https://profiles.sydney.edu.au/kaiying.ji
Stewart Jones,Professor,E,University of Sydney,Accounting,stewart.jones,0000-0003-1600-3030,https://profiles.sydney.edu.au/stewart.jones
Amanda Kennedy,Lecturer,B,University of Sydney,Accounting,amanda.kennedy,0000-0003-2020-1144,https://profiles.sydney.edu.au/amanda.kennedy
Tai-Joo Koh,Lecturer,B,University of Sydney,Accounting,tai-joo.koh,0009-0004-9388-8236,https://profiles.sydney.edu.au/tai-joo.koh
Vikas Kumar,Professor,E,University of Sydney,Accounting,vikas.kumar,0000-0002-4129-8216,https://profiles.sydney.edu.au/vikas.kumar
Benjamin Lay,Lecturer,B,University of Sydney,Accounting,benjamin.lay,0000-0003-4003-7695,https://profiles.sydney.edu.au/benjamin.lay
Chang-Yuan Loh,Lecturer,B,University of Sydney,Accounting,chang.loh,0000-0002-6585-6032,https://profiles.sydney.edu.au/chang.loh
Louise Luff,Senior Lecturer,C,University of Sydney,Accounting,louise.luff,0009-0009-6959-9430,https://profiles.sydney.edu.au/louise.luff
Vijaya Murthy,Senior Lecturer,C,University of Sydney,Accounting,vijaya.murthy,0000-0002-8473-7565,https://profiles.sydney.edu.au/vijaya.murthy
Camille Peng,Associate Lecturer,A,University of Sydney,Accounting,shiyao.peng,0009-0002-0853-1861,https://profiles.sydney.edu.au/shiyao.peng
Julian Prester,Senior Lecturer,C,University of Sydney,Accounting,julian.prester,0000-0003-2682-8036,https://profiles.sydney.edu.au/julian.prester
Krithika Randhawa,Associate Professor,D,University of Sydney,Accounting,krithika.randhawa,0000-0001-6972-2827,https://profiles.sydney.edu.au/krithika.randhawa
Abdul Razeed,Senior Lecturer,C,University of Sydney,Accounting,abdul.razeed,0000-0001-8774-6216,https://profiles.sydney.edu.au/abdul.razeed
John Roberts,Professor,E,University of Sydney,Accounting,john.roberts,0000-0003-4965-9626,https://profiles.sydney.edu.au/john.roberts
Ravi Seethamraju,Associate Professor,D,University of Sydney,Accounting,ravi.seethamraju,0000-0002-1419-3806,https://profiles.sydney.edu.au/ravi.seethamraju
Baljit Sidhu,Professor,E,University of Sydney,Accounting,baljit.sidhu,0000-0003-0303-361X,https://profiles.sydney.edu.au/baljit.sidhu
Simon Tan,Senior Lecturer,C,University of Sydney,Accounting,simon.tan,0000-0002-8828-4655,https://profiles.sydney.edu.au/simon.tan
Farzana Tanima,Senior Lecturer,C,University of Sydney,Accounting,farzana.tanima,0000-0002-2449-1460,https://profiles.sydney.edu.au/farzana.tanima
Andrew Terry,Professor,E,University of Sydney,Accounting,andrew.terry,0000-0003-0529-4557,https://profiles.sydney.edu.au/andrew.terry
Sandra Van Der Laan,Professor,E,University of Sydney,Accounting,sandra.vanderlaan,0000-0002-7773-8447,https://profiles.sydney.edu.au/sandra.vanderlaan
Mark Waddington,Lecturer,B,University of Sydney,Accounting,mark.waddington,0009-0004-2947-0441,https://profiles.sydney.edu.au/mark.waddington
Jo Wang,Associate Lecturer,A,University of Sydney,Accounting,jo.wang,0000-0002-3741-4122,https://profiles.sydney.edu.au/jo.wang
Timothy Wang,Lecturer,B,University of Sydney,Accounting,timothy.wang,0000-0002-6646-0566,https://profiles.sydney.edu.au/timothy.wang
Peter Wolnizer,Emeritus Professor,E,University of Sydney,Accounting,peter.wolnizer,,https://profiles.sydney.edu.au/peter.wolnizer
Anna Young-Ferris,Senior Lecturer,C,University of Sydney,Accounting,anna.young-ferris,0000-0001-5492-846X,https://profiles.sydney.edu.au/anna.young-ferris
Chuan Yu,Lecturer,B,University of Sydney,Accounting,c.yu,0000-0002-9003-1198,https://profiles.sydney.edu.au/c.yu
Muchen Yu,Associate Lecturer,A,University of Sydney,Accounting,muchen.yu,0009-0000-7557-5835,https://profiles.sydney.edu.au/muchen.yu
Reaven Yu,Senior Lecturer,C,University of Sydney,Accounting,lichen.yu,0000-0003-0952-8015,https://profiles.sydney.edu.au/lichen.yu
Eagle Zhang,Senior Lecturer,C,University of Sydney,Accounting,eagle.zhang,0000-0002-6322-1148,https://profiles.sydney.edu.au/eagle.zhang
David Jun Zhao,Associate Lecturer,A,University of Sydney,Accounting,jun.zhao,0000-0001-7182-8583,https://profiles.sydney.edu.au/jun.zhao
Shan Zhou,Associate Professor,D,University of Sydney,Accounting,shan.zhou,0000-0001-8367-5326,https://profiles.sydney.edu.au/shan.zhou
Shumi Akhtar,Associate Professor,D,University of Sydney,Finance,shumi.akhtar,0000-0001-7432-9536,https://profiles.sydney.edu.au/shumi.akhtar
Angelo Aspris,Senior Lecturer,C,University of Sydney,Finance,angelo.aspris,0000-0002-1433-1113,https://profiles.sydney.edu.au/angelo.aspris
Emanuela Benincasa,Lecturer,B,University of Sydney,Finance,emanuela.benincasa,0009-0003-9091-9642,https://profiles.sydney.edu.au/emanuela.benincasa
DuckKi Cho,Lecturer,B,University of Sydney,Finance,d.cho,0000-0002-7940-7350,https://profiles.sydney.edu.au/d.cho
Hedda Cui,Associate Lecturer,A,University of Sydney,Finance,hedda.cui,,https://profiles.sydney.edu.au/hedda.cui
Wei Cui,Lecturer,B,University of Sydney,Finance,wei.cui,0009-0001-8403-7833,https://profiles.sydney.edu.au/wei.cui
Quan Gan,Associate Professor,D,University of Sydney,Finance,quan.gan,0000-0002-4465-4562,https://profiles.sydney.edu.au/quan.gan
Andrew Grant,Associate Professor,D,University of Sydney,Finance,andrew.grant,0000-0003-1252-6029,https://profiles.sydney.edu.au/andrew.grant
Iftekhar Hasan,Professor,E,University of Sydney,Finance,iftekhar.hasan,0000-0003-2469-0539,https://profiles.sydney.edu.au/iftekhar.hasan
Guanglian Hu,Senior Lecturer,C,University of Sydney,Finance,guanglian.hu,0000-0001-6339-9264,https://profiles.sydney.edu.au/guanglian.hu
He Huang,Lecturer,B,University of Sydney,Finance,he.huang,0000-0003-3715-6490,https://profiles.sydney.edu.au/he.huang
George Issa,Lecturer,B,University of Sydney,Finance,george.issa,0009-0008-1361-5764,https://profiles.sydney.edu.au/george.issa
