journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Accounting and Business Research,Accounting and Business Research,Routledge,0001-4788; 2159-4260,A,2025,2.5,3.0,2025,1.065,Q1,77,3.62,2025
Finance Research Letters,Finance Research Letters,Elsevier,1544-6123; 1544-6131,A,2025,7.1,7.2,2025,1.672,Q1,143,8.17,2025
International Journal of Auditing,International Journal of Auditing,Royal College of Psychiatrists,1090-6738; 1099-1123,A,2025,2.7,3.1,2025,0.681,Q1,42,3.19,2025
Economics Letters,Economics Letters,Elsevier,0165-1765; 1873-7374,A,2025,2.0,2.0,2025,0.718,Q2,142,2.2,2025
The European Accounting Review,European Accounting Review,Routledge,0963-8180; 1468-4497,A*,2025,2.2,4.8,2025,2.272,Q1,98,6.0,2025
International Review of Financial Analysis,International Review of Financial Analysis,Elsevier,1057-5219; 1873-8079,A,2025,10.2,10.3,2025,2.373,Q1,129,11.33,2025
Management Accounting Research,Management Accounting Research,Academic Press,1044-5005; 1096-1224,A*,2025,4.5,5.6,2025,1.625,Q1,109,5.19,2025
British Accounting Review,British Accounting Review,Academic Press,0890-8389; 1095-8347,A*,2025,8.0,8.5,2025,1.705,Q1,100,8.33,2025
Journal of Banking & Finance,Journal of Banking & Finance,Elsevier,1872-6372; 0378-4266,A*,2025,4.0,4.7,2025,1.954,Q1,225,5.11,2025
Journal of Financial Research,Journal of Financial Research,Wiley-Blackwell,0270-2592; 1475-6803,A,2025,,,,0.436,Q2,58,1.85,2025
Accounting and Finance,Accounting and Finance,John Wiley \& Sons,0810-5391; 1467-629X,A,2025,2.6,3.6,2025,0.814,Q1,77,3.53,2025
Emerging Markets Review,Emerging Markets Review,Elsevier,1566-0141; 1873-6173,A,2025,4.4,5.3,2025,1.115,Q1,83,5.16,2025
Meditari Accountancy Research,Meditari Accountancy Research,Emerald Publishing,2049-372X; 1022-2529; 2049-3738,A,2025,3.8,5.4,2025,0.974,Q1,59,5.94,2025
