name,orcid,source_id,journal_name,title,year,author_count,authors,doi,article_url,link,quality_rank,sjr_quartile,citation_percentile,cited_by_count,fwci,oa_status,oa_url,publication_status,source
Alex Yang,0000-0003-1973-260X,alex-yang-2,Accounting and Business Research,Parent-subsidiary dispersion and ESG rating disparities: evidence from China,2026,4,Bin Li; Xinze Xu; Bo Qin; Xing Yang,10.1080/00014788.2025.2518082,https://doi.org/10.1080/00014788.2025.2518082,https://research-repository.uwa.edu.au/en/publications/parent-subsidiary-dispersion-and-esg-rating-disparities-evidence-/,A,Q1,0.95510237,3.0,5.6945,hybrid,https://doi.org/10.1080/00014788.2025.2518082,published,UWA Pure
Alex Yang,0000-0003-1973-260X,alex-yang-2,Finance Research Letters,AI competition and firm value: Evidence from DeepSeek's disruption,2025,1,Xing Yang,10.1016/j.frl.2025.107447,https://doi.org/10.1016/j.frl.2025.107447,https://research-repository.uwa.edu.au/en/publications/ai-competition-and-firm-value-evidence-from-deepseeks-disruption/,A,Q1,0.99629801,14.0,29.6272,hybrid,https://doi.org/10.1016/j.frl.2025.107447,published,UWA Pure
Alex Yang,0000-0003-1973-260X,alex-yang-2,Finance Research Letters,Domestic AI competition: Is DeepSeek a competitor or catalyst to Chinese AI firms?,2025,2,Jiaying Ge; Xing Yang,10.1016/j.frl.2025.108005,https://doi.org/10.1016/j.frl.2025.108005,https://research-repository.uwa.edu.au/en/publications/domestic-ai-competition-is-deepseek-a-competitor-or-catalyst-to-c/,A,Q1,0.84676093,1.0,1.3424,hybrid,https://doi.org/10.1016/j.frl.2025.108005,published,UWA Pure
Alex Yang,0000-0003-1973-260X,alex-yang-2,Accounting and Business Research,Taming the dragon: stock exchange comment letters and earnings volatility,2025,4,Yao Yao; Bin Li; Bo Qin; Xing Yang,10.1080/00014788.2024.2361607,https://doi.org/10.1080/00014788.2024.2361607,https://research-repository.uwa.edu.au/en/publications/taming-the-dragon-stock-exchange-comment-letters-and-earnings-vol/,A,Q1,0.90895487,4.0,2.7283,hybrid,https://doi.org/10.1080/00014788.2024.2361607,published,UWA Pure
Alex Yang,0000-0003-1973-260X,alex-yang-2,International Journal of Auditing,The effect of internal control quality and internal control disclosure regulation on executive perks: A quasi natural experiment from China,2025,2,Mohan Fonseka; \Al Farooque\,10.1111/ijau.12350,https://doi.org/10.1111/ijau.12350,https://research-repository.uwa.edu.au/en/publications/the-effect-of-internal-control-quality-and-internal-control-discl/,A,Q1,0.94677049,7.0,4.8053,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ijau.12350,published,UWA Pure
Alex Yang,0000-0003-1973-260X,alex-yang-2,Economics Letters,"Cash, crisis, and capers: The UK's cashbox policy during COVID-19",2024,4,Yunhe Dong; Haoyi Luo; Zijin Xu; Xing Yang,10.1016/j.econlet.2024.111760,https://doi.org/10.1016/j.econlet.2024.111760,https://research-repository.uwa.edu.au/en/publications/cash-crisis-and-capers-the-uks-cashbox-policy-during-covid-19/,A,Q2,0.61711092,1.0,0.4037,hybrid,https://doi.org/10.1016/j.econlet.2024.111760,published,UWA Pure
Alex Yang,0000-0003-1973-260X,alex-yang-2,The European Accounting Review,Firm Strategy and CEO−VP Pay Differentials in Equity Compensation,2024,1,"Abernethy, \Margaret A.\",10.1080/09638180.2022.2119153,https://doi.org/10.1080/09638180.2022.2119153,https://research-repository.uwa.edu.au/en/publications/firm-strategy-and-ceovp-pay-differentials-in-equity-compensation/,A*,Q1,0.75671702,4.0,0.8261,closed,,published,UWA Pure
Alex Yang,0000-0003-1973-260X,alex-yang-2,International Review of Financial Analysis,Investing while lending: Do index funds improve managerial information disclosure?,2024,4,Yunhe Dong; Haoyi Luo; Zijin Xu; Xing Yang,10.1016/j.irfa.2024.103247,https://doi.org/10.1016/j.irfa.2024.103247,https://research-repository.uwa.edu.au/en/publications/investing-while-lending-do-index-funds-improve-managerial-informa/,A,Q1,0.90375707,4.0,2.741,hybrid,https://doi.org/10.1016/j.irfa.2024.103247,published,UWA Pure
Alex Yang,0000-0003-1973-260X,alex-yang-2,Management Accounting Research,"Vertical pay disparity, traditional Chinese culture, and employee productivity",2024,1,"Kuang, \Yu Flora\",10.1016/j.mar.2024.100902,https://doi.org/10.1016/j.mar.2024.100902,https://research-repository.uwa.edu.au/en/publications/vertical-pay-disparity-traditional-chinese-culture-and-employee-p/,A*,Q1,0.9738452,16.0,7.8602,hybrid,https://doi.org/10.1016/j.mar.2024.100902,published,UWA Pure
Alex Yang,0000-0003-1973-260X,alex-yang-2,Economics Letters,The impact of social trust on loan grants and default risk: Evidence from China's regional commercial banks during branching policy changes,2023,4,Mohan Fonseka; Grant Richardson; Chander Shekhar; Xing Yang,10.1016/j.econlet.2023.111218,https://doi.org/10.1016/j.econlet.2023.111218,https://research-repository.uwa.edu.au/en/publications/the-impact-of-social-trust-on-loan-grants-and-default-risk-eviden/,A,Q2,0.79673499,5.0,1.2321,closed,,published,UWA Pure
