name,job_title,academic_level,university,field_of_research,source_id,orcid,profile_url
Alex Yang,Lecturer,B,University of Western Australia,Accounting,alex-yang-2,0000-0003-1973-260X,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/
Alex Zhang,Lecturer,B,University of Western Australia,Accounting,alex-zhang,0000-0003-2089-0365,https://research-repository.uwa.edu.au/en/persons/alex-zhang/
Collette Chesters,Lecturer,B,University of Western Australia,Accounting,collette-chesters,0009-0006-4135-7219,https://research-repository.uwa.edu.au/en/persons/collette-chesters/
David Gilchrist,Professor,E,University of Western Australia,Accounting,david-gilchrist,0000-0003-0937-8934,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
Dhammi Azariadis,Lecturer,B,University of Western Australia,Accounting,dr-dhammi-azariadis,0009-0003-8724-2749,https://research-repository.uwa.edu.au/en/persons/dr-dhammi-azariadis/
Fangbin Lin,Lecturer,B,University of Western Australia,Accounting,fangbin-lin,0000-0002-3859-0160,https://research-repository.uwa.edu.au/en/persons/fangbin-lin/
George Shan,Associate Professor,D,University of Western Australia,Accounting,george-shan,0000-0002-5157-312X,https://research-repository.uwa.edu.au/en/persons/george-shan/
Glen Hutchings,Senior Lecturer,C,University of Western Australia,Accounting,glen-hutchings,0000-0003-0500-656X,https://research-repository.uwa.edu.au/en/persons/glen-hutchings/
Leo Langa,Assistant Professor,E,University of Western Australia,Accounting,leo-langa,,https://research-repository.uwa.edu.au/en/persons/leo-langa/
Lyndie Bayne,Senior Lecturer,C,University of Western Australia,Accounting,lyndie-bayne,0000-0002-2991-0265,https://research-repository.uwa.edu.au/en/persons/lyndie-bayne/
Mark Holub,Lecturer,B,University of Western Australia,Accounting,mark-holub,0009-0004-8670-0370,https://research-repository.uwa.edu.au/en/persons/mark-holub/
Nikki Schonfeldt,Senior Lecturer,C,University of Western Australia,Accounting,nikki-schonfeldt,0000-0002-9726-6475,https://research-repository.uwa.edu.au/en/persons/nikki-schonfeldt/
Phil Hancock,Professor,E,University of Western Australia,Accounting,phil-hancock,0000-0002-6281-9869,https://research-repository.uwa.edu.au/en/persons/phil-hancock/
Prerana Agrawal,Lecturer,B,University of Western Australia,Accounting,prerana-agrawal,0000-0001-9410-4844,https://research-repository.uwa.edu.au/en/persons/prerana-agrawal/
Ricky Chung,Lecturer,B,University of Western Australia,Accounting,ricky-chung,0000-0003-1875-7346,https://research-repository.uwa.edu.au/en/persons/ricky-chung/
Simeng Liu,Lecturer,B,University of Western Australia,Accounting,simeng-liu,0000-0002-6062-8743,https://research-repository.uwa.edu.au/en/persons/simeng-liu/
Stijn Masschelein,Senior Lecturer,C,University of Western Australia,Accounting,stijn-masschelein,0000-0002-1291-6222,https://research-repository.uwa.edu.au/en/persons/stijn-masschelein/
Thanesvary Subraamanniam,Lecturer,B,University of Western Australia,Accounting,thanesvary-subraamanniam,0000-0002-3040-9152,https://research-repository.uwa.edu.au/en/persons/thanesvary-subraamanniam/
Vincent Chong,Professor,E,University of Western Australia,Accounting,vincent-chong,0000-0003-4207-2718,https://research-repository.uwa.edu.au/en/persons/vincent-chong/
Warrick Van Zyl,Associate Professor,D,University of Western Australia,Accounting,warrick-van-zyl,0000-0001-8029-6611,https://research-repository.uwa.edu.au/en/persons/warrick-van-zyl/
Chloe Ho,Senior Lecturer,C,University of Western Australia,Finance,choy-yeing-ho,0000-0001-6168-0490,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho/
Daniel Cahill,Lecturer,B,University of Western Australia,Finance,daniel-cahill,0000-0001-5676-4913,https://research-repository.uwa.edu.au/en/persons/daniel-cahill/
Dirk Baur,Professor,E,University of Western Australia,Finance,dirk-baur,0000-0002-0185-0424,https://research-repository.uwa.edu.au/en/persons/dirk-baur/
Duc Vo,Senior Lecturer,C,University of Western Australia,Finance,duc-vo,0000-0001-7823-0349,https://research-repository.uwa.edu.au/en/persons/duc-vo/
Elizabeth Ooi,Senior Lecturer,C,University of Western Australia,Finance,elizabeth-ooi,0000-0002-0868-4561,https://research-repository.uwa.edu.au/en/persons/elizabeth-ooi/
Farhan Shazia,Lecturer,B,University of Western Australia,Finance,farhan-shazia,0000-0003-2162-6451,https://research-repository.uwa.edu.au/en/persons/farhan-shazia/
Frank Liu,Associate Professor,D,University of Western Australia,Finance,frank-liu,0000-0001-9962-3854,https://research-repository.uwa.edu.au/en/persons/frank-liu/
Gary Smith,Associate Lecturer,A,University of Western Australia,Finance,gary-smith,,https://research-repository.uwa.edu.au/en/persons/gary-smith/
Joey Yang,Associate Professor,D,University of Western Australia,Finance,joey-yang,0000-0001-7655-0568,https://research-repository.uwa.edu.au/en/persons/joey-yang/
Kam Chan,Associate Professor,D,University of Western Australia,Finance,kam-chan,0000-0002-3868-3842,https://research-repository.uwa.edu.au/en/persons/kam-chan/
Lai Hoang,Lecturer,B,University of Western Australia,Finance,lai-hoang,0000-0002-4147-4611,https://research-repository.uwa.edu.au/en/persons/lai-hoang/
Lee Smales,Professor,E,University of Western Australia,Finance,lee-smales,0000-0002-9094-9089,https://research-repository.uwa.edu.au/en/persons/lee-smales/
Mosharraf Hossain,Lecturer,B,University of Western Australia,Finance,mosharraf-hossain,0000-0002-6453-4437,https://research-repository.uwa.edu.au/en/persons/mosharraf-hossain/
Paul Gerrans,Professor,E,University of Western Australia,Finance,paul-gerrans,0000-0002-5690-7141,https://research-repository.uwa.edu.au/en/persons/paul-gerrans/
Raymond Da Silva Rosa,Winthrop Professor,E,University of Western Australia,Finance,raymond-da-silva-rosa,0000-0002-3610-3461,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa/
Rui Zhong,Associate Professor,D,University of Western Australia,Finance,rui-zhong,0000-0002-9347-4146,https://research-repository.uwa.edu.au/en/persons/rui-zhong/
Russell Poskitt,Senior Lecturer,C,University of Western Australia,Finance,russell-poskitt,,https://research-repository.uwa.edu.au/en/persons/russell-poskitt/
Thao Hoang,Lecturer,B,University of Western Australia,Finance,thao-hoang,0000-0003-0741-1817,https://research-repository.uwa.edu.au/en/persons/thao-hoang/
Yihui Lan,Senior Lecturer,C,University of Western Australia,Finance,yihui-lan,0000-0002-0312-9868,https://research-repository.uwa.edu.au/en/persons/yihui-lan/
Yuanji Wen,Senior Lecturer,C,University of Western Australia,Finance,yuanji-wen,0000-0002-9725-5741,https://research-repository.uwa.edu.au/en/persons/yuanji-wen/
