name,job_title,academic_level,field_of_research,profile_url,university,orcid,title,doi,author_count,year,article_url,source,citation_percentile,journal_name,issn,quality_rank,impact_factor
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,Parent-subsidiary dispersion and ESG rating disparities: evidence from China,10.1080/00014788.2025.2518082,4,2026,https://research-repository.uwa.edu.au/en/publications/parent-subsidiary-dispersion-and-esg-rating-disparities-evidence-/,pure,,Accounting and Business Research,0001-4788,,
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,AI competition and firm value: Evidence from DeepSeek's disruption,10.1016/j.frl.2025.107447,1,2025,https://research-repository.uwa.edu.au/en/publications/ai-competition-and-firm-value-evidence-from-deepseeks-disruption/,pure,,Finance Research Letters,1544-6123,,
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,Domestic AI competition: Is DeepSeek a competitor or catalyst to Chinese AI firms?,10.1016/j.frl.2025.108005,2,2025,https://research-repository.uwa.edu.au/en/publications/domestic-ai-competition-is-deepseek-a-competitor-or-catalyst-to-c/,pure,,Finance Research Letters,1544-6123,,
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,Taming the dragon: stock exchange comment letters and earnings volatility,10.1080/00014788.2024.2361607,4,2025,https://research-repository.uwa.edu.au/en/publications/taming-the-dragon-stock-exchange-comment-letters-and-earnings-vol/,pure,,Accounting and Business Research,0001-4788,,
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,The effect of internal control quality and internal control disclosure regulation on executive perks: A quasi natural experiment from China,10.1111/ijau.12350,2,2025,https://research-repository.uwa.edu.au/en/publications/the-effect-of-internal-control-quality-and-internal-control-discl/,pure,,International Journal of Auditing,1090-6738,,
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,"Cash, crisis, and capers: The UK's cashbox policy during COVID-19",10.1016/j.econlet.2024.111760,4,2024,https://research-repository.uwa.edu.au/en/publications/cash-crisis-and-capers-the-uks-cashbox-policy-during-covid-19/,pure,,Economics Letters,0165-1765,,
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,Firm Strategy and CEO−VP Pay Differentials in Equity Compensation,10.1080/09638180.2022.2119153,1,2024,https://research-repository.uwa.edu.au/en/publications/firm-strategy-and-ceovp-pay-differentials-in-equity-compensation/,pure,,European Accounting Review,0963-8180,,
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,Investing while lending: Do index funds improve managerial information disclosure?,10.1016/j.irfa.2024.103247,4,2024,https://research-repository.uwa.edu.au/en/publications/investing-while-lending-do-index-funds-improve-managerial-informa/,pure,,International Review of Financial Analysis,1057-5219,,
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,"Vertical pay disparity, traditional Chinese culture, and employee productivity",10.1016/j.mar.2024.100902,1,2024,https://research-repository.uwa.edu.au/en/publications/vertical-pay-disparity-traditional-chinese-culture-and-employee-p/,pure,,Management Accounting Research,1044-5005,,
Alex Yang,Lecturer,B,Accounting,https://research-repository.uwa.edu.au/en/persons/alex-yang-2/,UWA,0000-0003-1973-260X,The impact of social trust on loan grants and default risk: Evidence from China's regional commercial banks during branching policy changes,10.1016/j.econlet.2023.111218,4,2023,https://research-repository.uwa.edu.au/en/publications/the-impact-of-social-trust-on-loan-grants-and-default-risk-eviden/,pure,,Economics Letters,0165-1765,,
