journal_key,journal,journal_canonical,publisher,issns,abdc,doi
The International Journal of Accounting,The International Journal of Accounting,The International Journal of Accounting,World Scientific Publishing Co. Pte. Ltd.,"['1094-4060', '2213-3933']",A,10.1142/s1094406025410057
SSRN Electronic Journal,SSRN Electronic Journal,,,['1556-5068'],,10.2139/ssrn.4584928
Quarterly Review of Economics and Finance,The Quarterly Review of Economics and Finance,The Quarterly Review of Economics and Finance,Elsevier BV,['1062-9769'],B,10.1016/j.qref.2023.07.003
Review of Financial Economics,Review of Financial Economics,Review of Financial Economics,John Wiley & Sons Ltd.,"['1058-3300', '1873-5924']",B,10.1002/rfe.1172
Journal of Real Estate Finance and Economics,The Journal of Real Estate Finance and Economics,Journal of Real Estate Finance and Economics,Springer New York LLC,"['0895-5638', '1573-045X']",A,10.1007/s11146-021-09883-9
Real Estate Economics,Real Estate Economics,Real Estate Economics,"Wiley-Blackwell Publishing, Inc.","['1080-8620', '1540-6229']",A,10.1111/1540-6229.12332
Advances in Decision Sciences,Advances in Decision Sciences,Advances in Decision Sciences,Asia University,"['2090-3367', '2090-3359']",,
Journal of Property Research,Journal of Property Research,Journal of Property Research,Routledge,"['0959-9916', '1466-4453']",B,10.1080/09599916.2012.721381
Journal of International Money and Finance,Journal of International Money and Finance,Journal of International Money and Finance,Elsevier Ltd,"['0261-5606', '1873-0639']",A,10.1016/j.jimonfin.2012.05.020
The Journal of Portfolio Management,The Journal of Portfolio Management,The Journal of Portfolio Management,Portfolio Management Research,"['0095-4918', '2168-8656']",A,10.3905/jpm.2011.37.5.170
The Journal of Business,The Journal of Business,The Journal of Business (Chicago),,"['0021-9398', '1537-5374']",,10.1086/503649
The European Journal of Finance,The European Journal of Finance,The European Journal of Finance,Routledge,"['1351-847X', '1466-4364']",A,10.1080/13518470500459808
The Journal of Asset Management,Journal of Asset Management,Journal of Asset Management,Palgrave Macmillan Ltd.,"['1470-8272', '1479-179X']",B,10.1057/palgrave.jam.2240197
Applied Mathematical Finance,Applied Mathematical Finance,Applied Mathematical Finance,Routledge,"['1350-486X', '1466-4313']",B,10.1080/1350486022000015850
International Review of Economics & Finance,International Review of Economics and Finance,International Review of Economics & Finance,Elsevier BV,"['1059-0560', '1873-8036']",A,10.1016/j.iref.2025.103991
Finance Research Letters,Finance Research Letters,Finance Research Letters,Academic Press,['1544-6123'],A,10.1016/j.frl.2023.104011
Journal of Contemporary Accounting and Economics,Journal of Contemporary Accounting and Economics,Journal of Contemporary Accounting and Economics,Elsevier Ltd,"['1815-5669', '2352-3298']",A,10.1016/j.jcae.2026.100571
Journal of Accounting Literature,Journal of Accounting Literature,Journal of Accounting Literature,Elsevier Inc.,"['0737-4607', '2452-1469']",A,10.1108/jal-02-2025-0058
Financial Review (US),The Financial Review,The Financial Review,"Wiley-Blackwell Publishing, Inc.","['0732-8516', '1540-6288']",A,10.1111/fire.70034
British Accounting Review,The British Accounting Review,The British Accounting Review,Academic Press,"['0890-8389', '1095-8347']",A*,10.1016/j.bar.2025.101671
Journal of Financial Research,Journal of Financial Research,The Journal of Financial Research,"Wiley-Blackwell Publishing, Inc.","['0270-2592', '1475-6803']",A,10.1111/jfir.70021
Global Finance Journal,Global Finance Journal,Global Finance Journal,Elsevier BV,"['1044-0283', '1873-5665']",A,10.1016/j.gfj.2025.101173
Corporate Governance: an international review,Corporate Governance: An International Review,Corporate Governance (Oxford),Wiley-Blackwell Publishing Ltd.,"['0964-8410', '1467-8683']",A,10.1111/corg.12623
Accounting and Finance,Accounting & Finance,Accounting & Finance,Wiley-Blackwell Publishing Asia,"['0810-5391', '1467-629X']",A,10.1111/acfi.70023
Journal of Financial Stability,Journal of Financial Stability,Journal of Financial Stability,Elsevier Inc.,"['1572-3089', '1878-0962']",A*,10.1016/j.jfs.2025.101384
The European Accounting Review,European Accounting Review,European Accounting Review,Routledge,"['0963-8180', '1468-4497']",A*,10.1080/09638180.2024.2368129
Journal of Business Finance & Accounting,Journal of Business Finance and Accounting,Journal of Business Finance & Accounting,Wiley-Blackwell Publishing Ltd.,"['0306-686X', '1468-5957']",A*,10.1111/jbfa.12787
Journal of Banking & Finance,Journal of Banking and Finance,Journal of Banking & Finance,Elsevier BV,"['0378-4266', '1872-6372']",A*,10.1016/j.jbankfin.2023.106877
Pacific-Basin Finance Journal,Pacific-Basin Finance Journal,Pacific-Basin Finance Journal,Elsevier BV,['0927-538X'],A,10.1016/j.pacfin.2023.102008
Journal of Behavioral and Experimental Finance,Journal of Behavioral and Experimental Finance,Journal of Behavioral and Experimental Finance,Elsevier BV,['2214-6350'],A,10.1016/j.jbef.2022.100648
Australian Journal of Management,Australian Journal of Management,Australian Journal of Management,Sage Publications Ltd.,"['0312-8962', '1327-2020']",A,10.1177/0312896220974417
Journal of Corporate Finance,Journal of Corporate Finance,Journal of Corporate Finance,Elsevier BV,"['0929-1199', '1872-6313']",A*,10.1016/j.jcorpfin.2020.101774
Journal of Business Research,Journal of Business Research,Journal of Business Research,Elsevier Inc.,"['0148-2963', '1873-7978']",A,10.1016/j.jbusres.2020.01.035
The Journal of Finance,The Journal of Finance,The Journal of Finance,"Wiley-Blackwell Publishing, Inc.","['0022-1082', '1540-6261']",A*,10.1111/jofi.13337
International Review of Financial Analysis,International Review of Financial Analysis,International Review of Financial Analysis,Elsevier BV,['1057-5219'],A,10.1016/j.irfa.2024.103109
Materiały i Studia,Materiały i Studia,,,"['2084-6258', '2084-6258']",,10.5604/01.3001.0055.7897
International Review of Finance,International Review of Finance,International Review of Finance,Wiley-Blackwell Publishing Asia,"['1369-412X', '1468-2443']",A,10.1111/irfi.12360
Journal of Financial Markets,Journal of Financial Markets,Journal of Financial Markets,Elsevier BV,['1386-4181'],A*,10.1016/j.finmar.2020.100576
Financial Management,Financial Management,Financial Management,"Wiley-Blackwell Publishing, Inc.","['0046-3892', '1755-053X']",A*,10.1111/fima.70049
Organization Science,Organization Science,Organization Science,Institute for Operations Research and the Management Sciences (I N F O R M S),"['1047-7039', '1526-5455']",A*,10.1287/orsc.2022.16493
Management Science,Management Science,Management Science,Institute for Operations Research and the Management Sciences (I N F O R M S),"['0025-1909', '1526-5501']",A*,10.1287/mnsc.2023.03556
European Financial Management,European Financial Management,European Financial Management,Wiley-Blackwell Publishing Ltd.,"['1354-7798', '1468-036X']",A,10.1111/eufm.12180
Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,Journal of Financial and Quantitative Analysis,Cambridge University Press,"['0022-1090', '1756-6916']",A*,10.1017/S0022109017000497
Accounting Auditing and Accountability Journal,"Accounting, Auditing and Accountability Journal","Accounting, Auditing and Accountability Journal",Emerald Publishing Limited,"['1368-0668', '1758-4205']",A*,10.1108/aaaj-06-2025-8039
One Earth,One Earth,One Earth,Cell Press,"['2590-3322', '2590-3330']",,10.1016/j.oneear.2025.101550
Nature Climate Change,Nature Climate Change,Nature Climate Change,Nature Publishing Group,"['1758-678X', '1758-6798']",,10.1038/s41558-025-02467-y
Global Environmental Change,Global Environmental Change,Global Environmental Change,Elsevier Ltd,"['0959-3780', '1872-9495']",A*,10.1016/j.gloenvcha.2022.102492
Journal of Cleaner Production,Journal of Cleaner Production,Journal of Cleaner Production,Elsevier BV,['0959-6526'],C,10.1016/j.jclepro.2021.129827
Business and Society,Business & Society,Business & Society,"Sage Publications, Inc.","['0007-6503', '1552-4205']",A,10.1177/0007650319825764
Journal of Business Ethics,Journal of Business Ethics,Journal of Business Ethics,Springer Netherlands,"['1573-0697', '0167-4544']",A,10.1007/s10551-015-2583-7
Abacus,Abacus,Abacus,Wiley-Blackwell Publishing Asia,"['0001-3072', '1467-6281']",A,10.1111/j.1467-6281.2012.00374.x
Ethical Investor,Ethical Investor,,,['1445-1832'],,
The Australian Economic Review,Australian Economic Review,The Australian Economic Review,Wiley-Blackwell Publishing Asia,"['0004-9018', '1467-8462']",B,10.1111/1467-8462.12239
Economic Modelling,Economic Modelling,Economic Modelling,Elsevier BV,"['0264-9993', '1873-6122']",A,10.1016/j.econmod.2017.08.025
Journal of Accounting and Management Information Systems (JAMIS),Journal of Accounting and Management Information Systems,Contabilitate si Informatica de Gestiune,"Academia de Studii Economice din Bucuresti,Bucharest Academy of Economic Studies","['1583-4387', '1843-8105']",C,10.24818/jamis.2017.02007
Accounting Research Journal,Accounting Research Journal,Accounting Research Journal,Emerald Publishing Limited,"['1030-9616', '1839-5465']",B,10.1108/ARJ-07-2013-0048
"Journal of International Financial Markets, Institutions and Money","Journal of International Financial Markets, Institutions and Money","Journal of International Financial Markets, Institutions & Money",Elsevier BV,"['1042-4431', '1873-0612']",A,10.1016/j.intfin.2024.102000
British Journal of Management,British Journal of Management,British Journal of Management,Wiley-Blackwell Publishing Ltd.,"['1467-8551', '1045-3172']",A*,10.1111/1467-8551.12541
