university,discipline,researcher,level,title,year,doi,author_count,journal,abdc_rank,pub_url
Monash University,Banking & Finance,Susan Thorp,Professor,Financial Literacy and Retirement Planning in Australia,2013,10.5038/1936-4660.6.2.7,3,Numeracy,,https://doi.org/10.5038/1936-4660.6.2.7
Monash University,Banking & Finance,Susan Thorp,Professor,First Impressions Matter: An Experimental Investigation of Online Financial Advice,2016,10.1287/mnsc.2016.2590,6,Management Science,A*,https://doi.org/10.1287/mnsc.2016.2590
Monash University,Banking & Finance,Susan Thorp,Professor,Financial Competence and Expectations Formation: Evidence from Australia*,2011,10.1111/j.1475-4932.2011.00766.x,6,Economic Record,A,https://doi.org/10.1111/j.1475-4932.2011.00766.x
Monash University,Banking & Finance,Susan Thorp,Professor,"Financialization, crisis and commodity correlation dynamics",2012,10.1016/j.intfin.2012.11.007,2,Journal of International Financial Markets Institutions and Money,,https://doi.org/10.1016/j.intfin.2012.11.007
Monash University,Banking & Finance,Susan Thorp,Professor,Annuitization and asset allocation with HARA utility,2005,10.1017/s1474747205002088,2,Journal of Pensions Economics and Finance,,https://doi.org/10.1017/s1474747205002088
Monash University,Banking & Finance,Susan Thorp,Professor,Unobservable shocks as carriers of contagion,2009,10.1016/j.jbankfin.2009.11.006,3,Journal of Banking & Finance,A*,https://doi.org/10.1016/j.jbankfin.2009.11.006
Monash University,Banking & Finance,Susan Thorp,Professor,Crude Oil and Agricultural Futures: An Analysis of Correlation Dynamics,2016,10.1002/fut.21770,2,Journal of Futures Markets,,https://doi.org/10.1002/fut.21770
Monash University,Banking & Finance,Susan Thorp,Professor,Cohort and target age effects on subjective survival probabilities: Implications for models of the retirement phase,2015,10.1016/j.jedc.2015.03.003,3,Journal of Economic Dynamics and Control,,https://doi.org/10.1016/j.jedc.2015.03.003
Monash University,Banking & Finance,Susan Thorp,Professor,Retirement Investor Risk Tolerance in Tranquil and Crisis Periods: Experimental Survey Evidence,2011,10.1080/15427560.2011.620199,5,Journal of Behavioral Finance,,https://doi.org/10.1080/15427560.2011.620199
Monash University,Banking & Finance,Susan Thorp,Professor,One size fits all? Tailoring retirement plan defaults,2017,10.1016/j.jebo.2017.11.022,5,Journal of Economic Behavior & Organization,A*,https://doi.org/10.1016/j.jebo.2017.11.022
Monash University,Banking & Finance,Susan Thorp,Professor,Just Interested or Getting Involved? An Analysis of Superannuation Attitudes and Actions,2014,10.1111/1475-4932.12107,6,Economic Record,A,https://doi.org/10.1111/1475-4932.12107
Monash University,Banking & Finance,Susan Thorp,Professor,Valuing volatility spillovers,2006,10.1016/j.gfj.2006.06.007,2,Global Finance Journal,A,https://doi.org/10.1016/j.gfj.2006.06.007
Monash University,Banking & Finance,Susan Thorp,Professor,Retirement Savings: A Tale of Decisions and Defaults,2016,10.1111/ecoj.12447,6,The Economic Journal,,https://doi.org/10.1111/ecoj.12447
