university,name,job_title,academic_level,level_code,h_index,field_of_research,profile_url,pub_count
Monash University,Susan Thorp,,Professor,E,26,Banking & Finance,https://research.monash.edu/en/persons/susan-thorp/,61
Monash University,Huu Duong,,Professor,E,17,Banking & Finance,https://research.monash.edu/en/persons/huu-nhan-duong,49
Monash University,John Watson,,Associate Professor,D,16,Banking & Finance,https://research.monash.edu/en/persons/john-watson,22
Monash University,Christine Brown,,Emeritus Professor,E,14,Banking & Finance,https://research.monash.edu/en/persons/christine-brown,48
Monash University,Stephen Brown,,Emeritus Professor,E,58,Banking & Finance,https://research.monash.edu/en/persons/stephen-brown,71
Monash University,Michael Skully,,Professor,E,25,Banking & Finance,https://research.monash.edu/en/persons/michael-skully,93
Monash University,Abe de Jong,,Professor,E,32,Banking & Finance,https://research.monash.edu/en/persons/abe-de-jong,74
Monash University,Neal Galpin,,Professor,E,11,Banking & Finance,https://research.monash.edu/en/persons/neal-galpin,13
Monash University,Evgeny Lyandres,,,,,Banking & Finance,https://research.monash.edu/en/persons/evgeny-lyandres,0
Monash University,Yulia Merkoulova,,Professor,E,,Banking & Finance,https://research.monash.edu/en/persons/yulia-merkoulova,33
Monash University,Lyndon Moore,,Professor,E,10,Banking & Finance,https://research.monash.edu/en/persons/lyndon-moore,19
Monash University,Chris Veld,,Professor,E,24,Banking & Finance,https://research.monash.edu/en/persons/chris-veld,58
Monash University,Ying Xia,,Professor,E,,Banking & Finance,https://research.monash.edu/en/persons/ying-xia,23
Monash University,John Chu,,Associate Professor,D,9,Banking & Finance,https://research.monash.edu/en/persons/john-chu,295
Monash University,Silvio Contessi,,Associate Professor,D,15,Banking & Finance,https://research.monash.edu/en/persons/silvio-contessi,94
Monash University,Ying Dou,,Associate Professor,D,5,Banking & Finance,https://research.monash.edu/en/persons/ying-dou,8
Monash University,Philip Gharghori,,Associate Professor,D,16,Banking & Finance,https://research.monash.edu/en/persons/philip-gharghori,32
Monash University,Thanh Huynh,,Professor,E,13,Banking & Finance,https://research.monash.edu/en/persons/thanh-huynh,375
Monash University,Paul Lajbcygier,,Associate Professor,D,9,Banking & Finance,https://research.monash.edu/en/persons/paul-lajbcygier,60
Monash University,Hassan Naqvi,,Associate Professor,D,7,Banking & Finance,https://research.monash.edu/en/persons/hassan-naqvi,37
Monash University,Abu Zafar Shahriar,,Associate Professor,D,13,Banking & Finance,https://research.monash.edu/en/persons/abu-zafar-shahriar,21
Monash University,Barry Williams,,Professor,E,21,Banking & Finance,https://research.monash.edu/en/persons/barry-williams,27
Monash University,Jin Yu,,Professor,E,16,Banking & Finance,https://research.monash.edu/en/persons/jin-yu,37
Monash University,Zhe An,,Senior Lecturer,C,13,Banking & Finance,https://research.monash.edu/en/persons/zhe-an,37
Monash University,Hue Hwa Au Yong,,Senior Lecturer,C,9,Banking & Finance,https://research.monash.edu/en/persons/hue-hwa-au-yong,74
Monash University,Zhenyang (Leo) Bao,,Senior Lecturer,C,,Banking & Finance,https://research.monash.edu/en/persons/leo-bao,28
Monash University,Kym Brown,,Emeritus Professor,E,14,Banking & Finance,https://research.monash.edu/en/persons/kym-brown,48
Monash University,Binh Do,,Senior Lecturer,C,,Banking & Finance,https://research.monash.edu/en/persons/binh-do,17
Monash University,Minh Viet Do,,Senior Lecturer,C,,Banking & Finance,https://research.monash.edu/en/persons/minh-do,21
Monash University,Özlem Dursun-de Neef,,Associate Professor,D,13,Banking & Finance,https://research.monash.edu/en/persons/ozlem-dursun-de-neef,19
Monash University,Jean-Pierre Fenech,,Senior Lecturer,C,5,Banking & Finance,https://research.monash.edu/en/persons/jean-pierre-fenech,21
Monash University,Li Ge,,Senior Lecturer,C,6,Banking & Finance,https://research.monash.edu/en/persons/li-ge,122
Monash University,Abey Gunasekarage,,Senior Lecturer,C,20,Banking & Finance,https://research.monash.edu/en/persons/abey-gunasekarage,43
Monash University,Idan Hodor,,Senior Lecturer,C,3,Banking & Finance,https://research.monash.edu/en/persons/idan-hodor,17
