researcher_name,title,journal_name,year,article_url,publication_type
Sarah Adams,Understanding Collective Impact in Australia: A new approach to interorganizational collaboration,Australian Journal of Management,2018,,journal_article
Sarah Adams,Integrated Reporting: An Opportunity for the Australian Not-for-Profit Sector?,Australian Accounting Review,2011,,journal_article
Sarah Adams,The Journey Toward Integrated Reporting,Accountants Digest,2011,,journal_article
Lily Chen,Anistropic span embeddings and the negative impact of higher-order inference for coreference resolution: an empricial analysis,Natural Language Engineering,2023,,journal_article
Sorin Daniliuc,The Interaction of Post-Acquisition Integration and Acquisition Focus in Relation to Long-Run Performance,International Review of Finance,2014,,journal_article
Sorin Daniliuc,Busy Directors and Firm Performance: a Replication and Extension of Hauser,Accounting & Finance,2020,,journal_article
Neil Fargher,The impact of Ball and Brown (1968) on generations of research,Pacific-Basin Finance Journal,2019,,journal_article
Neil Fargher,Do banks audited by specialist engage in less real activities management? Evidence from repurchase agreements,Auditing: A Journal of Practice and Theory,2019,,journal_article
Neil Fargher,The effect of prior commitment and type of accountability on auditorsâ€™ evaluation of subsequent events,Auditing: A Journal of Practice and Theory,2019,,journal_article
Neil Fargher,Accounting for financial instruments with characteristics of debt and equity: finding a way forward,Accounting & Finance,2019,,journal_article
Neil Fargher,The role of the audit committee in their oversight of whistle-blowing,Auditing: A Journal of Practice and Theory,2018,,journal_article
Neil Fargher,Further Evidence on the Effect of Regulation on the Exit of Small Auditors from the Audit Market and Resulting Audit Quality,Auditing: A Journal of Practice and Theory,2018,,journal_article
Neil Fargher,Trends in Auditor Reporting in Australia: A Synthesis and Opportunities for Research,Australian Accounting Review,2016,,journal_article
Neil Fargher,Audit Quality for US-listed Chinese Companies,International Journal of Auditing,2016,,journal_article
Neil Fargher,The Effects of Tone at the Top and Coordination with External Auditors on Internal Auditors' Fraud Risk Assessments,Accounting & Finance,2015,,journal_article
Neil Fargher,Does Short Selling Amplify Price Declines or Align Stocks with Their Fundamental Values?,Management Science,2014,,journal_article
Neil Fargher,How do auditors perceive CEO's risk-taking incentives?,Accounting and Finance,2014,,journal_article
Neil Fargher,Changes in the measurement of fair value: Implications for accounting earnings,Accounting Forum,2014,,journal_article
Neil Fargher,"Cross-listing as a Global Depository Receipt: The influence of emerging markets, regulation, and accounting regime",Journal of Contemporary Accounting and Economics,2014,,journal_article
Neil Fargher,"The influence of sunk costs, personal responsibility and culture on the tendency of accountants to facilitate escalation of commitment",Pacific Accounting Review,2014,,journal_article
Neil Fargher,Audit Reports In Australia 2005 to 2013: Preliminary Findings,CPA Australia,2014,,journal_article
Neil Fargher,Audit reporting for going-concern uncertainty: A research synthesis,Auditing: A Journal of Practice and Theory,2013,,journal_article
Neil Fargher,Companies Use of Whistle-Blowing to Detect Fraud: An Examination of Corporate Whistle-blowing Policies,Journal of Business Ethics,2012,,journal_article
Neil Fargher,A simple empirical model of equity-implied probabilities of default,Journal of Fixed Income,2011,,journal_article
Neil Fargher,Audit Reports in Australia during the Global Financial Crisis,Australian Accounting Review,2011,,journal_article
Neil Fargher,Accounting for investments and the relevance of losses to firm value,The International Journal of Accounting,2010,,journal_article
Susanna Ho,"Ho, S, Choi, S., and Yang, F. (forthcoming) 'Harnessing the Power of Twitter: How are Tweets Associated with Forecast Accuracy?",Journal of the Association of Information Systems,,,journal_article
Susanna Ho,Nudging moods to induce unplanned purchases in imperfect mobile personalization contexts,MIS Quarterly,2018,,journal_article
Susanna Ho,Continued Voluntary Participation Intention in Firm-Participating Open Source Software Projects,Information Systems Research,2017,,journal_article
