researcher_name,researcher_profile_url,title,journal_name,year,doi,issn,article_url,abdc_self_reported,coauthors,author_count,author_count_confidence,publication_type,scimago_sjr,scimago_quartile,source,citation_percentile,raw
Sarah Adams,https://rsa.anu.edu.au/people/sarah-adams,Understanding Collective Impact in Australia: A new approach to interorganizational collaboration,Australian Journal of Management,2018,,,,none,"Salignac F, Wilcox T, Marjolin A and Adams S",4,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Salignac F, Wilcox T, Marjolin A and Adams S (2018) Understanding Collective Impact in Australia: A new approach to interorganizational collaboration', Australian Journal of Management , 43(1), pp 91-110"
Sarah Adams,https://rsa.anu.edu.au/people/sarah-adams,Integrated Reporting: An Opportunity for the Australian Not-for-Profit Sector?,Australian Accounting Review,2011,,,,none,,1,low - no coauthor text found,journal_article,0.702,Q2,ANU RSA/RSFAS profile page,,"Adams, S and Simnett, R (2011) ‘Integrated Reporting: An Opportunity for the Australian Not-for-Profit Sector?’, Australian Accounting Review , 21 (3), pp 292-301."
Sarah Adams,https://rsa.anu.edu.au/people/sarah-adams,The Journey Toward Integrated Reporting,Accountants Digest,2011,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Adams, S., Fries, J. and Simnett, R. (2011), ‘The Journey Toward Integrated Reporting’, Accountants Digest , 558, 1-41."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,Anistropic span embeddings and the negative impact of higher-order inference for coreference resolution: an empricial analysis,Natural Language Engineering,2023,,,,none,"Hou, F. Wang, R. Ng, S., Zhu, F., Witbrock, M., Cahan, C., Chen, L., Jia, X",8,ok,journal_article,,,ANU RSA/RSFAS profile page,,"2023. Hou, F. Wang, R. Ng, S., Zhu, F., Witbrock, M., Cahan, C., Chen, L., Jia, X. Anistropic span embeddings and the negative impact of higher-order inference for coreference resolution: an empricial analysis. Natural Language Engineering . Forthcoming."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,In Financial statements we trust: Institutional investors’ stockholdings after restatements,The Accounting Review,2023,10.2308/TAR-2019-0654,0001-4826,https://doi.org/10.2308/TAR-2019-0654,A*,"Cahan, C., Chen, C., Chen, L",3,ok,journal_article,4.403,Q1,ANU RSA/RSFAS profile page,,"2023. Cahan, C., Chen, C., Chen, L. In Financial statements we trust: Institutional investors’ stockholdings after restatements. The Accounting Review . Forthcoming. https://doi.org/10.2308/TAR-2019-0654 . Journal ranking: ABDC A*; FT 50."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,How Integrated Thinking Can Be Detected in Management Disclosures in Annual Reports: Insights from a Large-Scale Text-Analysis Approach,Journal of Management Accounting Research,2023,10.2308/JMAR-2022-082,1049-2127,https://doi.org/10.2308/JMAR-2022-082.,A*,"Dimes, R., de Villiers, C., Chen, L",3,ok,journal_article,1.248,Q1,ANU RSA/RSFAS profile page,,"2023. Dimes, R., de Villiers, C., Chen, L. How Integrated Thinking Can Be Detected in Management Disclosures in Annual Reports: Insights from a Large-Scale Text-Analysis Approach. Journal of Management Accounting Research, first online July 2023. https://doi.org/10.2308/JMAR-2022-082. Journal ranking: ABDC A*."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,Shareholder election of CSR committee members and its effects on CSR performance. Best Paper Award at the 2021 AFAANZ annual conference,Journal of Business Finance and Accounting,2022,10.1111/jbfa.12643,0306-686X,https://onlinelibrary.wiley.com/doi/abs/10.1111/jbfa.12643,A*,"Khoo, E., Chen, L., Monroe, G",3,ok,journal_article,1.202,Q1,ANU RSA/RSFAS profile page,,"2022. Khoo, E., Chen, L., Monroe, G. Shareholder election of CSR committee members and its effects on CSR performance. Best Paper Award at the 2021 AFAANZ annual conference. Journal of Business Finance and Accounting . First published: 22 July 2022. doi: 10.1111/jbfa.12643 . Journal ranking: ABDC A*."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,"Business strategy, financial reporting violations, and audit pricing in an emerging market – evidence from China",Journal of International Accounting Research,2022,10.2308/JIAR-2021-054,1542-6297,https://doi:%2010.2308/JIAR-2021-054,A,"Chen, L., Hu, F, Krishnan, A, Li, Z",4,ok,journal_article,0.526,Q2,ANU RSA/RSFAS profile page,,"2022. Chen, L., Hu, F, Krishnan, A, Li, Z. Business strategy, financial reporting violations, and audit pricing in an emerging market – evidence from China. Journal of International Accounting Research , forthcoming. doi: 10.2308/JIAR-2021-054 . Journal ranking: ABDC A."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,Use of In-house Internal Audit Functions in New Zealand,Meditari Accountancy Research,2022,10.1108/MEDAR-03-2020-0803,2049-372X,https://www.emerald.com/insight/content/doi/10.1108/MEDAR-03-2020-0803/full/html,A,"Prasad, N., Hay, D., & Chen, L",3,ok,journal_article,0.974,Q2,ANU RSA/RSFAS profile page,,"2022. Prasad, N., Hay, D., & Chen, L. Use of In-house Internal Audit Functions in New Zealand. Meditari Accountancy Research , first online February 2022. doi: 10.1108/MEDAR-03-2020-0803 . Journal ranking: ABDC A."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,Do local social norms affect investors’ involvement in social activism? Revisiting the case of US institutional investors. 2021 Peter Brownell Manuscript Award,Accounting and Finance,2021,10.1111/acfi.12649,0810-5391,https://doi.org/10.1111/acfi.12649,A,"Cahan, S., Chen, C., & Chen, C",3,ok,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"2021. Cahan, S., Chen, C., & Chen, C. Do local social norms affect investors’ involvement in social activism? Revisiting the case of US institutional investors. 2021 Peter Brownell Manuscript Award. Accounting and Finance , 61, 1957-1992. doi: org/10.1111/acfi.12649 . Journal ranking: ABDC A."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,Does deal size moderate the effects of board faultlines? Evidence from acquisitions?,Meditari Accountancy Research,2021,10.1108/medar-06-2020-0919,2049-372X,https://doi.org/10.1108/medar-06-2020-0919,A,"Tidbury, D., Cahan, S., & Chen, L",3,ok,journal_article,0.974,Q2,ANU RSA/RSFAS profile page,,"2021. Tidbury, D., Cahan, S., & Chen, L. Does deal size moderate the effects of board faultlines? Evidence from acquisitions?. Meditari Accountancy Research , publication date: 25 June 2021, doi: 10.1108/medar-06-2020-0919 . Journal ranking: ABDC A."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,Initial public offering prospectus forecast errors and mandatory explanations: evidence from New Zealand,Accounting and Finance,2020,10.1111/acfi.12428,0810-5391,http://dx.doi.org/10.1111/acfi.12428,A,"Chen, L., Hay, D., & Zhuang, J",3,ok,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"2020. Chen, L., Hay, D., & Zhuang, J. Initial public offering prospectus forecast errors and mandatory explanations: evidence from New Zealand. Accounting and Finance, 60, 2167-2202 . doi : 10.1111/acfi.12428 . Journal ranking: ABDC A."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,A framework for the practice of corporate environmental responsibility in China,"Journal of Cleaner Production, 235",2019,10.1016/j.jclepro.2019.06.245,0959-6526,https://doi.org/10.1016/j.jclepro.2019.06.245,A,"Qin, Y., Harrison, J., & Chen, L",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"2019. Qin, Y., Harrison, J., & Chen, L. A framework for the practice of corporate environmental responsibility in China. Journal of Cleaner Production, 235, 426-452. https://doi.org/10.1016/j.jclepro.2019.06.245 . Journal ranking: ABDC A."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,The economic consequences associated with integrated report quality: Capital market and real effects,"Accounting, Organizations and Society",2017,10.1016/j.aos.2017.08.005,0361-3682,https://doi.org/10.1016/j.aos.2017.08.005,A*,"Barth, M., Cahan, S., Chen, L., & Venter, E",4,ok,journal_article,3.098,Q1,ANU RSA/RSFAS profile page,,"2017. Barth, M., Cahan, S., Chen, L., & Venter, E. The economic consequences associated with integrated report quality: Capital market and real effects. Accounting, Organizations and Society , 62, 43-64. https://doi.org/10.1016/j.aos.2017.08.005 . Journal ranking: ABDC A*; FT 50."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,Social norms and CSR performance. Best Paper Award at the 2013 AFAANZ annual conference,Journal of Business Ethics,2017,10.1007/s10551-015-2899-3,0167-4544,,A,"Cahan, S. F., Chen, C., & Chen, L",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"2017. Cahan, S. F., Chen, C., & Chen, L. Social norms and CSR performance. Best Paper Award at the 2013 AFAANZ annual conference. Journal of Business Ethics, 145, 493-508. doi:10.1007/s10551-015-2899-3. Journal ranking: ABDC A; FT 50."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,Corporate social responsibility and media coverage. Best Paper Award at the 2014 AFAANZ annual conference,Journal of Banking & Finance,2015,10.1016/j.jbankfin.2015.07.004,0378-4266,http://dx.doi.org/10.1016/j.jbankfin.2015.07.004,A*,"Cahan, S. F., Chen, C., Chen, L., & Nguyen, N. H",4,ok,journal_article,1.954,Q1,ANU RSA/RSFAS profile page,,"2015. Cahan, S. F., Chen, C., Chen, L., & Nguyen, N. H. Corporate social responsibility and media coverage. Best Paper Award at the 2014 AFAANZ annual conference. Journal of Banking & Finance , 59 , 409-422. doi: 10.1016/j.jbankfin.2015.07.004 . Journal ranking: ABDC A*."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,Archival research informing the dual objective of integrated reporting,,2020,10.4324/9780429279621-12,,https://www.routledgehandbooks.com/doi/10.4324/9780429279621-12,none,"Barth, M., Cahan, S., Chen, L., Venter, E",4,ok,book_chapter,,,ANU RSA/RSFAS profile page,,"2020. Barth, M., Cahan, S., Chen, L., Venter, E. Archival research informing the dual objective of integrated reporting. Book chapter of Routledge Handbook of Integrated Reporting. Print ISBN: 9780367233853. doi: 10.4324/9780429279621-12 ."
Sorin Daniliuc,https://rsa.anu.edu.au/people/sorin-daniliuc,The Interaction of Post-Acquisition Integration and Acquisition Focus in Relation to Long-Run Performance,International Review of Finance,2014,,,,none,"Daniliuc, Sorin, Bilson, Chris and Shailer, Greg",6,ok,journal_article,0.636,Q2,ANU RSA/RSFAS profile page,,"Daniliuc, Sorin, Bilson, Chris and Shailer, Greg (2014), The Interaction of Post-Acquisition Integration and Acquisition Focus in Relation to Long-Run Performance, International Review of Finance , 14(4), pp. 587-612."
Sorin Daniliuc,https://rsa.anu.edu.au/people/sorin-daniliuc,Busy Directors and Firm Performance: a Replication and Extension of Hauser,Accounting & Finance,2020,,,,none,"Daniliuc, Sorin, Li, Lingwei and Wee, Marvin",6,ok,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Daniliuc, Sorin, Li, Lingwei and Wee, Marvin (2020), Busy Directors and Firm Performance: a Replication and Extension of Hauser, Accounting & Finance , forthcoming."
