title,doi,reason
Understanding Collective Impact in Australia: A new approach to interorganizational collaboration,,no DOI recorded
Integrated Reporting: An Opportunity for the Australian Not-for-Profit Sector?,,no DOI recorded
The Journey Toward Integrated Reporting,,no DOI recorded
Anistropic span embeddings and the negative impact of higher-order inference for coreference resolution: an empricial analysis,,no DOI recorded
The Interaction of Post-Acquisition Integration and Acquisition Focus in Relation to Long-Run Performance,,no DOI recorded
Busy Directors and Firm Performance: a Replication and Extension of Hauser,,no DOI recorded
The impact of Ball and Brown (1968) on generations of research,,no DOI recorded
Do banks audited by specialist engage in less real activities management? Evidence from repurchase agreements,,no DOI recorded
The effect of prior commitment and type of accountability on auditorsâ€™ evaluation of subsequent events,,no DOI recorded
Accounting for financial instruments with characteristics of debt and equity: finding a way forward,,no DOI recorded
The role of the audit committee in their oversight of whistle-blowing,,no DOI recorded
Further Evidence on the Effect of Regulation on the Exit of Small Auditors from the Audit Market and Resulting Audit Quality,,no DOI recorded
Trends in Auditor Reporting in Australia: A Synthesis and Opportunities for Research,,no DOI recorded
Audit Quality for US-listed Chinese Companies,,no DOI recorded
The Effects of Tone at the Top and Coordination with External Auditors on Internal Auditors' Fraud Risk Assessments,,no DOI recorded
Does Short Selling Amplify Price Declines or Align Stocks with Their Fundamental Values?,,no DOI recorded
How do auditors perceive CEO's risk-taking incentives?,,no DOI recorded
Changes in the measurement of fair value: Implications for accounting earnings,,no DOI recorded
"Cross-listing as a Global Depository Receipt: The influence of emerging markets, regulation, and accounting regime",,no DOI recorded
"The influence of sunk costs, personal responsibility and culture on the tendency of accountants to facilitate escalation of commitment",,no DOI recorded
Audit Reports In Australia 2005 to 2013: Preliminary Findings,,no DOI recorded
Audit reporting for going-concern uncertainty: A research synthesis,,no DOI recorded
Companies Use of Whistle-Blowing to Detect Fraud: An Examination of Corporate Whistle-blowing Policies,,no DOI recorded
A simple empirical model of equity-implied probabilities of default,,no DOI recorded
Audit Reports in Australia during the Global Financial Crisis,,no DOI recorded
Accounting for investments and the relevance of losses to firm value,,no DOI recorded
"Ho, S, Choi, S., and Yang, F. (forthcoming) 'Harnessing the Power of Twitter: How are Tweets Associated with Forecast Accuracy?",,no DOI recorded
Nudging moods to induce unplanned purchases in imperfect mobile personalization contexts,,no DOI recorded
Continued Voluntary Participation Intention in Firm-Participating Open Source Software Projects,,no DOI recorded
How Does Corporate Social Responsibility Engagement Influence Word of Mouth on Twitter? Evidence from the Airline Industry,,no DOI recorded
The Effects of Web Personalization on User Attitude and Behavior: An Integration of the Elaboration Likelihood Model and Consumer Search Theory,,no DOI recorded
Examining the effects of malfunctioning personalized services on online users' distrust and behaviors,,no DOI recorded
The Effects of Location Personalization on Individuals' Intention to Use Mobile Services,,no DOI recorded
Timing of Adaptive Web Personalization and its Effects on Online Consumer Behavior,,no DOI recorded
Understanding the Impact of Web Personalization on User Information Processing and Decision,,no DOI recorded
Web Personalization as a Persuasion Strategy: An Elaboration Likelihood Model Perspective,,no DOI recorded
Superstitious CEO and corporate misconduct: Evidence from China,,no DOI recorded
"From intention to action on sustainability reporting: the role of individual, organisational and institutional factors during war and post-war periods",,no DOI recorded
The diffusion of sustainability key performance indicators in a developing country context,,no DOI recorded
"Australian not-for-profit sector views on the conceptual framework, accounting standards and accounting information",,no DOI recorded
Sustainability Reporting and the Theory of Planned Behaviour,,no DOI recorded
"GAAP, GFS and AASB 1049: perceptions of public sector stakeholders",,no DOI recorded
A common conceptual framework: Perspectives of public sector stakeholers,,no DOI recorded
Mind Your Accruals: Perceived Usefulness of Financial Information in the Australian Public Sector under Different Accounting Systems,,no DOI recorded
"Executive Performance-based Remuneration, Performance Change and Board Structures",,no DOI recorded
The Effect of Board Related Reforms on Investors’ Confidence,,no DOI recorded
Preparing performance information in the public sector: an Australian perspective,,no DOI recorded
The Perceived Usefulness and Use of Performance Information in the Australian Public Sector,,no DOI recorded
Performance Reporting by Australian Government Trading Enterprises: an Empirical Study 1998-2002,,no DOI recorded
Infrastructure Assets Disclosure in Australian Public Sector Annual Reports,,no DOI recorded
An Exploratory Study of the Company Turnaround in Australia and Singapore Following the Asia Crisis,,no DOI recorded
Regulatory and Reporting Changes in Australian Infrastructure Industries,,no DOI recorded
The Reporting of Economic Infrastructure Assets by Public Sector Entities in New South Wales: An Exploratory Study,,no DOI recorded
M&A committees and M&A performance,,no DOI recorded
Pilot CEOs and corporate cash holdings,,no DOI recorded
Workforce education and corporate innovation,,no DOI recorded
The devil is in the detail? Investors’ mispricing of proxy voting outcomes on M&A deals,,no DOI recorded
Busy directors and firm performance: a replication and extension of Hauser (2018),,no DOI recorded
Busy directors and firm performance: Evidence from Australian mergers,,no DOI recorded
Government Spending and CEO Equity Incentives: Evidence from Changes in U.S. Senate Committee Chairs,,no DOI recorded
Patent litigation and narrative R&D disclosures: Evidence from the adoption of anti-troll legislation,,no DOI recorded
Economic Policy Uncertainty and Firms’ Non-GAAP Reporting,,no DOI recorded
Local community's social capital and CEO pay duration,,no DOI recorded
"The Opioid Crisis, Employee Health Capital, and Corporate Information Production",,no DOI recorded
CEO equity incentive duration and expected crash risk,,no DOI recorded
Government Corruption and Corporate Social Responsibility: An Instrumental Perspective,,no DOI recorded
Flu Fallout: Information Production Constraints and Corporate Disclosure,,no DOI recorded
Corporate Social Responsibility Performance and the Reputational Incentives of Independent Directors,,no DOI recorded
Death is a Law: Death of Former Colleagues and Management Forecasts,,no DOI recorded
Local political corruption and Firm's non-GAAP reporting,,no DOI recorded
The Impact of the Leahy-Smith America Invents Act on Firms’ R&D Disclosure,,no DOI recorded
Financial Analyst Coverage and Corporate Social Performance: Evidence from Natural Experiments,,no DOI recorded
Analyst Coverage and Expected Crash Risk: Evidence from Exogenous Changes in Analyst Coverage,,no DOI recorded
Analyst Expertise and the Value of Cash Holding,,no DOI recorded
Investment-related Pressure and Audit Risk,,no DOI recorded
Corporate Social Responsibility Disclosure and the Value of Cash Holdings,,no DOI recorded
Financial Statement Comparability and Expected Crash Risk,,no DOI recorded
"Good for CEOs, bad for stock market? Evidence from CEO risk‐taking incentives and stock price delay",,no DOI recorded
"Australian Not-For-Profit Sector Views on the Conceptual Framework, Accounting Standards and Accounting Information",,no DOI recorded
Presentation Format and Financial Literacy: Accessibility and Assessability of Retirement Savings Statements,,no DOI recorded
"GAAP, GFS and AASB 1049: Perceptions of Public Sector Stakeholders",,no DOI recorded
Conceptual Framework Issues: Perspectives of Australian Public Sector Stakeholders,,no DOI recorded
Mind Your Accruals: Perceived Usefulness of Financial Information in the Australian Public Sector Under Different Accounting Systems,,no DOI recorded
The Moral Intensity of Reduced Audit Quality Acts,,no DOI recorded
The Influence of Analyst and Management Forecasts on Investor Decision Making: An Experimental Approach,,no DOI recorded
Effects of Employee Support on Junior Accountants’ Job Attitudes and Intention to Quit,,no DOI recorded
The Interrelationship Between Management Control Mechanisms and Strategy,,no DOI recorded
The Conflict Management Styles of Male and Female Junior Accountants,,no DOI recorded
The Effect of Risk of Misstatement on the Propensity to Commit Reduced Audit Quality Acts Under Time Budget Pressure,,no DOI recorded
"Auditing, Assurance Services and Ethics in Australia: An Integrated Approach",,no DOI recorded
Competition in the Australian Mobile Phone Retail Market: A study of Australian MNOs & MVNOs,,no DOI recorded
Justice and the Australian income tax base: taxing capital gains and trusts,,no DOI recorded
Certainty in individual residence and the interpretation of tiebreaker rules in tax treaties,,no DOI recorded
The potential of section 100A ITAA36 to address tax avoidance using trusts,,no DOI recorded
Tax Aggressiveness and the Australian Capital Market: Do Analysts Understand the Complexities of Corporate Tax Avoidance?,,no DOI recorded
"A Critical Examination of the Tax-motivated Use of Discretionary Trusts – Evidence, Identifying Tax Avoidance, and the Efficacy of Legislative Tools",,no DOI recorded
After the Australia Acts: the High Court's Attitude to Changing the Common Law (1987-2016),,no DOI recorded
The Taxation of Capital Gains in Trusts after Bamford: A critical evaluation of the streaming regime in Subdivision 115-C ITAA97,,no DOI recorded
The Qualification to the Birthright Doctrine and Beyond: the Judicial Attitude to Adapting the Common Law to Australian Conditions,,no DOI recorded
The Development of the High Court's Willingness to Overrule Common Law Precedent,,no DOI recorded
Effects of Organizational Internal Awards and Performance Measure Diversity on Employee Performance,,no DOI recorded
"The Effect of Nonfinancial Performance Measures, Absorptive Capacity, and Organizational Learning on Innovation Performance",,no DOI recorded
