name,job_title,academic_level,field_of_research,profile_url,university,research_portal_url,less_research_intensive,orcid,openalex_author_id
Sarah Adams,Senior Lecturer,C,Accounting,https://rsa.anu.edu.au/people/sarah-adams,Australian National University,https://researchportalplus.anu.edu.au/en/persons/sarah-adams,False,0000-0002-4737-4507,A5100632160
Bonnie Allan,Casual Lecturer,B,Accounting,https://rsa.anu.edu.au/people/bonnie-allan,Australian National University,,False,,
Pat Barrett,Distinguished Honorary Professor & Senior Fellow - ANCAAR,E,Accounting,https://rsa.anu.edu.au/people/pat-barrett,Australian National University,,True,,
Yue Cai,Lecturer,B,Accounting,https://rsa.anu.edu.au/people/yue-cai,Australian National University,https://researchportalplus.anu.edu.au/en/persons/yue-cai,False,,
Lily Chen,Associate Professor,D,Accounting,https://rsa.anu.edu.au/people/lily-chen,Australian National University,https://researchportalplus.anu.edu.au/en/persons/lily-chen,False,,
Sorin Daniliuc,Lecturer,B,Accounting,https://rsa.anu.edu.au/people/sorin-daniliuc,Australian National University,https://researchportalplus.anu.edu.au/en/persons/sorin-daniliuc,False,0000-0001-9541-5652,A5039909432
Neil Fargher,Emeritus Professor,E,Accounting,https://rsa.anu.edu.au/people/neil-fargher,Australian National University,,False,0000-0003-2604-109X,A5007232227
Susanna Ho,Professor,E,Accounting,https://rsa.anu.edu.au/people/susanna-ho,Australian National University,https://researchportalplus.anu.edu.au/en/persons/susanna-ho,False,,
Tejshree Kala,Lecturer,B,Accounting,https://rsa.anu.edu.au/people/tejshree-kala,Australian National University,https://researchportalplus.anu.edu.au/en/persons/tejshree-kala,False,0000-0003-4145-2671,A5050496098
Eunice Khoo,Senior Lecturer,C,Accounting,https://rsa.anu.edu.au/people/eunice-khoo,Australian National University,https://researchportalplus.anu.edu.au/en/persons/eunice-khoo,False,0000-0001-8405-0504,A5075478832
Janet Lee,Honorary Associate Professor,D,Accounting,https://rsa.anu.edu.au/people/janet-lee,Australian National University,,False,0000-0001-6492-0314,A5100761855
Lingwei Li,Senior Lecturer,C,Accounting,https://rsa.anu.edu.au/people/lingwei-li,Australian National University,https://researchportalplus.anu.edu.au/en/persons/lingwei-li,False,0000-0002-9855-8082,A5100623355
Louise Lu,"Professor & Convenor of HDR, Co-Director of ANCAAR",E,Accounting,https://rsa.anu.edu.au/people/louise-lu,Australian National University,https://researchportalplus.anu.edu.au/en/persons/louise-lu,False,0000-0002-5383-4303,A5073704082
Scarlett Luo,Lecturer,B,Accounting,https://rsa.anu.edu.au/people/scarlett-luo,Australian National University,,False,,
Ian McPhee,Distinguished Honorary Professor,E,Accounting,https://rsa.anu.edu.au/people/ian-mcphee,Australian National University,,False,,
Juliana Ng,"Director, Research School of Accounting",E,Accounting,https://rsa.anu.edu.au/people/juliana-ng,Australian National University,,False,0000-0002-1629-4731,A5038585982
Greg Shailer,"Professor, Director of ANCAAR",E,Accounting,https://rsa.anu.edu.au/people/greg-shailer,Australian National University,https://researchportalplus.anu.edu.au/en/persons/greg-shailer,False,0000-0002-4896-4197,A5046088722
Madhukar Singh,Lecturer and Undergraduate Program Convenor,B,Accounting,https://rsa.anu.edu.au/people/madhukar-singh,Australian National University,https://researchportalplus.anu.edu.au/en/persons/madhukar-singh,False,0000-0002-8369-863X,A5069865170
Rebecca Tan,Senior Lecturer & Masters Course Work Convenor,C,Accounting,https://rsa.anu.edu.au/people/rebecca-tan,Australian National University,https://researchportalplus.anu.edu.au/en/persons/rebecca-tan,False,0000-0003-1337-4338,A5014213665
Sonali Walpola,Associate Professor,D,Accounting,https://rsa.anu.edu.au/people/sonali-walpola,Australian National University,https://researchportalplus.anu.edu.au/en/persons/sonali-walpola,False,,A5066890274
Alex Wang,"Senior Lecturer, CPA Liaison Officer at Research School of Accounting",C,Accounting,https://rsa.anu.edu.au/people/alex-wang,Australian National University,https://researchportalplus.anu.edu.au/en/persons/zhichao-wang,False,,
Isabel Wang,Senior Lecturer,C,Accounting,https://rsa.anu.edu.au/people/isabel-wang,Australian National University,https://researchportalplus.anu.edu.au/en/persons/isabel-wang,False,0000-0002-7297-3384,A5103278655
Kathy Wang,Lecturer and course convenor,B,Accounting,https://rsa.anu.edu.au/people/kathy-wang,Australian National University,https://researchportalplus.anu.edu.au/en/persons/kathy-wang,False,,A5029534340
Tracy (Kun) Wang,Professor,E,Accounting,https://rsa.anu.edu.au/people/tracy-kun-wang,Australian National University,https://researchportalplus.anu.edu.au/en/persons/tracy-wang,False,,
Marvin Wee,Professor and Deputy Director Education,E,Accounting,https://rsa.anu.edu.au/people/marvin-wee,Australian National University,https://researchportalplus.anu.edu.au/en/persons/marvin-wee,False,0000-0002-3097-9091,A5007556858
Keturah Whitford,Reader,D,Accounting,https://rsa.anu.edu.au/people/keturah-whitford,Australian National University,https://researchportalplus.anu.edu.au/en/persons/keturah-whitford,False,,A5029899561
Mark Wilson,Professor & Deputy Director (Research),E,Accounting,https://rsa.anu.edu.au/people/mark-wilson,Australian National University,https://researchportalplus.anu.edu.au/en/persons/mark-wilson,False,,
Steven Wu,"Associate Professor, Director of HDR",D,Accounting,https://rsa.anu.edu.au/people/steven-wu,Australian National University,https://researchportalplus.anu.edu.au/en/persons/steven-wu,False,,
Jean You,Lecturer,B,Accounting,https://rsa.anu.edu.au/people/jean-you,Australian National University,,False,,A5143759567
Wei Zeng,Lecturer,B,Accounting,https://rsa.anu.edu.au/people/wei-zeng,Australian National University,https://researchportalplus.anu.edu.au/en/persons/wei-zeng,False,,
Lijuan Zhang,Senior Lecturer,C,Accounting,https://rsa.anu.edu.au/people/lijuan-zhang,Australian National University,https://researchportalplus.anu.edu.au/en/persons/lijuan-zhang,False,,
Xiu-Ye Zhang,Senior Lecturer,C,Accounting,https://rsa.anu.edu.au/people/xiu-ye-zhang,Australian National University,https://researchportalplus.anu.edu.au/en/persons/xiu-ye-zhang,False,0000-0002-5354-0655,A5047183478
Richard (Ruichao) Zhu,Lecturer,B,Accounting,https://rsa.anu.edu.au/people/richard-ruichao-zhu,Australian National University,,False,,
Mohammed Abdullah Al Mamun,Lecturer,B,Finance,https://rsfas.anu.edu.au/people/mohammed-abdullah-al-mamun,Australian National University,https://researchportalplus.anu.edu.au/en/persons/mohammed-abdullah-al-mamun,False,0000-0002-2104-7479,A5081186334
Antje Berndt,Professor,E,Finance,https://rsfas.anu.edu.au/people/antje-berndt,Australian National University,https://researchportalplus.anu.edu.au/en/persons/antje-berndt,False,0000-0002-4436-2885,A5090443683
Jenni Bettman,Associate Professor,D,Finance,https://rsfas.anu.edu.au/people/jenni-bettman,Australian National University,,False,,A5003467895
Hua Deng,Lecturer,B,Finance,https://rsfas.anu.edu.au/people/hua-deng,Australian National University,https://researchportalplus.anu.edu.au/en/persons/hua-deng,False,,
Ding Ding,Lecturer,B,Finance,https://rsfas.anu.edu.au/people/ding-ding,Australian National University,https://researchportalplus.anu.edu.au/en/persons/ding-ding,False,,
