researcher_name,researcher_profile_url,title,journal_name,year,doi,article_url,abdc_self_reported,coauthors,author_count,author_count_confidence,publication_type,source,citation_percentile,raw
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,"2022. Wang, R., Hou, F.,Cahan, Chen, L., Jia, X., S., Ji, W. Fine-grained entity typing with a type taxonomy: a systematic review",IEEE Transactions on Knowledge and Data Engineering,2022,10.1109/TKDE.2022.3148980,https://ieeexplore.ieee.org/document/9706297,none,,1,low - no coauthor text found,journal_article,ANU RSA/RSFAS profile page,,"2022. Wang, R., Hou, F.,Cahan, Chen, L., Jia, X., S., Ji, W. Fine-grained entity typing with a type taxonomy: a systematic review. IEEE Transactions on Knowledge and Data Engineering , first online February 2022. doi: 10.1109/TKDE.2022.3148980 . Journal 2021 impact factor: 6.98."
Lily Chen,https://rsa.anu.edu.au/people/lily-chen,2012,Chen,2012,,http://hdl.handle.net/2292/19643,none,,1,low - no coauthor text found,journal_article,ANU RSA/RSFAS profile page,,"2012. Chen, L. ‘Financial analysts' underreaction and reputation-building incentives’. PhD Thesis, Dean’s List, University of Auckland. doi: http://hdl.handle.net/2292/19643"
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,ANU Researcher Profile: https://researchers.anu.edu.au/researchers/fargher-nl#projects_and_grants,,,,https://researchers.anu.edu.au/researchers/fargher-nl#projects_and_grants,none,,1,low - no coauthor text found,journal_article,ANU RSA/RSFAS profile page,,ANU Researcher Profile: https://researchers.anu.edu.au/researchers/fargher-nl#projects_and_grants
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,"Xu, Y, Carson, E, Fargher, N, and A. Jiang, ""Auditor responses to changes in business risk: The impact of the Global Financial Crisis on auditors' behaviour in Australia"", Accounting and Finance, vol. 53, no. 1: 301-338",,,,,none,,1,low - no coauthor text found,journal_article,ANU RSA/RSFAS profile page,,"Xu, Y, Carson, E, Fargher, N, and A. Jiang, ""Auditor responses to changes in business risk: The impact of the Global Financial Crisis on auditors' behaviour in Australia"", Accounting and Finance, vol. 53, no. 1: 301-338."
Neil Fargher,https://rsa.anu.edu.au/people/neil-fargher,Business,Dealing with Uncertainties in Policing Serious Crime,2010,,,none,"Fargher, N",1,ok,journal_article,ANU RSA/RSFAS profile page,,"Fargher, N 2010, 'Business', in Gabriele Bammer (ed.), Dealing with Uncertainties in Policing Serious Crime, ANU ePress, Canberra, pp. 127-137."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,,Public Sector Accounting and Accountability in Australia,2012,,,none,"Funnell, W., Cooper, K., and Lee, J",3,ok,journal_article,ANU RSA/RSFAS profile page,,"Funnell, W., Cooper, K., and Lee, J. (2012), Public Sector Accounting and Accountability in Australia , Second Edition, UNSW Press."
Madhukar Singh,https://rsa.anu.edu.au/people/madhukar-singh,,Routledge Handbook of Auditing,2026,,https://www.routledge.com/Routledge-Handbook-of-Auditing/Hay-Knechel-Willekens/p/book/9781032651453,none,"Sharma, D. S. & Singh, M. K., May",3,ok,journal_article,ANU RSA/RSFAS profile page,,"Sharma, D. S. & Singh, M. K., May 2026, Routledge Handbook of Auditing . Hay, D., Knechel, W. R. & Willekens, M. (eds.). 2nd ed. London: Routledge"
Alex Wang,https://rsa.anu.edu.au/people/alex-wang,* best paper award in management accounting stream,,,,,none,,1,low - no coauthor text found,journal_article,ANU RSA/RSFAS profile page,,* best paper award in management accounting stream
Kathy Wang,https://rsa.anu.edu.au/people/kathy-wang,2025,The effect of auditor litigation risk on analyst coverage decisions: Evidence from a quasi-experiment,2025,,,none,,1,low - no coauthor text found,journal_article,ANU RSA/RSFAS profile page,,"2025. The effect of auditor litigation risk on analyst coverage decisions: Evidence from a quasi-experiment, with Lu, L., Sui, M., and Wu, A. Accounting & Finance."
Kathy Wang,https://rsa.anu.edu.au/people/kathy-wang,2025,Cartelization and Expected Crash Risk: Evidence From Global Leniency Laws with Kim,2025,,,none,,1,low - no coauthor text found,journal_article,ANU RSA/RSFAS profile page,,"2025. Cartelization and Expected Crash Risk: Evidence From Global Leniency Laws with Kim, J.B., Lu, L. and Yu, Y. Journal of Business Finance & Accounting."
