researcher_name,title,year,resolved_by_crossref,matched_doi,match_title_similarity,crossref_matched_title,seconds,error
Susanna Ho,How Does Corporate Social Responsibility Engagement Influence Word of Mouth on Twitter? Evidence from the Airline Industry,2017,False,,,,1.6,
Antje Berndt,The Pitfalls of Originate-to-Distribute in Bank Lending,2010,True,10.1002/9781118266588.ch34,1.0,The Pitfalls of Originate‐to‐Distribute in Bank Lending,1.09,
Antje Berndt,Corporate Credit Risk Premia ( internet appendix ),2018,True,10.3386/w24213,0.67,Corporate Credit Risk Premia,1.16,
Lijuan Zhang,"Aggregate accounting earnings, special items and growth in Gross Domestic Product: Evidence from Australia",2022,True,10.2139/ssrn.3862964,1.0,"Aggregate Accounting Earnings, Special Items and Growth in Gross Domestic Product: Evidence from Australia",1.34,
Louise Lu,"The Opioid Crisis, Employee Health Capital, and Corporate Information Production",2023,True,10.2139/ssrn.4602184,1.0,"The Opioid Crisis, Employee Health Capital, and Corporate Information Production",1.5,
Louise Lu,CEO equity incentive duration and expected crash risk,2023,True,10.1016/j.bar.2023.101265,1.0,CEO equity incentive duration and expected crash risk,1.2,
Antje Berndt,"Monetary Policy, Bond Returns and Debt Dynamics ( internet appendix )",2015,True,10.2139/ssrn.2559343,0.78,"Monetary Policy, Bond Returns and Debt Dynamics",1.54,
Antje Berndt,On Correlation and Default Clustering in Credit Markets,2010,True,10.2139/ssrn.1361328,1.0,On Correlation and Default Clustering in Credit Markets,1.07,
Sonali Walpola,The Qualification to the Birthright Doctrine and Beyond: the Judicial Attitude to Adapting the Common Law to Australian Conditions,2020,False,,,,1.08,
Marvin Wee,Busy directors and firm performance: a replication and extension of Hauser,2021,True,10.1111/acfi.12631,0.91,Busy directors and firm performance: a replication and extension of Hauser (2018),1.25,
Jo Drienko,Company responses to exchange queries in real time,2017,True,10.1016/j.pacfin.2016.08.003,1.0,Company responses to exchange queries in real time,1.24,
Janet Lee,Sustainability Reporting and the Theory of Planned Behaviour,2015,True,10.1108/aaaj-08-2013-1449,1.0,Sustainability reporting and the theory of planned behaviour,1.74,
Hua Deng,Creating value by changing the old guard: The impact of controlling shareholder heterogeneity on firm performance and corporate policies,2013,True,10.1017/s0022109014000039,1.0,Creating Value by Changing the Old Guard: The Impact of Controlling Shareholder Heterogeneity on Firm Performance and Corporate Policies,1.35,
Alex Wang,Strategizing in the Midst of Management Controls: A Longitudinal Case Study on The Relationship between Management Controls and Promises on Strategies,2019,True,10.1111/acfi.12435,0.83,Strategising in the midst of management controls: a case study on the relationship between management controls and promises on strategies,1.45,
Alex Wang,Effects of Organizational Internal Awards and Performance Measure Diversity on Employee Performance,2025,False,,,,1.43,
Antje Berndt,How Does the U.S. Government Finance Fiscal Shocks?,2012,True,10.1257/mac.4.1.69,0.7,How Does The US Government Finance Fiscal Shocks?,1.25,
Antje Berndt,Decomposing European CDS Returns,2010,True,10.1093/rof/rfq004,1.0,Decomposing European CDS Returns,1.24,
Dean Katselas,Insider Trading in Australia: Contrarianism and Future Performance,2018,True,10.1016/j.pacfin.2018.01.004,1.0,Insider trading in Australia: Contrarianism and future performance,1.23,
Kathy Wang,Patent litigation and narrative R&D disclosures: Evidence from the adoption of anti-troll legislation,2024,True,10.1016/j.respol.2024.105127,0.94,Patent litigation and narrative R&amp;D disclosures: Evidence from the adoption of anti-troll legislation,1.34,
Antje Berndt,Do Equity Markets Favor Credit Market News Over Options Market News?,2014,True,10.1142/s2010139214500062,1.0,Do Equity Markets Favor Credit Market News Over Options Market News?,1.21,
Richard (Ruichao) Zhu,"Does Media Coverage Help Firms ""Lobby"" for Government Subsidies? Evidence from China",2021,True,10.1007/s10490-018-9600-1,1.0,Does media coverage help firms “lobby” for government subsidies? Evidence from China,1.3,
Louise Lu,Government Corruption and Corporate Social Responsibility: An Instrumental Perspective,2023,False,,,,1.4,
Marvin Wee,The impact of the internet on earnings announcements,2005,True,10.1016/j.pacfin.2004.09.003,1.0,The impact of the Internet on earnings announcements,1.07,
Marvin Wee,Busy directors and firm performance: Evidence from Australia mergers,2020,True,10.1016/j.pacfin.2020.101434,0.8,Busy directors and firm performance: Evidence from Australian mergers,1.19,
Jo Drienko,"A portfolio-level, sum-of-the-parts approach to return predictability",2024,True,10.1016/j.jempfin.2024.101525,1.0,"A portfolio-level, sum-of-the-parts approach to return predictability",1.16,
