name,title,year,journal,doi,source,screened_reason
Suk Lee,The illusory correlation between geometrical similarity and physician satisfaction in heart auto-segmentation revealed by a physician-blind test,2026,Journal of Applied Clinical Medical Physics,10.1002/acm2.70642,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Analytic validation of convolutional neural network-based classification of pigmented skin lesions (PSLs) using unseen PSL hyperspectral data for clinical applications,2024,Journal of the Korean Physical Society,10.1007/s40042-024-01069-9,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,"Feasibility of fast, four-dimensional computed tomography-based O-ring LINAC plans for lung stereotactic body radiotherapy in patients with poor performance status",2023,Frontiers in Oncology,10.3389/fonc.2023.1270677,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Anomaly detection in time and spectral domain for the driving motors of multileaf collimator of a medical linear accelerator,2022,Journal of the Korean Physical Society,10.1007/s40042-022-00642-4,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Comparison of Heart and Lung Doses According to Tumor Bed Boost Techniques in Early-Stage Left-Sided Breast Cancer: Simultaneous Integrated Boost versus Sequential Boost,2022,Medicina,10.3390/medicina58070873,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Dosimetric Effect of Injection Ports in Tissue Expanders on Post-Mastectomy Volumetric Modulated Arc Therapy (VMAT) Planning for Left-Sided Breast Cancer,2022,Applied Sciences,10.3390/app12136461,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Descriptive Time Series Analysis for Downtime Prediction Using the Maintenance Data of a Medical Linear Accelerator,2022,Applied Sciences,10.3390/app12115431,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Determination of Optimized Phase Through Correlation Between 4DCT Analysis Indices in Lung 4D SBRT,2021,International Journal of Radiation Oncology Biology Physics,10.1016/j.ijrobp.2021.07.1472,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Tumor treating fields (TTF) treatment enhances radiation-induced apoptosis in pancreatic cancer cells,2020,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,10.1080/09553002.2020.1838658,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Artificial Neural Network-Based Variable Importance Analysis of Prognostic Factors Related to Radiation Pneumonitis in Patients with Lung Cancer: Preliminary Study,2019,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.75.277,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Development of a Web-Based Radiation Toxicity Prediction System Using Metarule-Guided Mining to Predict Radiation Pneumonitis and Esophagitis in Lung Cancer Patients,2019,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.75.319,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Radioprotective effects of mistletoe extract in zebrafish embryos in vivo,2019,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,10.1080/09553002.2019.1590661,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Sequential simulation computed tomography allows assessment of internal rectal movements during preoperative chemoradiotherapy in rectal cancer,2019,JOURNAL OF CANCER RESEARCH AND THERAPEUTICS,10.4103/jcrt.jcrt_227_17,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,A New Plan-Scoring Method Using Normal Tissue Complication Probability for Personalized Treatment Plan Decisions in Prostate Cancer,2018,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.72.306,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Statistical process control analysis for patient quality assurance of intensity modulated radiation therapy,2017,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.71.717,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,A Text-Based Data Mining and Toxicity Prediction Modeling System for a Clinical Decision Support in Radiation Oncology: A Preliminary Study,2017,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.71.231,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,"Erratum to: Branch length similarity entropy-based descriptors for shape representation (Journal of the Korean Physical Society, (2017), 71, 10, (727-732), 10.3938/jkps.71.593)",2017,Journal of the Korean Physical Society,10.3938/jkps.71.1075,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Predictive modelling analysis for development of a radiotherapy decision support system in prostate cancer: A preliminary study,2017,Journal of Radiotherapy in Practice,10.1017/s1460396916000583,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Basic radiological characteristics of a non-scattering gel dosimeter for 3D dosimetry,2016,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.69.1694,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Evaluation of the dosimetric accuracy for a couch-based tracking system (CBTS),2016,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.69.241,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,The Sequential Change of MRI Signal Intensity in Normal Liver After Radiotherapy for Hepatocellular Carcinoma,2016,JOURNAL OF MEDICAL IMAGING AND HEALTH INFORMATICS,10.1166/jmihi.2016.1739,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,"Comprehensive Evaluation of Personal, Clinical, and Radiation Dosimetric Parameters for Acute Skin Reaction during Whole Breast Radiotherapy",2016,BIOMED RESEARCH INTERNATIONAL,10.1155/2016/3656574,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Development of a 3D optical scanner for evaluating patient-specific dose distributions,2015,PHYSICA MEDICA-EUROPEAN JOURNAL OF MEDICAL PHYSICS,10.1016/j.ejmp.2015.05.009,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Optimized Planning Target Volume Margin in Helical Tomotherapy for Prostate Cancer: Is There a Preferred Method?,2015,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.67.26,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,"Treatment Plan Comparison of Linac Step and Shoot, Tomotherapy, RapidArc, and Proton Therapy for Prostate Cancer by Using the dosimetrical and the biological indices",2015,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.67.7,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Development of a patient-specific 3D dose evaluation program for QA in radiation therapy,2015,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.66.859,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Patient performance-based plan parameter optimization for prostate cancer in tomotherapy,2015,MEDICAL DOSIMETRY,10.1016/j.meddos.2015.03.005,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Optimization of Beam Orientation and Virtual Organ Delineation for Lung IMRT,2014,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.64.1047,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Comparison of the BANGkit (TM) and the PRESAGE (TM) gel dosimeters for use with a CCD-based optical CT scanner,2014,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.64.740,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Whole breast irradiation for small-sized breasts after conserving surgery: is the field-in-field technique optimal?,2014,BREAST CANCER,10.1007/s12282-012-0365-y,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Four-Dimensional Computed Tomography Based Respiratory-Gated Radiotherapy with Respiratory Guidance System: Analysis of Respiratory Signals and Dosimetric Comparison,2014,BIOMED RESEARCH INTERNATIONAL,10.1155/2014/306021,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,The effectiveness of gadolinium MRI to improve target delineation for radiotherapy in hepatocellular carcinoma: A comparative study of rigid image registration techniques,2014,Physica Medica,10.1016/j.ejmp.2014.05.003,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,성문암 세기조절 방사선치료에서 변형영상정합을 이용한 선량변화 평가,2014,의학물리,10.14316/pmp.2014.25.3.167,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Can intensity-modulated radiation therapy spare the central flapped area while encompassing the target volume in radiotherapy after immediate breast reconstruction?,2013,JOURNAL OF MEDICAL IMAGING AND RADIATION ONCOLOGY,10.1111/1754-9485.12078,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Set-up uncertainty during breast radiotherapy Image-guided radiotherapy for patients with initial extensive variation,2013,STRAHLENTHERAPIE UND ONKOLOGIE,10.1007/s00066-012-0271-4,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Spectrophotometric determination of the optimal wavelength for a polymer-gel dosimeter,2013,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.62.1194,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Evaluation of the Accuracy of Different Combinations of Automatic Registration Selection Factors in Obtaining Tomotherapy Megavoltage Computed Tomography Images,2012,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.60.1961,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Dose responses in a normoxic polymethacrylic acid gel dosimeter using optimal CT scanning parameters,2012,NUCLEAR INSTRUMENTS &amp; METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,10.1016/j.nima.2012.01.067,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Risk factors related to interfractional variation in whole pelvic irradiation for locally advanced pelvic malignancies,2012,STRAHLENTHERAPIE UND ONKOLOGIE,10.1007/s00066-011-0049-0,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Analysis of Output Factors with Various Detectors in Small-field Electron-beam Radiotherapy,2012,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.60.875,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Evaluation of mechanical accuracy for couch-based tracking system (CBTS),2012,JOURNAL OF APPLIED CLINICAL MEDICAL PHYSICS,10.1120/jacmp.v13i6.3818,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,The extent and serial pattern of interfractional variation in patients with whole pelvic irradiation: a study using a kilovoltage orthogonal on-board imager,2012,JOURNAL OF APPLIED CLINICAL MEDICAL PHYSICS,10.1120/jacmp.v13i2.3636,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Comparison of linac-based fractionated stereotactic radiotherapy and tomotherapy treatment plans for intra-cranial tumors,2010,CHINESE PHYSICS C,10.1088/1674-1137/34/11/020,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Analysis of the Dosimetric Characteristics of Normoxic Polymer Gel by Magnetic Resonance Images,2010,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.56.874,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
Suk Lee,Dose Response Characteristics in Polymer Gel for the Composition Ratio,2010,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.56.147,ORCID,only 0% of this researcher's retrieved journal articles are in an ABDC-rated journal; the ORCID they came from is probably a namesake's
