name,job_title,academic_level,university,field_of_research,source_id,orcid,profile_url
Nicole Ang,Senior Lecturer,C,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/nicole-ang
Maria Balatbat,Senior Lecturer,C,UNSW Sydney,Accounting,,0000-0001-5180-0057,https://www.unsw.edu.au/staff/maria-balatbat
Francisco Barillas Bedoya,Professor,E,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/francisco-barillas-bedoya
Dale Boccabella,Associate Professor,D,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/dale-boccabella
Rodney Brown,Senior Lecturer,C,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/rodney-brown
Elizabeth Carson,Emeritus Professor,E,UNSW Sydney,Accounting,,0000-0003-1601-4290,https://www.unsw.edu.au/staff/elizabeth-carson
Linda Chang,Associate Professor,D,UNSW Sydney,Accounting,,0000-0002-2844-6149,https://www.unsw.edu.au/staff/linda-chang
Wei Chen,Professor,E,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/wei-chen
Zongxi Chen,Associate Lecturer,A,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/zongxi-chen
Mandy Cheng,Professor,E,UNSW Sydney,Accounting,,0000-0003-2487-2543,https://www.unsw.edu.au/staff/mandy-cheng
Demi Chung,Senior Lecturer,C,UNSW Sydney,Accounting,,0000-0002-9678-7412,https://www.unsw.edu.au/staff/demi-chung
Oleg Chuprinin,Associate Professor,D,UNSW Sydney,Finance,,0000-0003-4805-2451,https://www.unsw.edu.au/staff/oleg-chuprinin
Victoria Clout,Senior Lecturer,C,UNSW Sydney,Accounting,,0000-0002-3442-7315,https://www.unsw.edu.au/staff/victoria-clout
Conor Clune,Associate Professor,D,UNSW Sydney,Accounting,,0000-0002-8894-3438,https://www.unsw.edu.au/staff/conor-clune
David Colwell,Senior Lecturer,C,UNSW Sydney,Finance,,0000-0002-5180-5816,https://www.unsw.edu.au/staff/david-colwell
Jeff Coulton,Associate Professor,D,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/jeff-coulton
Lili Dai,Associate Professor,D,UNSW Sydney,Accounting,,0000-0001-7512-5535,https://www.unsw.edu.au/staff/lili-dai
Sander De Groote,Senior Lecturer,C,UNSW Sydney,Accounting,,0000-0002-2501-6733,https://www.unsw.edu.au/staff/sander-de-groote
Wesley Deng,Lecturer,B,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/wesley-deng
Alexander Dickerson,Senior Lecturer,C,UNSW Sydney,Finance,,0009-0001-6974-592X,https://www.unsw.edu.au/staff/alexander-dickerson
David Feldman,Professor,E,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/david-feldman
Tanya Fiedler,Senior Lecturer,C,UNSW Sydney,Accounting,,0000-0002-7002-6391,https://www.unsw.edu.au/staff/tanya-fiedler
Kingsley Fong,Associate Professor,D,UNSW Sydney,Finance,,0000-0003-4089-1955,https://www.unsw.edu.au/staff/kingsley-fong
Mathieu Fournier,Associate Professor,D,UNSW Sydney,Finance,,0000-0003-2373-5950,https://www.unsw.edu.au/staff/mathieu-fournier
Luis Filipe Goncalves-Pinto,Associate Professor,D,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/luis-filipe-goncalves-pinto
Noel Harding,Professor,E,UNSW Sydney,Accounting,,0000-0003-4647-4335,https://www.unsw.edu.au/staff/noel-harding
