journal_name,journal,journal_canonical,publisher,issn,quality_rank,impact_factor,impact_factor_5yr,sjr,sjr_quartile,h_index,cites_per_doc_2y
The International Journal of Accounting,The International Journal of Accounting,The International Journal of Accounting,World Scientific Publishing Co. Pte. Ltd.,1094-4060; 2213-3933,A,2.2,2.4,0.436,Q2,75.0,1.71
SSRN Electronic Journal,SSRN Electronic Journal,,,1556-5068,,,,,,,
Quarterly Review of Economics and Finance,The Quarterly Review of Economics and Finance,The Quarterly Review of Economics and Finance,Elsevier BV,1062-9769,B,3.4,3.2,0.705,Q2,77.0,4.21
Review of Financial Economics,Review of Financial Economics,Review of Financial Economics,John Wiley & Sons Ltd.,1058-3300; 1873-5924,B,1.9,1.8,0.326,Q3,49.0,1.8
Journal of Real Estate Finance and Economics,The Journal of Real Estate Finance and Economics,Journal of Real Estate Finance and Economics,Springer New York LLC,0895-5638; 1573-045X,A,2.1,2.3,0.882,Q1,78.0,3.01
Real Estate Economics,Real Estate Economics,Real Estate Economics,"Wiley-Blackwell Publishing, Inc.",1080-8620; 1540-6229,A,2.5,2.4,1.474,Q1,76.0,2.98
Advances in Decision Sciences,Advances in Decision Sciences,Advances in Decision Sciences,Asia University,2090-3367; 2090-3359,,,,0.24,Q3,25.0,1.53
Journal of Property Research,Journal of Property Research,Journal of Property Research,Routledge,0959-9916; 1466-4453,B,1.1,2.7,0.375,Q2,43.0,2.0
Journal of International Money and Finance,Journal of International Money and Finance,Journal of International Money and Finance,Elsevier Ltd,0261-5606; 1873-0639,A,3.6,3.9,1.364,Q1,126.0,4.2
The Journal of Portfolio Management,The Journal of Portfolio Management,The Journal of Portfolio Management,Portfolio Management Research,0095-4918; 2168-8656,A,1.0,1.3,0.449,Q2,67.0,1.05
The Journal of Business,The Journal of Business,The Journal of Business (Chicago),,0021-9398; 1537-5374,,,,,,,
The European Journal of Finance,The European Journal of Finance,The European Journal of Finance,Routledge,1351-847X; 1466-4364,A,3.8,4.0,0.998,Q1,61.0,4.85
The Journal of Asset Management,Journal of Asset Management,Journal of Asset Management,Palgrave Macmillan Ltd.,1470-8272; 1479-179X,B,1.7,2.1,0.448,Q2,28.0,2.01
Applied Mathematical Finance,Applied Mathematical Finance,Applied Mathematical Finance,Routledge,1350-486X; 1466-4313,B,,,0.543,Q2,40.0,1.58
International Review of Economics & Finance,International Review of Economics and Finance,International Review of Economics & Finance,Elsevier BV,1059-0560; 1873-8036,A,7.6,6.8,1.485,Q1,101.0,8.27
Finance Research Letters,Finance Research Letters,Finance Research Letters,Academic Press,1544-6123,A,7.1,7.2,1.672,Q1,143.0,8.17
Journal of Contemporary Accounting and Economics,Journal of Contemporary Accounting and Economics,Journal of Contemporary Accounting and Economics,Elsevier Ltd,1815-5669; 2352-3298,A,3.3,4.1,0.801,Q2,46.0,4.18
Journal of Accounting Literature,Journal of Accounting Literature,Journal of Accounting Literature,Elsevier Inc.,0737-4607; 2452-1469,A,4.8,4.8,0.912,Q2,31.0,3.8
British Accounting Review,The British Accounting Review,The British Accounting Review,Academic Press,0890-8389; 1095-8347,A*,8.0,8.5,1.705,Q1,100.0,8.33
Financial Review (US),The Financial Review,The Financial Review,"Wiley-Blackwell Publishing, Inc.",0732-8516; 1540-6288,A,2.1,2.2,0.56,Q2,57.0,2.2
Journal of Financial Research,Journal of Financial Research,The Journal of Financial Research,"Wiley-Blackwell Publishing, Inc.",0270-2592; 1475-6803,A,,,0.436,Q2,58.0,1.85
Global Finance Journal,Global Finance Journal,Global Finance Journal,Elsevier BV,1044-0283; 1873-5665,A,5.2,5.2,1.254,Q1,59.0,6.49
Corporate Governance: an international review,Corporate Governance: An International Review,Corporate Governance (Oxford),Wiley-Blackwell Publishing Ltd.,0964-8410; 1467-8683,A,5.4,7.3,1.992,Q1,120.0,8.85
Accounting and Finance,Accounting & Finance,Accounting & Finance,Wiley-Blackwell Publishing Asia,0810-5391; 1467-629X,A,2.6,3.6,0.814,Q1,77.0,3.53
Journal of Financial Stability,Journal of Financial Stability,Journal of Financial Stability,Elsevier Inc.,1572-3089; 1878-0962,A*,4.1,6.1,1.589,Q1,90.0,5.1
The European Accounting Review,European Accounting Review,European Accounting Review,Routledge,0963-8180; 1468-4497,A*,2.2,4.8,2.272,Q1,98.0,6.0
Journal of Business Finance & Accounting,Journal of Business Finance and Accounting,Journal of Business Finance & Accounting,Wiley-Blackwell Publishing Ltd.,0306-686X; 1468-5957,A*,2.6,3.5,1.202,Q1,102.0,3.81
Journal of Banking & Finance,Journal of Banking and Finance,Journal of Banking & Finance,Elsevier BV,0378-4266; 1872-6372,A*,4.0,4.7,1.954,Q1,225.0,5.11
Pacific-Basin Finance Journal,Pacific-Basin Finance Journal,Pacific-Basin Finance Journal,Elsevier BV,0927-538X,A,5.4,5.6,1.322,Q1,92.0,6.12
Journal of Behavioral and Experimental Finance,Journal of Behavioral and Experimental Finance,Journal of Behavioral and Experimental Finance,Elsevier BV,2214-6350,A,3.9,4.5,0.965,Q1,54.0,4.68
Australian Journal of Management,Australian Journal of Management,Australian Journal of Management,Sage Publications Ltd.,0312-8962; 1327-2020,A,3.1,5.0,0.778,Q1,57.0,3.96
Journal of Corporate Finance,Journal of Corporate Finance,Journal of Corporate Finance,Elsevier BV,0929-1199; 1872-6313,A*,6.9,10.5,2.706,Q1,166.0,7.97
Journal of Business Research,Journal of Business Research,Journal of Business Research,Elsevier Inc.,0148-2963; 1873-7978,A,11.1,14.0,3.498,Q1,322.0,15.01
The Journal of Finance,The Journal of Finance,The Journal of Finance,"Wiley-Blackwell Publishing, Inc.",0022-1082; 1540-6261,A*,12.2,12.3,22.27,Q1,386.0,12.3
International Review of Financial Analysis,International Review of Financial Analysis,International Review of Financial Analysis,Elsevier BV,1057-5219,A,10.2,10.3,2.373,Q1,129.0,11.33
Materiały i Studia,Materiały i Studia,,,2084-6258; 2084-6258,,,,,,,
International Review of Finance,International Review of Finance,International Review of Finance,Wiley-Blackwell Publishing Asia,1369-412X; 1468-2443,A,2.3,2.2,0.636,Q2,35.0,2.96
Journal of Financial Markets,Journal of Financial Markets,Journal of Financial Markets,Elsevier BV,1386-4181,A*,2.5,2.5,1.544,Q1,77.0,2.7
Financial Management,Financial Management,Financial Management,"Wiley-Blackwell Publishing, Inc.",0046-3892; 1755-053X,A*,7.5,5.3,3.477,Q1,88.0,9.5
Organization Science,Organization Science,Organization Science,Institute for Operations Research and the Management Sciences (I N F O R M S),1047-7039; 1526-5455,A*,5.7,8.0,7.929,Q1,308.0,7.93
Management Science,Management Science,Management Science,Institute for Operations Research and the Management Sciences (I N F O R M S),0025-1909; 1526-5501,A*,5.7,7.6,6.428,Q1,321.0,7.69
European Financial Management,European Financial Management,European Financial Management,Wiley-Blackwell Publishing Ltd.,1354-7798; 1468-036X,A,4.2,4.1,1.188,Q1,82.0,5.58
