espace_id,name,journal_key,title,year,type,abdc,link
6079108,Shaun Bond,1094-4060,Mandatory disclosures of greenhouse gas emissions and managerial myopia: evidence from the United States,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:02e94da
6079108,Shaun Bond,1556-5068,Large language models and financial market sentiment,2023,Journal Article,,https://espace.library.uq.edu.au/view/UQ:18ec8d4
6079108,Shaun Bond,1062-9769,Seasonal patterns of earnings releases and post-earnings announcement drift,2023,Journal Article,B,https://espace.library.uq.edu.au/view/UQ:4a30105
6079108,Shaun Bond,1058-3300,Homemade equity offerings via dividend reinvestment and stock purchase plans,2023,Journal Article,B,https://espace.library.uq.edu.au/view/UQ:6345a6d
6079108,Shaun Bond,,Building business resilience,2022,Research Report,,https://espace.library.uq.edu.au/view/UQ:e5f0850
6079108,Shaun Bond,0895-5638,Systematic mispricing: evidence from real estate markets,2022,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:4466e5b
6079108,Shaun Bond,1080-8620,The role of parents on the home ownership experience of their children: evidence from the health and retirement study,2020,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:997d766
6079108,Shaun Bond,1080-8620,The impact of dividend reinvestment plans on firm payout choices-evidence from real estate investment trusts,2019,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:35cafca
6079108,Shaun Bond,0895-5638,Commercial real estate market property level capital expenditures: An options analysis,2019,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:64825b6
6079108,Shaun Bond,2090-3367,"Joint distribution of forecasts and outcomes: Impact of non-normality on the measurement of forecasting skill, with applications to analysts' target prices",2018,Journal Article,,https://espace.library.uq.edu.au/view/UQ:0c65502
6079108,Shaun Bond,0895-5638,The cross section of expected real estate returns: Insights from investment-based asset pricing,2016,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:dcd1924
6079108,Shaun Bond,0895-5638,Incentivizing green single-family construction: Identifying effective government policies and their features,2016,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:59c81ba
6079108,Shaun Bond,0895-5638,Certification matters: Is green talk cheap talk?,2015,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:d1ca517
6079108,Shaun Bond,1080-8620,The impact of leveraged and inverse ETFs on underlying real estate returns: Leverage and inverse ETFs and REITs,2014,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:62d5177
6079108,Shaun Bond,,REITs and the Private Real Estate Market,2013,Book Chapter,,https://espace.library.uq.edu.au/view/UQ:6af923e
6079108,Shaun Bond,0959-9916,The impact of enterprise zone tax incentives on local property markets in England: who actually benefits?,2013,Journal Article,B,https://espace.library.uq.edu.au/view/UQ:77a567b
6079108,Shaun Bond,0261-5606,Liquidity dynamics across public and private markets,2012,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:4e0e874
6079108,Shaun Bond,1080-8620,Commercial real estate returns: An anatomy of smoothing in asset and index returns: An anatomy of smoothing in asset and index returns,2012,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:52587d8
6079108,Shaun Bond,0095-4918,The information content of real estate derivative prices,2011,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:82a7179
6079108,Shaun Bond,0895-5638,Alpha and persistence in real estate fund performance,2010,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:b33029f
6079108,Shaun Bond,0895-5638,Maastricht–Cambridge–MIT Symposium 2006 : Editors’ Introduction,2008,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:57a895e
6079108,Shaun Bond,0895-5638,Lease maturity and initial rent: Is there a term structure for UK commercial property leases?,2007,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:90cf448
6079108,Shaun Bond,,An econometric model of downside risk,2007,Book Chapter,,https://espace.library.uq.edu.au/view/UQ:87c2bba
6079108,Shaun Bond,1080-8620,"Smoothing, nonsynchronous appraisal and cross-sectional aggregation in real estate price indices",2007,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:fca057b
6079108,Shaun Bond,0895-5638,Marketing period risk in a portfolio context: Theory and empirical estimates from the UK commercial real estate market,2007,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:136523
6079108,Shaun Bond,0095-4918,Will private equity and hedge funds replace real estate in mixed-asset portfolios? Not likely,2007,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:130262
6079108,Shaun Bond,0021-9398,"Asymmetry, Loss Aversion, and Forecasting*",2006,Journal Article,,https://espace.library.uq.edu.au/view/UQ:34c3395
6079108,Shaun Bond,1351-847X,Asymmetry and downside risk in foreign exchange markets,2006,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:aa5e8db
6079108,Shaun Bond,1470-8272,Optimal allocation to real estate incorporating illiquidity risk,2006,Journal Article,B,https://espace.library.uq.edu.au/view/UQ:2fb1834
6079108,Shaun Bond,0895-5638,A web of shocks: Crises across Asian real estate markets,2006,Conference Paper,A,https://espace.library.uq.edu.au/view/UQ:60fb509
6079108,Shaun Bond,1556-5068,The performance and diversification benefits of European public real estate securities,2006,Journal Article,,https://espace.library.uq.edu.au/view/UQ:a3f93c5
6079108,Shaun Bond,1556-5068,The capital structure decision for listed real estate companies,2006,Journal Article,,https://espace.library.uq.edu.au/view/UQ:78226e0
6079108,Shaun Bond,1080-8620,A measure of fundamental volatility in the commercial property market,2003,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:488af6c
6079108,Shaun Bond,1080-8620,"International real estate returns: A multifactor, multicountry approach",2003,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:6a45bb9
6079108,Shaun Bond,0895-5638,The conditional distribution of real estate returns: Are higher moments time varying?,2003,Conference Paper,A,https://espace.library.uq.edu.au/view/UQ:1b60658
6079108,Shaun Bond,1350-486X,Statistical properties of the sample semi-variance,2002,Journal Article,B,https://espace.library.uq.edu.au/view/UQ:6a58d91
7627091,Yong Ming Chen,1059-0560,Uncovering the distress anomaly: The role of insider silence and limited investor attention,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:28c34e5
7627091,Yong Ming Chen,1544-6123,The dual purpose of insider trading: Signaling quality and battling shorts,2023,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:861e9fe
2254822,Hasibul Chowdhury,1815-5669,Brand capital and labor investment efficiency,2026,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:e5571c6
2254822,Hasibul Chowdhury,0737-4607,Safety begins at home: supply chain power and workplace safety,2026,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:77c9c2a
2254822,Hasibul Chowdhury,0732-8516,Does a CEO's network capital affect workplace safety?,2026,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:aa730be
2254822,Hasibul Chowdhury,0890-8389,Institutional shareholder distraction and workplace safety,2026,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:7ce7474
2254822,Hasibul Chowdhury,1059-0560,Natural disasters and corporate default risk,2026,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:361654c
2254822,Hasibul Chowdhury,1059-0560,Does climate policy uncertainty affect a firm’s lease versus buy decision? Evidence from the US,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:931cf8c
2254822,Hasibul Chowdhury,0737-4607,Investor overconfidence and stock&nbsp;price crash risk,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:e5bee2d
2254822,Hasibul Chowdhury,0270-2592,Do product market threats affect the leasing decision?,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:a599169
2254822,Hasibul Chowdhury,1044-0283,Social capital and leasing,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:93297bb
2254822,Hasibul Chowdhury,0270-2592,Does the linguistic complexity of annual reports affect the corporate leasing decision?,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:8fc07ed
2254822,Hasibul Chowdhury,0964-8410,Do CEOs' industry tournament incentives affect stock liquidity?,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:7f62600
2254822,Hasibul Chowdhury,0810-5391,Labour investment efficiency and social capital,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:6d4c97c
2254822,Hasibul Chowdhury,1572-3089,Organization capital and labor investment efficiency,2025,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:f860431
2254822,Hasibul Chowdhury,1351-847X,Corporate sexual orientation equality and dividend payout,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:e8d829e
2254822,Hasibul Chowdhury,0963-8180,Does exchange-traded fund ownership affect a firm’s expected crash risk?,2025,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:4410e39
2254822,Hasibul Chowdhury,0306-686X,Acquisitions and social capital,2024,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:009856d
2254822,Hasibul Chowdhury,1044-0283,U.S. Political corruption and labor investment (in)efficiency,2024,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:4efc793
2254822,Hasibul Chowdhury,1815-5669,Tournament-based incentives and media sentiment,2023,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:8104ac3
2254822,Hasibul Chowdhury,0378-4266,Do tournament incentives affect corporate dividend policy?,2023,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:ed665cb
2254822,Hasibul Chowdhury,0927-538X,Corporate cash holdings through economic policy uncertainty: An Australian study,2023,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:6287fa7
2254822,Hasibul Chowdhury,0378-4266,Tournament-based incentives and the lease-versus-buy decision,2023,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:65a2304
2254822,Hasibul Chowdhury,1044-0283,Equity market response to natural disasters: Does firm's corporate social responsibility make difference?,2023,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:eadc80d
2254822,Hasibul Chowdhury,1044-0283,Does corporate sexual orientation equality affect labor investment efficiency?,2022,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:ea2ec2a
2254822,Hasibul Chowdhury,2214-6350,Do external labor market incentives improve labor investment efficiency?,2022,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:1fabc95
2254822,Hasibul Chowdhury,2214-6350,Does a competitive external labour market affect corporate social responsibility? Evidence from industry tournament incentives,2022,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:3ff33f3
2254822,Hasibul Chowdhury,2214-6350,CEO centrality and stock price crash risk,2021,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:8c0a52e
2254822,Hasibul Chowdhury,1467-629X,Using abnormal analyst coverage to unlock new evidence on stock price crash risk,2021,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:d29ce99
2254822,Hasibul Chowdhury,0312-8962,Does firm life cycle have impacts on managerial promotion tournament incentives?,2020,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:5a4ec2c
2254822,Hasibul Chowdhury,0929-1199,Do external labour market incentives constrain bad news hoarding? The CEO's industry tournament and crash risk reduction,2020,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:951d2ae
2254822,Hasibul Chowdhury,0810-5391,Leverage deviation from the target debt ratio and leasing,2020,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:53f7f51
2254822,Hasibul Chowdhury,0312-8962,Evidence on the trade-off between corporate social responsibility and mergers and acquisitions investment,2020,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:3e720de
2254822,Hasibul Chowdhury,0148-2963,"Corporate social responsibility, overconfident CEOs and empire building: agency and stakeholder theoretic perspectives",2020,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:a5a0fa7
2254822,Hasibul Chowdhury,,Essays on executive pay disparity,2019,Thesis,,https://espace.library.uq.edu.au/view/UQ:3e5822e
7275857,Nicolas Eugster,0270-2592,Does the linguistic complexity of annual reports affect the corporate leasing decision?,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:8fc07ed
7275857,Nicolas Eugster,,The behavior of stock prices around the ex-day during a dividend shortage,2025,Research Report,,https://espace.library.uq.edu.au/view/UQ:12a4323
7275857,Nicolas Eugster,0929-1199,Family firms and carbon emissions,2024,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:c4aa964
7275857,Nicolas Eugster,0022-1082,Nonstandard errors,2024,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:fb225ce
7275857,Nicolas Eugster,1057-5219,Internal governance mechanisms and corporate misconduct,2024,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:b78c04d
7275857,Nicolas Eugster,2084-6258,In search of accounting principles for the central bank,2023,Journal Article,,https://espace.library.uq.edu.au/view/UQ:8ffd289
7275857,Nicolas Eugster,1044-0283,Large blockholders and stock price crash risk: an international study,2023,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:71e3335
7275857,Nicolas Eugster,1369-412X,"Chasing dividends during the
            COVID
            ‐19 pandemic",2022,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:7c1fe13
7275857,Nicolas Eugster,1057-5219,Is competition beneficial? The case of exchange traded funds,2021,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:a72ee9a
7275857,Nicolas Eugster,0927-538X,Family firms and financial analyst activity,2019,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:f64d0f9
7275857,Nicolas Eugster,0378-4266,"Founding family ownership, stock market returns, and agency problems",2019,Journal Article,A*,https://espace.library.uq.edu.au/view/UQ:c04561b
7275857,Nicolas Eugster,1556-5068,Ownership structure and mergers and acquisitions decisions: are family firms different acquirers?,2015,Working Paper,,https://espace.library.uq.edu.au/view/UQ:d91f74c
87704,Khoa Hoang,0737-4607,Investor overconfidence and stock&nbsp;price crash risk,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:e5bee2d
87704,Khoa Hoang,0270-2592,Do product market threats affect the leasing decision?,2025,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:a599169
87704,Khoa Hoang,0927-538X,Resurrecting the market factor: a case of data mining across international markets,2023,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:c4d1858
87704,Khoa Hoang,0927-538X,Economic uncertainty and cross section of stock returns: Australian evidence,2022,Journal Article,A,https://espace.library.uq.edu.au/view/UQ:1da2e10
