researcher_id,researcher_name,publication_id,relationship_source,researcher_match_method,researcher_match_confidence,requires_review,review_reason,openalex_work_id,openalex_match_method,openalex_match_confidence,openalex_candidate_count,openalex_requires_review,openalex_review_reason,cited_by_count,fwci,citation_percentile,openalex_retrieved_at
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-8c36052753862df0,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4282822794,exact_doi,high,1,false,,19,3.2068,0.92333638,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-ae1e88f5a995d7ae,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2900830061,exact_doi,high,1,false,,68,7.927,0.97068345,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-1ca77a15966af2f8,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2962647877,exact_doi,high,1,false,,28,3.052,0.91152211,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-293b849b5c49f9c5,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3113253771,exact_doi,high,1,false,,27,2.3614,0.88747084,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-bf05c22098236407,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2982023718,exact_doi,high,1,false,,51,4.1482,0.93953581,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-97520cb7c2d8ec80,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2962447670,exact_doi,high,1,false,,18,3.0633,0.9165499,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-fe2bf5536383d781,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3124291134,exact_doi,high,1,false,,198,8.7134,0.9762554,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-96f5e587a7c9be68,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W1998748486,exact_doi,high,1,false,,129,8.0798,0.97083536,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-356a6d50aca24d9b,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W1489716381,exact_doi,high,1,false,,81,7.8512,0.96422389,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-81c5a54771f165e4,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W1982208435,exact_doi,high,1,false,,227,6.7008,0.96680682,2026-08-29T03:05:16.957Z
