researcher_id,researcher_name,orcid,openalex_author_id,openalex_author_ids,openalex_display_name,openalex_works_count,openalex_cited_by_count,openalex_institutions,match_method,match_confidence,name_agreement,university_affiliation_observed,candidate_count,requires_review,review_reason,retrieved_at
unimelb-accounting-001,Professor Margaret Abernethy,0000-0002-1244-7593,A5019062394,A5019062394,Margaret A. Abernethy,100,6230,The University of Melbourne; Tilburg University; La Trobe University; Monash Medical Centre; Victorian Curriculum and Assessment Authority; UNSW Sydney; Victoria University of Wellington; Department of Finance; St. Anna Hospital; Monash University; Bocconi University; Victoria University; Frankfurt School of Finance & Management; Universidad Pablo de Olavide,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-002,Professor Rosemary Addis,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-003,Professor Gary Biddle,0000-0003-3405-0738,A5090783442,A5090783442,Gary C. Biddle,74,6138,The University of Melbourne; HKU-Pasteur Research Pole; London Business School; University of Hong Kong; Conference Board; Santa Clara University; Hong Kong University of Science and Technology; University of Washington; University of Illinois Chicago; European Accounting Association; Erasmus University Rotterdam,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-004,Dr Stuart Black,0000-0002-5391-256X,A5102782564,A5102782564,Stuart Black,30,104,The University of Melbourne; University of Aberdeen; La Trobe University,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-005,Dr Jonathan Black,0000-0001-9805-5672,A5043135149,A5043135149,Jonathan Black,17,98,The University of Melbourne; Purdue University West Lafayette; Victoria University,exact_orcid,high,true,true,1,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-006,Mr Noel Boys,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-007,Professor Albie Brooks,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-008,Associate Professor Geoffrey Burrows,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-009,Mr Danny Burton,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-010,Dr Phill Cobbin,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-011,Mr Wayne Coetzee,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
unimelb-accounting-012,Mr Bob Cornick,,,,,,,,no_orcid,none,false,false,0,true,No ORCID; automatic name-only OpenAlex matching is disabled,2026-08-29T03:05:16.957Z
