publication_id,source_record_id,item_uuid,handle,item_url,title,publication_year,issued_date,article_url,doi,journal_name,issn,eissn,all_issns,volume,issue,pages,authors,melbourne_authors,author_count,publication_type,publisher,departments,faculties,open_access_status,open_access_url,last_modified,field_of_research,official_source,source_url
unimelb-pub-30885b306da7804c,c0447476-5299-4eb5-bdca-c072cacb6d89,c0447476-5299-4eb5-bdca-c072cacb6d89,11343/370617,https://hdl.handle.net/11343/370617,Submission to the Victorian Governments Inquiry into enhancing Victorian university governance,2026,2026,https://hdl.handle.net/11343/370617,,,,,,,,,"Pinnuck, M","Pinnuck, Matthew",1,Report,Parliament of VIctoria,Accounting,Business & Economics,,,2026-07-27T01:53:21.162+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/370617
unimelb-pub-16ac0e58a60ed42d,b4711885-a04c-406d-8604-f408d250dcc1,b4711885-a04c-406d-8604-f408d250dcc1,11343/370101,https://hdl.handle.net/11343/370101,Accelerating the future of audit technologies: Introducing the special issue and emphasizing future research directions,2025,2025-12-01,https://doi.org/10.1016/j.accinf.2025.100740,10.1016/j.accinf.2025.100740,International Journal of Accounting Information Systems,1467-0895,,1467-0895,56,,100740-100740,"Black, S; Gerard, GJ","Black, Stuart",2,Journal Article,Elsevier BV,Accounting,Business & Economics,Published Version,https://doi.org/10.1016/j.accinf.2025.100740,2026-07-18T01:46:16.329+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/370101
unimelb-pub-b52c73f30b739287,f53e9dce-bf7f-47ca-bbd3-cefe3816c1e8,f53e9dce-bf7f-47ca-bbd3-cefe3816c1e8,11343/369782,https://hdl.handle.net/11343/369782,From bytes to bucks: The influence of social media commentary on private placements in Chinese listed companies,2025,2025-01-01,https://doi.org/10.1016/j.bar.2025.101812,10.1016/j.bar.2025.101812,British Accounting Review,0890-8389,1095-8347,0890-8389; 1095-8347,,,101812-101812,"Jin, Z; Kang, J; Qian, L; Qin, B","Qin, Bo",4,Journal Article,Elsevier BV,Accounting,Business & Economics,Published Version,https://doi.org/10.1016/j.bar.2025.101812,2026-07-14T20:44:14.970+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/369782
unimelb-pub-706c93289280cca2,351b4c80-ce89-4435-999b-684777d56a86,351b4c80-ce89-4435-999b-684777d56a86,11343/369305,https://hdl.handle.net/11343/369305,Celebrations and Reflections in Pursuit of Impact,2025,2025-01-01,https://doi.org/10.3127/ajis.v29.6415,10.3127/ajis.v29.6415,Australasian Journal of Information Systems,1449-8618,1326-2238,1449-8618; 1326-2238,29,,1-2,"Davern, M; Black, S","Black, Stuart; Davern, Michael",2,Journal Article,Australasian Association for Information Systems,Accounting,Business & Economics,Published Version,,2026-07-22T11:44:06.617+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/369305
unimelb-pub-fcbfc25d96bf833b,4ad766f3-ced2-4b9a-8900-5827af4601e6,4ad766f3-ced2-4b9a-8900-5827af4601e6,11343/369250,https://hdl.handle.net/11343/369250,Does ESG information draw more visual attention than financial information?,2025,2025-01-01,https://doi.org/10.1177/03128962251319724,10.1177/03128962251319724,Australian Journal of Management,0312-8962,1327-2020,0312-8962; 1327-2020,51,2,416-437,"Fehrenbacher, DD; Soderstrom, NS","Soderstrom, Naomi",2,Journal Article,SAGE Publications,Accounting,Business & Economics,Published Version,,2026-07-15T00:27:03.195+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/369250
unimelb-pub-d9a8517c3a766eed,ad9bcc35-ca62-442f-8669-cf626863d3b7,ad9bcc35-ca62-442f-8669-cf626863d3b7,11343/367353,https://hdl.handle.net/11343/367353,Acute Stress Impairs Performance in a Computationally Hard Cognitive Task,2024,2024,https://escholarship.org/uc/item/6dk0j5q9,,Proceedings of the Annual Meeting of the Cognitive Science Society,1069-7977,,1069-7977,46,,5512-5519,"Doroc, K; Yadav, N; Murawski, C","Doroc, Karlo",3,Conference Paper,UC Merced,Accounting,Business & Economics,Published version,https://escholarship.org/uc/item/6dk0j5q9,2026-07-21T11:35:17.407+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/367353
unimelb-pub-655887b6a909ce59,41ec8f58-fee9-4224-a55f-e33bace6fc70,41ec8f58-fee9-4224-a55f-e33bace6fc70,11343/367306,https://hdl.handle.net/11343/367306,Acute stress impairs decision-making at varying levels of decision complexity,2025,2025,https://doi.org/10.1038/s44271-025-00355-x,10.1038/s44271-025-00355-x,Communications Psychology,2731-9121,,2731-9121,3,1,179-,"Doroc, K; Yadav, N; Murawski, C","Murawski, Carsten; Doroc, Karlo; Yadav, Nitin",3,Journal Article,Nature Portfolio,Accounting; Finance,Business & Economics,Published version,https://doi.org/10.1038/s44271-025-00355-x,2026-07-13T14:25:38.508+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/367306
unimelb-pub-16aba3ceca8ab7ed,da47c7ad-22af-4005-879a-218e0e796194,da47c7ad-22af-4005-879a-218e0e796194,11343/366539,https://hdl.handle.net/11343/366539,On the Interaction Between Cheap-Talk Advertising and Credible Product Reviews,2025,2025-02-01,https://doi.org/10.1177/10591478241279987,10.1177/10591478241279987,Production and Operations Management,1059-1478,1937-5956,1059-1478; 1937-5956,34,2,262-278,"Jia, X; Suijs, J","Jia, Xue",2,Journal Article,SAGE PUBLICATIONS INC,Accounting,Business & Economics,Published Version,https://doi.org/10.1177/10591478241279987,2026-06-28T03:46:13.323+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/366539
unimelb-pub-c8d1526732fdeea6,abb0c310-a5e0-48dd-a180-96079e1ae662,abb0c310-a5e0-48dd-a180-96079e1ae662,11343/366485,https://hdl.handle.net/11343/366485,Using emphasis frames to embed values in the interpretation of multiple performance criteria,2025,2025-06-01,https://doi.org/10.1016/j.mar.2024.100914,10.1016/j.mar.2024.100914,Management Accounting Research,1044-5005,,1044-5005,66,,100914-100914,"Martyn, P; Sweeney, B; Lillis, AM","Lillis, Anne",3,Journal Article,Elsevier BV,Accounting,Business & Economics,Published Version,https://doi.org/10.1016/j.mar.2024.100914,2026-07-14T07:36:25.563+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/366485
unimelb-pub-fcc2dfd70d144479,dab12eca-5240-463e-8a43-78a92bbb2af0,dab12eca-5240-463e-8a43-78a92bbb2af0,11343/365298,https://hdl.handle.net/11343/365298,Addressing the Contemporary Challenges of Business Process Compliance: The Case for Process Mining in the Banking Industry,2026,2026-04-01,https://doi.org/10.1007/s12599-025-00929-3,10.1007/s12599-025-00929-3,Business and Information Systems Engineering,2363-7005,1867-0202,2363-7005; 1867-0202,68,2,377-400,"Adams, N; Augusto, A; Davern, M; Rosa, ML","Davern, Michael; Augusto, Adriano; La Rosa, Marcello",4,Journal Article,Springer Science and Business Media LLC,Accounting; Computing and Information Systems,Business & Economics; Engineering and Information Technology,Published Version,https://doi.org/10.1007/s12599-025-00929-3,2026-07-08T04:22:12.306+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/365298
unimelb-pub-9e86fae975dc8f1b,6480a934-4d88-4695-93bb-0bd201ccbb03,6480a934-4d88-4695-93bb-0bd201ccbb03,11343/364976,https://hdl.handle.net/11343/364976,Does fair value accounting affect how banks convey information about future performance? Evidence from SFAS 115,2025,2025-01-01,https://doi.org/10.1007/s11156-025-01394-5,10.1007/s11156-025-01394-5,Review of Quantitative Finance and Accounting,0924-865X,1573-7179,0924-865X; 1573-7179,66,1,63-100,"Black, J; Godwin, T; Harris, D","Black, Jonathan",3,Journal Article,Springer Science and Business Media LLC,Accounting,Business & Economics,Published Version,https://doi.org/10.1007/s11156-025-01394-5,2026-07-15T00:33:03.975+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/364976
unimelb-pub-441b1a2aece05244,15551916-2901-4a5d-85c5-e6674dee5470,15551916-2901-4a5d-85c5-e6674dee5470,11343/364961,https://hdl.handle.net/11343/364961,Why did the Big Four get so large? Evidence from Australia,2025,2025-09-01,https://doi.org/10.1007/s11142-025-09871-x,10.1007/s11142-025-09871-x,Review of accounting studies,1380-6653,1573-7136,1380-6653; 1573-7136,30,3,2508-2554,"Ferguson, C; Pinnuck, M; Skinner, DJ","Pinnuck, Matthew",3,Journal Article,Springer Science and Business Media LLC,Accounting,Business & Economics,Published Version,https://doi.org/10.1007/s11142-025-09871-x,2026-08-26T07:28:40.551+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/364961
unimelb-pub-fa2d994e50f8caf9,2afcff5e-6975-4989-b549-13c27f97f60a,2afcff5e-6975-4989-b549-13c27f97f60a,11343/364766,https://hdl.handle.net/11343/364766,Are climate scenario analysis disclosures valued by investors?,2025,2025-05-01,https://doi.org/10.1016/j.jaccpubpol.2025.107313,10.1016/j.jaccpubpol.2025.107313,Journal of Accounting and Public Policy,0278-4254,1873-2070,0278-4254; 1873-2070,51,,107313-107313,"Ding, T; Jona, J; Potter, B; Soderstrom, N","Soderstrom, Naomi; Ding, Tongqing; Potter, Bradley",4,Journal Article,Elsevier BV,Accounting,Business & Economics,Published Version,https://doi.org/10.1016/j.jaccpubpol.2025.107313,2026-07-14T11:26:11.634+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/364766
unimelb-pub-0007630a1ad6b7f9,4f1e8cc9-a895-4d7e-92a6-033d6af1ee4d,4f1e8cc9-a895-4d7e-92a6-033d6af1ee4d,11343/364542,https://hdl.handle.net/11343/364542,Parent-subsidiary dispersion and ESG rating disparities: evidence from China,2026,2026-01-01,https://doi.org/10.1080/00014788.2025.2518082,10.1080/00014788.2025.2518082,Accounting and Business Research,0001-4788,2159-4260,0001-4788; 2159-4260,56,4,551-589,"Li, B; Xu, X; Qin, B; Yang, X","Qin, Bo",4,Journal Article,Informa UK Limited,Accounting,Business & Economics,Published Version,https://doi.org/10.1080/00014788.2025.2518082,2026-06-25T09:35:36.047+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/364542
unimelb-pub-a52a66333a47ddc4,e048cd96-38cf-412c-b066-7c0a6359ddcc,e048cd96-38cf-412c-b066-7c0a6359ddcc,11343/362463,https://hdl.handle.net/11343/362463,On the valuation implications of unbundled disclosure,2025,2025,https://doi.org/10.1111/1911-3846.70010,10.1111/1911-3846.70010,Contemporary Accounting Research,0823-9150,1911-3846,0823-9150; 1911-3846,43,1,39-68,"Jia, X; Suijs, J","Jia, Xue",2,Journal Article,Wiley,Accounting,Business & Economics,,,2026-06-25T06:02:03.755+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/362463
unimelb-pub-1776d8322e2b5807,a6e7b839-c6da-473c-a240-b0f883a153ce,a6e7b839-c6da-473c-a240-b0f883a153ce,11343/362288,https://hdl.handle.net/11343/362288,Factors Impacting the Design of Innovative WIL Education,2025,2025-01-01,https://doi.org/10.22329/jtl.v19i2.8781,10.22329/jtl.v19i2.8781,Journal of Teaching and Learning,1492-1154,1911-8279,1492-1154; 1911-8279,19,2,115-134,"O'Rourke, M; Vesty, G; Magdziarz, S; Mudalige, P; Vitale, C; Bowyer, D; Nair, S; Soltys, S","Nair, Sujay; Soltys, Sharon",8,Journal Article,University of Windsor Leddy Library,Accounting,Business & Economics,,,2026-07-08T04:22:54.962+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/362288
unimelb-pub-5a700d05140971ef,524d1a44-0fbc-4e95-a3ba-81a2fe81eb3e,524d1a44-0fbc-4e95-a3ba-81a2fe81eb3e,11343/355824,https://hdl.handle.net/11343/355824,Australian small business-profitability and risk benchmarks,2024,2024-11,https://hdl.handle.net/11343/355824,,Australian small business-profitability and risk benchmarks,,,,,,1-63,"Pinnuck, M; McWilliams, K; Kavourakis, J; Stamford, L","Pinnuck, Matthew; Kavourakis, James",4,Report,Chartered Accountants Australia and New Zealand (CAANZ),Accounting,Business & Economics,,,2026-07-21T09:28:18.018+00:00,Accounting,University of Melbourne Minerva Access,https://hdl.handle.net/11343/355824
