researcher_id,researcher_name,publication_id,relationship_source,researcher_match_method,researcher_match_confidence,requires_review,review_reason
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-8c36052753862df0,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-ae1e88f5a995d7ae,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-1ca77a15966af2f8,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-293b849b5c49f9c5,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-bf05c22098236407,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-97520cb7c2d8ec80,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-fe2bf5536383d781,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-96f5e587a7c9be68,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-356a6d50aca24d9b,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-81c5a54771f165e4,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-001,Professor Margaret Abernethy,unimelb-pub-66e580c997a36fa4,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-003,Professor Gary Biddle,unimelb-pub-b7aa42c036dcf5c9,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-003,Professor Gary Biddle,unimelb-pub-6fb16accf7836380,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-003,Professor Gary Biddle,unimelb-pub-168a38f110b78ed6,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-003,Professor Gary Biddle,unimelb-pub-9b873fa1d9f73dc0,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-004,Dr Stuart Black,unimelb-pub-16ac0e58a60ed42d,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-004,Dr Stuart Black,unimelb-pub-706c93289280cca2,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-004,Dr Stuart Black,unimelb-pub-cd5e75bbc446e018,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-005,Dr Jonathan Black,unimelb-pub-9e86fae975dc8f1b,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-008,Associate Professor Geoffrey Burrows,unimelb-pub-d863688f273c5de4,University of Melbourne Minerva author metadata,exact_internal_author_id,high,false,
unimelb-accounting-014,Professor Michael Davern,unimelb-pub-706c93289280cca2,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-014,Professor Michael Davern,unimelb-pub-fcc2dfd70d144479,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-014,Professor Michael Davern,unimelb-pub-d9272fc004939b8c,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-014,Professor Michael Davern,unimelb-pub-301299f6b63e16b0,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-accounting-014,Professor Michael Davern,unimelb-pub-18821c662f78cae4,University of Melbourne Minerva author metadata,exact_orcid,high,false,
