"item_uuid","handle","item_url","title","authors","melbourne_authors","internal_author_ids","issued_date","publication_year","article_url","available_date","item_type","doi","issn","eissn","journal","volume","issue","pages","publisher","departments","faculties","citation_text","license","open_access_status","open_access_url","last_modified"
"c0447476-5299-4eb5-bdca-c072cacb6d89","11343/370617","https://hdl.handle.net/11343/370617","Submission to the Victorian Governments Inquiry into enhancing Victorian university governance","Pinnuck, M","Pinnuck, Matthew","Pinnuck, Matthew; 94; 0000-0002-7743-5796","2026","2026","https://hdl.handle.net/11343/370617","2026-07-13T22:54:32Z","Report","","","","","","","","Parliament of VIctoria","Accounting","Business & Economics","Pinnuck, M. (2026). Submission to the Victorian Governments Inquiry into enhancing Victorian university governance. Parliament of VIctoria.","","","","2026-07-27T01:53:21.162+00:00"
"b4711885-a04c-406d-8604-f408d250dcc1","11343/370101","https://hdl.handle.net/11343/370101","Accelerating the future of audit technologies: Introducing the special issue and emphasizing future research directions","Black, S; Gerard, GJ","Black, Stuart","Black, Stuart; 164026; 0000-0002-5391-256X","2025-12-01","2025","https://doi.org/10.1016/j.accinf.2025.100740","2026-06-23T01:53:32Z","Journal Article","10.1016/j.accinf.2025.100740","1467-0895","","International Journal of Accounting Information Systems","56","","100740-100740","Elsevier BV","Accounting","Business & Economics","Black, S. & Gerard, G. J. (2025). Accelerating the future of audit technologies: Introducing the special issue and emphasizing future research directions. International Journal of Accounting Information Systems, 56, pp.100740-100740. https://doi.org/10.1016/j.accinf.2025.100740.","cc-by","Published Version","https://doi.org/10.1016/j.accinf.2025.100740","2026-07-18T01:46:16.329+00:00"
"f53e9dce-bf7f-47ca-bbd3-cefe3816c1e8","11343/369782","https://hdl.handle.net/11343/369782","From bytes to bucks: The influence of social media commentary on private placements in Chinese listed companies","Jin, Z; Kang, J; Qian, L; Qin, B","Qin, Bo","Qin, Bo; 115157; 0000-0001-5817-1169","2025-01-01","2025","https://doi.org/10.1016/j.bar.2025.101812","2026-06-22T04:54:48Z","Journal Article","10.1016/j.bar.2025.101812","0890-8389","1095-8347","British Accounting Review","","","101812-101812","Elsevier BV","Accounting","Business & Economics","Jin, Z., Kang, J., Qian, L. & Qin, B. (2025). From bytes to bucks: The influence of social media commentary on private placements in Chinese listed companies. British Accounting Review, pp.101812-101812. https://doi.org/10.1016/j.bar.2025.101812.","cc-by","Published Version","https://doi.org/10.1016/j.bar.2025.101812","2026-07-14T20:44:14.970+00:00"
"351b4c80-ce89-4435-999b-684777d56a86","11343/369305","https://hdl.handle.net/11343/369305","Celebrations and Reflections in Pursuit of Impact","Davern, M; Black, S","Black, Stuart; Davern, Michael","Black, Stuart; 164026; 0000-0002-5391-256X; Davern, Michael; 4743; 0000-0002-9572-812X","2025-01-01","2025","https://doi.org/10.3127/ajis.v29.6415","2026-06-10T05:13:01Z","Journal Article","10.3127/ajis.v29.6415","1449-8618","1326-2238","Australasian Journal of Information Systems","29","","1-2","Australasian Association for Information Systems","Accounting","Business & Economics","Davern, M. & Black, S. (2025). Celebrations and Reflections in Pursuit of Impact. Australasian Journal of Information Systems, 29, pp.1-2. https://doi.org/10.3127/ajis.v29.6415.","cc-by-nc","Published Version","","2026-07-22T11:44:06.617+00:00"
"4ad766f3-ced2-4b9a-8900-5827af4601e6","11343/369250","https://hdl.handle.net/11343/369250","Does ESG information draw more visual attention than financial information?","Fehrenbacher, DD; Soderstrom, NS","Soderstrom, Naomi","Soderstrom, Naomi; 5569; 0000-0001-7602-9182","2025-01-01","2025","https://doi.org/10.1177/03128962251319724","2026-06-10T05:12:58Z","Journal Article","10.1177/03128962251319724","0312-8962","1327-2020","Australian Journal of Management","51","2","416-437","SAGE Publications","Accounting","Business & Economics","Fehrenbacher, D. D. & Soderstrom, N. S. (2025). Does ESG information draw more visual attention than financial information?. Australian Journal of Management, 51 (2), pp.416-437. https://doi.org/10.1177/03128962251319724.","cc-by","Published Version","","2026-07-15T00:27:03.195+00:00"
"ad9bcc35-ca62-442f-8669-cf626863d3b7","11343/367353","https://hdl.handle.net/11343/367353","Acute Stress Impairs Performance in a Computationally Hard Cognitive Task","Doroc, K; Yadav, N; Murawski, C","Doroc, Karlo","Doroc, Karlo; 128313; 0000-0003-0736-7131","2024","2024","https://escholarship.org/uc/item/6dk0j5q9","2026-03-09T20:18:50Z","Conference Paper","","","1069-7977","Proceedings of the Annual Meeting of the Cognitive Science Society","46","","5512-5519","UC Merced","Accounting","Business & Economics","Doroc, K., Yadav, N. & Murawski, C. (2024). Acute Stress Impairs Performance in a Computationally Hard Cognitive Task. Proceedings of the Annual Meeting of the Cognitive Science Society, 46, pp.5512-5519. UC Merced.","CC BY","Published version","https://escholarship.org/uc/item/6dk0j5q9","2026-07-21T11:35:17.407+00:00"
"41ec8f58-fee9-4224-a55f-e33bace6fc70","11343/367306","https://hdl.handle.net/11343/367306","Acute stress impairs decision-making at varying levels of decision complexity","Doroc, K; Yadav, N; Murawski, C","Murawski, Carsten; Doroc, Karlo; Yadav, Nitin","Murawski, Carsten; 5544; 0000-0002-1237-9535; Doroc, Karlo; 128313; 0000-0003-0736-7131; Yadav, Nitin; 127160; 0000-0003-0132-1028","2025","2025","https://doi.org/10.1038/s44271-025-00355-x","2026-03-02T00:08:06Z","Journal Article","10.1038/s44271-025-00355-x","2731-9121","2731-9121","Communications Psychology","3","1","179-","Nature Portfolio","Accounting; Finance","Business & Economics","Doroc, K., Yadav, N. & Murawski, C. (2025). Acute stress impairs decision-making at varying levels of decision complexity. Communications Psychology, 3 (1), https://doi.org/10.1038/s44271-025-00355-x.","CC BY-NC-ND","Published version","https://doi.org/10.1038/s44271-025-00355-x","2026-07-13T14:25:38.508+00:00"
"da47c7ad-22af-4005-879a-218e0e796194","11343/366539","https://hdl.handle.net/11343/366539","On the Interaction Between Cheap-Talk Advertising and Credible Product Reviews","Jia, X; Suijs, J","Jia, Xue","Jia, Xue; 124963; 0000-0002-0843-9259","2025-02-01","2025","https://doi.org/10.1177/10591478241279987","2026-01-11T21:48:13Z","Journal Article","10.1177/10591478241279987","1059-1478","1937-5956","Production and Operations Management","34","2","262-278","SAGE PUBLICATIONS INC","Accounting","Business & Economics","Jia, X. & Suijs, J. (2025). On the Interaction Between Cheap-Talk Advertising and Credible Product Reviews. Production and Operations Management, 34 (2), pp.262-278. https://doi.org/10.1177/10591478241279987.","CC-BY","Published Version","https://doi.org/10.1177/10591478241279987","2026-06-28T03:46:13.323+00:00"
"abb0c310-a5e0-48dd-a180-96079e1ae662","11343/366485","https://hdl.handle.net/11343/366485","Using emphasis frames to embed values in the interpretation of multiple performance criteria","Martyn, P; Sweeney, B; Lillis, AM","Lillis, Anne","Lillis, Anne; 590; 0000-0002-3057-6428","2025-06-01","2025","https://doi.org/10.1016/j.mar.2024.100914","2026-01-11T21:48:09Z","Journal Article","10.1016/j.mar.2024.100914","1044-5005","","Management Accounting Research","66","","100914-100914","Elsevier BV","Accounting","Business & Economics","Martyn, P., Sweeney, B. & Lillis, A. M. (2025). Using emphasis frames to embed values in the interpretation of multiple performance criteria. Management Accounting Research, 66, pp.100914-100914. https://doi.org/10.1016/j.mar.2024.100914.","CC-BY","Published Version","https://doi.org/10.1016/j.mar.2024.100914","2026-07-14T07:36:25.563+00:00"
"dab12eca-5240-463e-8a43-78a92bbb2af0","11343/365298","https://hdl.handle.net/11343/365298","Addressing the Contemporary Challenges of Business Process Compliance: The Case for Process Mining in the Banking Industry","Adams, N; Augusto, A; Davern, M; Rosa, ML","Davern, Michael; Augusto, Adriano; La Rosa, Marcello","Davern, Michael; 4743; 0000-0002-9572-812X; Augusto, Adriano; 141282; 0000-0001-7970-5246; La Rosa, Marcello; 136538; 0000-0001-9568-4035","2026-04-01","2026","https://doi.org/10.1007/s12599-025-00929-3","2026-01-07T04:46:07Z","Journal Article","10.1007/s12599-025-00929-3","2363-7005","1867-0202","Business and Information Systems Engineering","68","2","377-400","Springer Science and Business Media LLC","Accounting; Computing and Information Systems","Business & Economics; Engineering and Information Technology","Adams, N., Augusto, A., Davern, M. & Rosa, M. L. (2026). Addressing the Contemporary Challenges of Business Process Compliance: The Case for Process Mining in the Banking Industry. Business and Information Systems Engineering, 68 (2), pp.377-400. https://doi.org/10.1007/s12599-025-00929-3.","CC-BY","Published Version","https://doi.org/10.1007/s12599-025-00929-3","2026-07-08T04:22:12.306+00:00"
