researcher_id,researcher_name,profile_url,internal_id,orcid,repository_author_name,identity_match_method,identity_match_confidence,candidate_count,requires_review,review_reason
unimelb-accounting-001,Professor Margaret Abernethy,https://findanexpert.unimelb.edu.au/profile/14551,4757,0000-0002-1244-7593,"Abernethy, Margaret",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-accounting-002,Professor Rosemary Addis,https://fbe.unimelb.edu.au/our-people/staff/accounting/rosemary-addis,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-accounting-003,Professor Gary Biddle,https://findanexpert.unimelb.edu.au/profile/774767,120646,0000-0003-3405-0738,"Biddle, Gary",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-accounting-004,Dr Stuart Black,https://findanexpert.unimelb.edu.au/profile/900177,164026,0000-0002-5391-256X,"Black, Stuart",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-accounting-005,Dr Jonathan Black,https://findanexpert.unimelb.edu.au/profile/1045278,182928,0000-0001-9805-5672,"Black, Jonathan",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-accounting-006,Mr Noel Boys,https://findanexpert.unimelb.edu.au/profile/11503,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-accounting-007,Professor Albie Brooks,https://findanexpert.unimelb.edu.au/profile/177702,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-accounting-008,Associate Professor Geoffrey Burrows,https://fbe.unimelb.edu.au/our-people/staff/accounting/geoffrey_burrows,11110,,"Burrows, Geoffrey",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-accounting-009,Mr Danny Burton,https://fbe.unimelb.edu.au/our-people/staff/accounting/danny-burton,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-accounting-010,Dr Phill Cobbin,https://findanexpert.unimelb.edu.au/profile/13986,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-accounting-011,Mr Wayne Coetzee,https://fbe.unimelb.edu.au/our-people/staff/accounting/wayne-coetzee,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-accounting-012,Mr Bob Cornick,https://fbe.unimelb.edu.au/our-people/staff/accounting/bob-cornick,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-accounting-013,Mr Greg Cusack,https://fbe.unimelb.edu.au/our-people/staff/accounting/greg-cusack,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
