"researcher_id","researcher_name","academic_title","academic_level","publication_id","publication_title","publication_year","article_url","doi","journal","issn","eissn","abdc_rating","abdc_for","author_name_from_repository","researcher_match_method","researcher_match_confidence","abdc_match_method","abdc_match_status"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","c0447476-5299-4eb5-bdca-c072cacb6d89","Submission to the Victorian Governments Inquiry into enhancing Victorian university governance","2026","https://hdl.handle.net/11343/370617","","","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-004","Dr Stuart Black","Enterprise Fellow in data, analytics, disruption and innovation","","b4711885-a04c-406d-8604-f408d250dcc1","Accelerating the future of audit technologies: Introducing the special issue and emphasizing future research directions","2025","https://doi.org/10.1016/j.accinf.2025.100740","10.1016/j.accinf.2025.100740","International Journal of Accounting Information Systems","1467-0895","","A","3501","Black, Stuart","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-038","Associate Professor Bo Qin","Associate Professor","D","f53e9dce-bf7f-47ca-bbd3-cefe3816c1e8","From bytes to bucks: The influence of social media commentary on private placements in Chinese listed companies","2025","https://doi.org/10.1016/j.bar.2025.101812","10.1016/j.bar.2025.101812","British Accounting Review","0890-8389","1095-8347","A*","3501","Qin, Bo","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-004","Dr Stuart Black","Enterprise Fellow in data, analytics, disruption and innovation","","351b4c80-ce89-4435-999b-684777d56a86","Celebrations and Reflections in Pursuit of Impact","2025","https://doi.org/10.3127/ajis.v29.6415","10.3127/ajis.v29.6415","Australasian Journal of Information Systems","1449-8618","1326-2238","A","4609","Black, Stuart","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","351b4c80-ce89-4435-999b-684777d56a86","Celebrations and Reflections in Pursuit of Impact","2025","https://doi.org/10.3127/ajis.v29.6415","10.3127/ajis.v29.6415","Australasian Journal of Information Systems","1449-8618","1326-2238","A","4609","Davern, Michael","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-042","Professor Naomi Soderstrom","Professor","E","4ad766f3-ced2-4b9a-8900-5827af4601e6","Does ESG information draw more visual attention than financial information?","2025","https://doi.org/10.1177/03128962251319724","10.1177/03128962251319724","Australian Journal of Management","0312-8962","1327-2020","A","3502","Soderstrom, Naomi","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-022","Dr Xue Jia","Senior Lecturer","C","da47c7ad-22af-4005-879a-218e0e796194","On the Interaction Between Cheap-Talk Advertising and Credible Product Reviews","2025","https://doi.org/10.1177/10591478241279987","10.1177/10591478241279987","Production and Operations Management","1059-1478","1937-5956","A*","3509","Jia, Xue","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-027","Professor Anne Lillis","Professor","E","abb0c310-a5e0-48dd-a180-96079e1ae662","Using emphasis frames to embed values in the interpretation of multiple performance criteria","2025","https://doi.org/10.1016/j.mar.2024.100914","10.1016/j.mar.2024.100914","Management Accounting Research","1044-5005","","A*","3501","Lillis, Anne","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","dab12eca-5240-463e-8a43-78a92bbb2af0","Addressing the Contemporary Challenges of Business Process Compliance: The Case for Process Mining in the Banking Industry","2026","https://doi.org/10.1007/s12599-025-00929-3","10.1007/s12599-025-00929-3","Business and Information Systems Engineering","2363-7005","1867-0202","A","4609","Davern, Michael","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-005","Dr Jonathan Black","Senior Lecturer","C","6480a934-4d88-4695-93bb-0bd201ccbb03","Does fair value accounting affect how banks convey information about future performance? Evidence from SFAS 115","2025","https://doi.org/10.1007/s11156-025-01394-5","10.1007/s11156-025-01394-5","Review of Quantitative Finance and Accounting","0924-865X","1573-7179","B","3502","Black, Jonathan","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","15551916-2901-4a5d-85c5-e6674dee5470","Why did the Big Four get so large? Evidence from Australia","2025","https://doi.org/10.1007/s11142-025-09871-x","10.1007/s11142-025-09871-x","Review of accounting studies","1380-6653","1573-7136","A*","3501","Pinnuck, Matthew","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-042","Professor Naomi Soderstrom","Professor","E","2afcff5e-6975-4989-b549-13c27f97f60a","Are climate scenario analysis disclosures valued by investors?","2025","https://doi.org/10.1016/j.jaccpubpol.2025.107313","10.1016/j.jaccpubpol.2025.107313","Journal of Accounting and Public Policy","0278-4254","1873-2070","A*","3501","Soderstrom, Naomi","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-015","Dr Tongqing (Tony) Ding","Senior Lecturer","C","2afcff5e-6975-4989-b549-13c27f97f60a","Are climate scenario analysis disclosures valued by investors?","2025","https://doi.org/10.1016/j.jaccpubpol.2025.107313","10.1016/j.jaccpubpol.2025.107313","Journal of Accounting and Public Policy","0278-4254","1873-2070","A*","3501","Ding, Tongqing","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-038","Associate Professor Bo Qin","Associate Professor","D","4f1e8cc9-a895-4d7e-92a6-033d6af1ee4d","Parent-subsidiary dispersion and ESG rating disparities: evidence from China","2026","https://doi.org/10.1080/00014788.2025.2518082","10.1080/00014788.2025.2518082","Accounting and Business Research","0001-4788","2159-4260","A","3501","Qin, Bo","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-022","Dr Xue Jia","Senior Lecturer","C","e048cd96-38cf-412c-b066-7c0a6359ddcc","On the valuation implications of unbundled disclosure","2025","https://doi.org/10.1111/1911-3846.70010","10.1111/1911-3846.70010","Contemporary Accounting Research","0823-9150","1911-3846","A*","3501","Jia, Xue","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-035","Dr Sujay Nair","Senior Lecturer","C","a6e7b839-c6da-473c-a240-b0f883a153ce","Factors Impacting the Design of Innovative WIL Education","2025","https://doi.org/10.22329/jtl.v19i2.8781","10.22329/jtl.v19i2.8781","Journal of Teaching and Learning","1492-1154","1911-8279","","","Nair, Sujay","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","524d1a44-0fbc-4e95-a3ba-81a2fe81eb3e","Australian small business-profitability and risk benchmarks","2024","https://hdl.handle.net/11343/355824","","Australian small business-profitability and risk benchmarks","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","264cfa4f-20e9-4a68-a6cc-3b9355f134ef","Why is education at Australian universities so costly and how can the costs be decreased?","2024","https://hdl.handle.net/11343/354366","","","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","a587e1c7-e746-4d15-b510-a0ef3e6395a1","Indonesian Financial Reporting Benchmarks and Data-Driven Research Insights","2023","https://web.iaiglobal.or.id/assets/files/file_berita/Indonesian%20financial%20reporting%20benchmarks.pdf","","","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","d9215cc6-0a3e-43fa-87e5-6511b2ce6fcc","Annual benchmark and analysis research report on the reported financial performance and position of Australian Listed Companies","2024","https://www.charteredaccountantsanz.com/-/media/ba5091773f2f4ee1ab8aa9bb352805a9.pdf","","","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-008","Associate Professor Geoffrey Burrows","Associate Professor","D","393ed31e-9bbc-4a18-8ccb-17f7b9bd9237","World War 2 governmental cost-plus procurement: An Australian case study","2024","https://doi.org/10.1177/10323732241258560","10.1177/10323732241258560","Accounting History","1032-3732","1749-3374","A","3501","Burrows, Geoffrey","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-020","Ms Jane Hronsky","Lecturer","B","393ed31e-9bbc-4a18-8ccb-17f7b9bd9237","World War 2 governmental cost-plus procurement: An Australian case study","2024","https://doi.org/10.1177/10323732241258560","10.1177/10323732241258560","Accounting History","1032-3732","1749-3374","A","3501","Hronsky, Jane","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-038","Associate Professor Bo Qin","Associate Professor","D","161bb524-adf8-4d65-ac19-1853fab66c09","Taming the dragon: stock exchange comment letters and earnings volatility","2025","https://doi.org/10.1080/00014788.2024.2361607","10.1080/00014788.2024.2361607","Accounting and Business Research","0001-4788","2159-4260","A","3501","Qin, Bo","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-038","Associate Professor Bo Qin","Associate Professor","D","69c4da4d-1c40-4681-9680-3b2de6b0b603","Vertical pay disparity, traditional Chinese culture, and employee productivity","2024","https://doi.org/10.1016/j.mar.2024.100902","10.1016/j.mar.2024.100902","Management Accounting Research","1044-5005","1096-1224","A*","3501","Qin, Bo","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-004","Dr Stuart Black","Enterprise Fellow in data, analytics, disruption and innovation","","fb9490de-1a30-4c32-ac57-ec5b7998c885","Moving beyond ‘proof points’: Factors underpinning AI-enabled business model transformation","2024","https://doi.org/10.1016/j.ijinfomgt.2024.102796","10.1016/j.ijinfomgt.2024.102796","International Journal of Information Management","0268-4012","1873-4707","A","4609","Black, Stuart","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","3ec4efb4-041c-452a-a546-d21550dfe8f8","Assistive Technology (AT) for All: Exploring the benefits and challenges of timely access to AT when ineligible for the NDIS","2022","https://hdl.handle.net/11343/348044","","","","","","","Davern, Michael","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","7c83673f-78e3-4d0c-a0ef-062417fa5ba9","AASB 16 Leases: Investor Perspectives","2020","https://www.cpaaustralia.com.au/-/media/corporate/allfiles/document/professional-resources/reporting/leases-report-investor-perspectives.pdf?la=en&rev=c207a17338814aaf9a1192477caee8f0","","","","","","","Davern, Michael","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","843424d0-01be-4a1c-bbc5-e0cf041ae8c7","The Horizons of Financial Reporting – Part 1: Preparer Perspectives","2022","https://www.cpaaustralia.com.au/-/media/Project/CPA/Corporate/documents/tools-and-resources/financial-reporting/reporting-research-initiatives/Horizons-of-Financial-Reporting-Part-1.pdf?rev=e2b716e6c703400eb6c75eba76eca714","","The Horizons of Financial Reporting – Part 1 Preparer Perspectives","","","","","Davern, Michael","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","cbb84cdf-2e2b-4a7b-a665-5d932b47fbb8","The Horizons of Financial Reporting - Part 2: Investor Perspectives and Measurement Uncertainty","2024","https://www.cpaaustralia.com.au/-/media/Project/CPA/Corporate/documents/tools-and-resources/financial-reporting/reporting-research-initiatives/the-horizons-of-financial-reporting_part-2_v1.pdf?rev=abef078351874df78943d784e089b002","","The Horizons of Financial Reporting – Part 2: Investor perspectives and measurement uncertainty","","","","","Davern, Michael","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","66f7445e-49f4-42ea-8cf8-cc59a95f4253","Submission to Treasury inquiry into: Regulation of accounting, auditing and consulting firms in Australia","2024","https://hdl.handle.net/11343/345261","","","","","","","Pinnuck, Matthew","normalized full name","medium - requires validation","unmatched","unmatched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","07b77dbd-dfc6-48a2-bc34-d318db18f9d5","Auditor Style and Financial Statement Comparability","2014","https://doi.org/10.2308/accr-50642","10.2308/accr-50642","Accounting Review","0001-4826","0001-4826","A*","3501","Pinnuck, Matthew","normalized full name","medium - requires validation","ISSN/eISSN","matched"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","de0459d4-69bc-4eb7-9ff5-b617b98319d0","Who pays attention to sustainability reports and why? Evidence from Google search activity","2023","https://doi.org/10.1111/acfi.13045","10.1111/acfi.13045","Accounting and Finance","0810-5391","0810-5391","A","3501","Pinnuck, Matthew","normalized full name","medium - requires validation","ISSN/eISSN","matched"
