"researcher_id","researcher_name","academic_title","academic_level","inclusion_review_required","publication_count_in_minerva_collection","abdc_ranked_publication_count","abdc_a_star_count","abdc_a_count","abdc_b_count","abdc_c_count","unranked_publication_count"
"unimelb-accounting-001","Professor Margaret Abernethy","Professor","E","false","11","10","10","0","0","0","1"
"unimelb-accounting-002","Professor Rosemary Addis","Professor","E","true","0","0","0","0","0","0","0"
"unimelb-accounting-003","Professor Gary Biddle","Professor","E","false","4","4","2","2","0","0","0"
"unimelb-accounting-004","Dr Stuart Black","Enterprise Fellow in data, analytics, disruption and innovation","","true","3","3","0","3","0","0","0"
"unimelb-accounting-005","Dr Jonathan Black","Senior Lecturer","C","false","1","1","0","0","1","0","0"
"unimelb-accounting-006","Mr Noel Boys","Teaching Fellow","","true","0","0","0","0","0","0","0"
"unimelb-accounting-007","Professor Albie Brooks","Professor","E","false","0","0","0","0","0","0","0"
"unimelb-accounting-008","Associate Professor Geoffrey Burrows","Associate Professor","D","true","1","1","0","1","0","0","0"
"unimelb-accounting-009","Mr Danny Burton","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-accounting-010","Dr Phill Cobbin","Principal Fellow Honorary","","true","0","0","0","0","0","0","0"
"unimelb-accounting-011","Mr Wayne Coetzee","Teaching Fellow","","true","0","0","0","0","0","0","0"
"unimelb-accounting-012","Mr Bob Cornick","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-accounting-013","Mr Greg Cusack","Teaching Fellow","","true","0","0","0","0","0","0","0"
"unimelb-accounting-014","Professor Michael Davern","Professor","E","false","19","9","2","7","0","0","10"
"unimelb-accounting-015","Dr Tongqing (Tony) Ding","Senior Lecturer","C","true","1","1","1","0","0","0","0"
"unimelb-accounting-016","Mr Matt Dyki","Teaching Fellow","","true","0","0","0","0","0","0","0"
"unimelb-accounting-017","Dr Patrick Ferguson","Senior Lecturer","C","false","3","3","1","2","0","0","0"
"unimelb-accounting-018","Professor Jennifer Grafton","Professor","E","false","4","2","1","0","1","0","2"
"unimelb-accounting-019","Ms Lisa Greig","Teaching Specialist (Education Focussed)","","true","0","0","0","0","0","0","0"
"unimelb-accounting-020","Ms Jane Hronsky","Lecturer","B","false","2","2","0","2","0","0","0"
"unimelb-accounting-021","Associate Professor Chung-Yu Hung","Associate Professor","D","false","2","2","2","0","0","0","0"
"unimelb-accounting-022","Dr Xue Jia","Senior Lecturer","C","false","4","4","4","0","0","0","0"
"unimelb-accounting-023","Associate Professor Like Jiang","Associate Professor","D","false","1","1","1","0","0","0","0"
"unimelb-accounting-024","Professor Flora Kuang","Professor","E","false","0","0","0","0","0","0","0"
"unimelb-accounting-025","Mr Warren Lee","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-accounting-026","Professor Stewart Leech","Professor","E","false","2","2","1","1","0","0","0"
"unimelb-accounting-027","Professor Anne Lillis","Professor","E","true","9","8","6","1","1","0","1"
"unimelb-accounting-028","Ms Joana Linggo Liong","Tutor in Charge","","true","0","0","0","0","0","0","0"
"unimelb-accounting-029","Dr Junhao Liu","Senior Lecturer","C","false","0","0","0","0","0","0","0"
"unimelb-accounting-030","Mr Derick Lyle","Teaching Fellow","","true","0","0","0","0","0","0","0"
"unimelb-accounting-031","Dr Rebecca Mattocks","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-accounting-032","Mr Warren McKeown","Teaching Fellow","","true","0","0","0","0","0","0","0"
"unimelb-accounting-033","Dr Tasneem Mohammed","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-accounting-034","Professor Vic Naiker","Professor","E","false","1","1","1","0","0","0","0"
"unimelb-accounting-035","Dr Sujay Nair","Senior Lecturer","C","false","2","1","1","0","0","0","1"
"unimelb-accounting-036","Professor Matthew Pinnuck","Professor","E","false","25","14","6","7","1","0","11"
"unimelb-accounting-037","Professor Brad Potter","Professor","E","false","0","0","0","0","0","0","0"
"unimelb-accounting-038","Associate Professor Bo Qin","Associate Professor","D","false","7","7","4","3","0","0","0"
"unimelb-accounting-039","Ms Michelle Sabe","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-accounting-040","Associate Professor Stefan Schantl","Associate Professor","D","false","2","2","2","0","0","0","0"
"unimelb-accounting-041","Ms Maggie Singorahardjo","Ms","","true","2","2","0","1","1","0","0"
"unimelb-accounting-042","Professor Naomi Soderstrom","Professor","E","false","10","8","5","2","1","0","2"
"unimelb-accounting-043","Professor Nasser Spear","Professor","E","false","0","0","0","0","0","0","0"
"unimelb-accounting-044","Dr Maiying Sui","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-accounting-045","Dr Michael Taouk","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-accounting-046","Mr Eu-Jin Teo","Senior Lecturer","C","false","2","1","1","0","0","0","1"
"unimelb-accounting-047","Ms Di (Demi) Wang","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-accounting-048","Dr Martin Weisner","Senior Lecturer","C","false","1","1","0","1","0","0","0"
"unimelb-accounting-049","Ms Sarah Yang Spencer","Ms","","true","0","0","0","0","0","0","0"
"unimelb-accounting-050","Dr Qingbo Yuan","Senior Lecturer","C","false","5","4","3","1","0","0","1"
