researcher_id,researcher_name,publication_id,relationship_source,researcher_match_method,researcher_match_confidence,requires_review,review_reason,openalex_work_id,openalex_match_method,openalex_match_confidence,openalex_candidate_count,openalex_requires_review,openalex_review_reason,cited_by_count,fwci,citation_percentile,openalex_retrieved_at
unimelb-finance-001,Dr Gil Aharoni,unimelb-pub-39a6d6870d270946,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-001,Dr Gil Aharoni,unimelb-pub-a21c435db97b9f83,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,unimelb-pub-94416679dbd70276,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4412516633,exact_doi,high,1,false,,0,0,0.09066297,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,unimelb-pub-84a30eed450ddbe2,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4367053935,exact_doi,high,1,false,,5,,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,unimelb-pub-e252e2a2edceefd0,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4213327529,exact_doi,high,1,false,,13,2.7679,0.90248696,2026-08-29T03:05:51.808Z
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-16232283efeef0c7,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-db6b77807348895b,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-6bc5fb85cfacba2f,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-0ac51fa05af0ebfe,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-ec6269b28e314829,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-e94da19b59ea9b87,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4402483921,exact_doi,high,1,false,,1,0.6986,0.76147663,2026-08-29T03:05:51.808Z
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-e1550281807a9d26,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4408915171,exact_doi,high,1,false,,2,2.4403,0.87031213,2026-08-29T03:05:51.808Z
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-5239d24e551c87a8,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4410739187,exact_doi,high,1,false,,2,1.2202,0.76322824,2026-08-29T03:05:51.808Z
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-5faead8f241e8f46,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2922084013,exact_doi,high,1,false,,0,,,2026-08-29T03:05:51.808Z
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-b13e5dd7dd20f1bd,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3122743821,exact_doi,high,1,false,,11,1.1336,0.81641021,2026-08-29T03:05:51.808Z
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-f3d02309b4effa46,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3123205415,exact_doi,high,1,false,,6,1.0917,0.81090597,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-5239d24e551c87a8,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4410739187,exact_doi,high,1,false,,2,1.2202,0.76322824,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-60a58888bc6d2483,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4410230020,exact_doi,high,1,false,,1,1.2095,0.75721323,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-910d448318acf57e,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-35dd7a9f40202ae5,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-faa737e1d8f56ec8,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4394881644,exact_doi,high,1,false,,101,64.9853,1,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-65a08dff28ad5ebb,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-8d0438dc3961fb24,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4385934881,exact_normalized_title_year,medium,1,false,,1,,,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-37260b3ea4a7c283,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4375810298,exact_normalized_title_year,medium,1,false,,4,,,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-60dba668162ce1fb,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3123107730,exact_doi,high,1,false,,1,0.3092,0.67562558,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-5faead8f241e8f46,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2922084013,exact_doi,high,1,false,,0,,,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-b13e5dd7dd20f1bd,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3122743821,exact_doi,high,1,false,,11,1.1336,0.81641021,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-6e503aab053ec2d0,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2198569936,exact_doi,high,1,false,,28,2.6414,0.9164172,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-ae3633db31e38716,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3123057352,exact_doi,high,1,false,,129,4.3806,0.94669271,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-0a27d368082d85d9,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2219609983,exact_normalized_title_year,medium,1,false,,4,4.9646,0.95528789,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-875147a2dc41c6aa,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3122046166,exact_doi,high,1,false,,72,8.7247,0.97680754,2026-08-29T03:05:51.808Z
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-58cdab185f37d50f,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3125690873,exact_doi,high,1,false,,213,21.6294,0.99494421,2026-08-29T03:05:51.808Z
unimelb-finance-007,Associate Professor Jonathan Dark,unimelb-pub-1a0a5813dc3bcc68,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4390452919,exact_doi,high,1,false,,2,0.6212,0.81976385,2026-08-29T03:05:51.808Z
unimelb-finance-007,Associate Professor Jonathan Dark,unimelb-pub-5a744288f482c4e2,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4289745291,exact_doi,high,1,false,,1,0.2062,0.54312005,2026-08-29T03:05:51.808Z
unimelb-finance-007,Associate Professor Jonathan Dark,unimelb-pub-2b8b03d878e2a0a4,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3185797522,exact_doi,high,1,false,,4,0.706,0.81408689,2026-08-29T03:05:51.808Z
unimelb-finance-007,Associate Professor Jonathan Dark,unimelb-pub-13cf8e2487ca6797,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W1992302525,exact_doi,high,1,false,,26,1.6951,0.83418175,2026-08-29T03:05:51.808Z
unimelb-finance-011,Dr Marina Gertsberg,unimelb-pub-9db1e24c7be49d51,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-011,Dr Marina Gertsberg,unimelb-pub-251521e09cb0fa59,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-cc5dab2d5af42997,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4408108624,exact_doi,high,1,false,,11,30.1817,0.99472053,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-cc037bd4ffd5e9cc,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2056082237,exact_doi,high,1,false,,47,1.5642,0.86542901,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-d0ac411d41ca146a,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2908495650,exact_doi,high,1,false,,93,10.6723,0.98449663,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-051c7430b4185e6f,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2523325931,exact_doi,high,1,false,,48,2.5036,0.8955836,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-feb992d01bb2f2b5,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2253420425,exact_doi,high,1,false,,14,0.5891,0.70279819,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-4022a37a6b0251b0,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2154218775,exact_doi,high,1,false,,17,1.5872,0.84329299,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-9b95e640733dde87,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W3010153481,exact_doi,high,1,false,,2,0.702,0.86334507,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-3fc97558323909f9,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2074259051,exact_doi,high,1,false,,22,,,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-97a6f7aeb0ceac5a,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2013895906,exact_doi,high,1,false,,3,0.6674,0.77489667,2026-08-29T03:05:51.808Z
unimelb-finance-012,Dr André Gygax,unimelb-pub-ad7f9abe4e169ea8,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2050245474,exact_doi,high,1,false,,65,5.2664,0.95565087,2026-08-29T03:05:51.808Z
unimelb-finance-013,Professor John Handley,unimelb-pub-e40c2918f1c3fc01,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-013,Professor John Handley,unimelb-pub-48d1940d5c98f036,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-013,Professor John Handley,unimelb-pub-97fd0603b2576c03,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-013,Professor John Handley,unimelb-pub-ff46ec24b828f961,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-015,Associate Professor Joachim Inkmann,unimelb-pub-e94da19b59ea9b87,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4402483921,exact_doi,high,1,false,,1,0.6986,0.76147663,2026-08-29T03:05:51.808Z
unimelb-finance-015,Associate Professor Joachim Inkmann,unimelb-pub-92a92f4552b708e5,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4392921908,exact_doi,high,1,false,,0,0,0.04028492,2026-08-29T03:05:51.808Z
unimelb-finance-016,Dr Eduard Inozemtsev,unimelb-pub-9de879b860ab5967,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4393392728,exact_doi,high,1,false,,21,7.8033,0.97728892,2026-08-29T03:05:51.808Z
unimelb-finance-020,Professor Paul Kofman,unimelb-pub-b3cd35f013fd5dd7,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2084000433,exact_doi,high,1,false,,89,2.1155,0.92020672,2026-08-29T03:05:51.808Z
unimelb-finance-020,Professor Paul Kofman,unimelb-pub-9a6f3ed474e13cae,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W1570588491,exact_doi,high,1,false,,9,0,0.11465757,2026-08-29T03:05:51.808Z
unimelb-finance-020,Professor Paul Kofman,unimelb-pub-2326edc178cc46e5,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2112063270,exact_doi,high,1,false,,97,5.2555,0.95567083,2026-08-29T03:05:51.808Z
unimelb-finance-020,Professor Paul Kofman,unimelb-pub-159f3eca8f8aaf05,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
unimelb-finance-020,Professor Paul Kofman,unimelb-pub-f123f600299172b3,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4400197613,exact_doi,high,1,false,,22,7.8718,0.97535524,2026-08-29T03:05:51.808Z
unimelb-finance-020,Professor Paul Kofman,unimelb-pub-a8664232a9ba9ef4,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W4406919602,exact_doi,high,1,false,,0,0,0.01414646,2026-08-29T03:05:51.808Z
unimelb-finance-020,Professor Paul Kofman,unimelb-pub-95da8a1db78051bb,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2010812172,exact_doi,high,1,false,,41,1.1263,0.83412906,2026-08-29T03:05:51.808Z
unimelb-finance-021,Associate Professor Asjeet Lamba,unimelb-pub-303a870b488af4b4,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W2096923373,exact_normalized_title_year,medium,1,false,,2,0,0.30222222,2026-08-29T03:05:51.808Z
unimelb-finance-021,Associate Professor Asjeet Lamba,unimelb-pub-d2a2dd4b21347773,University of Melbourne Minerva author metadata,exact_orcid,high,false,,W1545914684,exact_doi,high,1,false,,7,0,0.17219456,2026-08-29T03:05:51.808Z
unimelb-finance-021,Associate Professor Asjeet Lamba,unimelb-pub-82a95c21ba740131,University of Melbourne Minerva author metadata,exact_orcid,high,false,,,unmatched,none,0,true,No OpenAlex work match,,,,2026-08-29T03:05:51.808Z
