researcher_id,researcher_name,openalex_author_id,openalex_work_id,title,publication_year,publication_date,doi,article_url,journal_name,issn,eissn,all_issns,authors,author_count,publication_type,cited_by_count,fwci,citation_percentile,is_retracted,is_open_access,open_access_status,open_access_url,topics,updated_date,source_updated_date,record_origin,identity_match_method,identity_match_confidence,repository_verified,requires_review,review_reason,openalex_retrieved_at
unimelb-finance-002,Dr Attila Balogh,A5035979998,W4403299308,Does Stakeholder Outrage Determine Executive Pay?,2024,2024-10-08,10.1093/rcfs/cfae022,https://doi.org/10.1093/rcfs/cfae022,The Review of Corporate Finance Studies,2046-9128,2046-9136,2046-9128; 2046-9136,[object Object]; [object Object]; [object Object],3,article,3,1.964,0.90420733,false,true,hybrid,https://doi.org/10.1093/rcfs/cfae022,COVID-19 Pandemic Impacts; Corporate Finance and Governance; Corporate Social Responsibility Reporting,2026-08-28T12:50:07.497085,2026-08-28T12:50:07.497085,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,A5035979998,W4402646748,Superapps: At the crossroads of enhanced customer experience and innovation management theories,2024,2024-09-11,10.55214/25768484.v8i4.1465,https://doi.org/10.55214/25768484.v8i4.1465,Edelweiss Applied Science and Technology,2576-8484,,2576-8484,[object Object]; [object Object],2,article,2,0.7875,0.7996827,false,true,diamond,https://learning-gate.com/index.php/2576-8484/article/download/1465/413,Big Data and Business Intelligence; Technology Adoption and User Behaviour; Service and Product Innovation,2026-08-26T07:47:46.906454,2026-08-26T07:47:46.906454,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,A5035979998,W2498209586,"Professional Expertise on Boards, Corporate Lifecycle, and Firm Performance",2016,2016-01-01,10.2139/ssrn.2802417,https://doi.org/10.2139/ssrn.2802417,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object],1,preprint,7,,,false,true,green,https://doi.org/10.2139/ssrn.2802417,Corporate Finance and Governance; Private Equity and Venture Capital; Working Capital and Financial Performance,2026-08-21T09:56:20.448147,2026-08-21T09:56:20.448147,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,A5035979998,W4225980188,Does Stakeholder Outrage Determine Executive Pay?,2022,2022-01-01,10.2139/ssrn.4053057,https://doi.org/10.2139/ssrn.4053057,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object]; [object Object]; [object Object],3,preprint,5,,,false,true,green,https://doi.org/10.2139/ssrn.4053057,"Corporate Finance and Governance; Corporate Social Responsibility Reporting; Auditing, Earnings Management, Governance",2026-08-21T09:56:20.448147,2026-08-21T09:56:20.448147,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,A5035979998,W4206482447,Finding the right fit: Value creation in activism through human capital,2021,2021-01-01,10.2139/ssrn.3983251,https://doi.org/10.2139/ssrn.3983251,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object],1,preprint,3,,,false,true,green,https://doi.org/10.2139/ssrn.3983251,"Corporate Finance and Governance; Auditing, Earnings Management, Governance; Nonprofit Sector and Volunteering",2026-08-21T09:56:20.448147,2026-08-21T09:56:20.448147,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,A5035979998,W4410528628,"Flora, Fauna, and Finance: Assessing Biodiversity Risk in Investment Portfolios",2025,2025-01-01,10.2139/ssrn.5260811,https://doi.org/10.2139/ssrn.5260811,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],8,preprint,3,,,false,true,green,https://doi.org/10.2139/ssrn.5260811,"Economic and Environmental Valuation; Conservation, Biodiversity, and Resource Management; Forest Management and Policy",2026-08-06T08:24:18.245995,2026-08-06T08:24:18.245995,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,A5035979998,W4411247906,Making money talk nicely: Biodiversity impact assessment for investors,2025,2025-01-01,10.2139/ssrn.5283115,https://doi.org/10.2139/ssrn.5283115,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],8,preprint,3,,,false,true,green,https://doi.org/10.2139/ssrn.5283115,"Environmental Conservation and Management; Community Development and Social Impact; Conservation, Biodiversity, and Resource Management",2026-08-04T08:18:43.703281,2026-08-04T08:18:43.703281,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,A5035979998,W4399016810,Layline insider trading dataset,2026,2026-05-21,10.7910/dvn/vh6gvh,https://doi.org/10.7910/dvn/vh6gvh,Harvard Dataverse,,,,[object Object],1,dataset,2,,,false,true,green,https://doi.org/10.7910/dvn/vh6gvh,Financial Markets and Investment Strategies,2026-08-21T09:56:20.448147,2026-08-21T09:56:20.448147,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,A5035979998,W3129858244,Firms that age well: life cycles and default risk,2021,2021-01-01,10.2139/ssrn.3777702,https://doi.org/10.2139/ssrn.3777702,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object]; [object Object]; [object Object],3,preprint,1,,,false,true,green,https://doi.org/10.2139/ssrn.3777702,Credit Risk and Financial Regulations; Corporate Finance and Governance; Firm Innovation and Growth,2026-08-04T08:18:43.703281,2026-08-04T08:18:43.703281,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
unimelb-finance-002,Dr Attila Balogh,A5035979998,W3133414627,Data Matching for Corporate Governance Research,2017,2017-01-01,10.2139/ssrn.3053405,https://doi.org/10.2139/ssrn.3053405,SSRN Electronic Journal,1556-5068,,1556-5068,[object Object],1,preprint,1,,,false,true,green,https://doi.org/10.2139/ssrn.3053405,SAS software applications and methods,2026-08-04T08:18:43.703281,2026-08-04T08:18:43.703281,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:51.808Z
