researcher_id,researcher_name,publication_id,relationship_source,researcher_match_method,researcher_match_confidence,requires_review,review_reason
unimelb-finance-001,Dr Gil Aharoni,unimelb-pub-39a6d6870d270946,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-001,Dr Gil Aharoni,unimelb-pub-a21c435db97b9f83,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-002,Dr Attila Balogh,unimelb-pub-94416679dbd70276,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-002,Dr Attila Balogh,unimelb-pub-84a30eed450ddbe2,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-002,Dr Attila Balogh,unimelb-pub-e252e2a2edceefd0,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-16232283efeef0c7,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-db6b77807348895b,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-6bc5fb85cfacba2f,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-0ac51fa05af0ebfe,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable
unimelb-finance-003,Dr Elizabeth Bowman,unimelb-pub-ec6269b28e314829,University of Melbourne Minerva author metadata,exact_normalized_full_name,medium,true,Name-only repository relationship; persistent identifier unavailable
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-e94da19b59ea9b87,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-e1550281807a9d26,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-5239d24e551c87a8,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-5faead8f241e8f46,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-b13e5dd7dd20f1bd,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-004,Associate Professor James Brugler,unimelb-pub-f3d02309b4effa46,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-5239d24e551c87a8,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-60a58888bc6d2483,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-910d448318acf57e,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-35dd7a9f40202ae5,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-faa737e1d8f56ec8,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-65a08dff28ad5ebb,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-8d0438dc3961fb24,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-37260b3ea4a7c283,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-60dba668162ce1fb,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-5faead8f241e8f46,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-b13e5dd7dd20f1bd,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-6e503aab053ec2d0,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-ae3633db31e38716,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-0a27d368082d85d9,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-875147a2dc41c6aa,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-006,Professor Carole Comerton-Forde,unimelb-pub-58cdab185f37d50f,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-007,Associate Professor Jonathan Dark,unimelb-pub-1a0a5813dc3bcc68,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-007,Associate Professor Jonathan Dark,unimelb-pub-5a744288f482c4e2,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-007,Associate Professor Jonathan Dark,unimelb-pub-2b8b03d878e2a0a4,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-007,Associate Professor Jonathan Dark,unimelb-pub-13cf8e2487ca6797,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-011,Dr Marina Gertsberg,unimelb-pub-9db1e24c7be49d51,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-011,Dr Marina Gertsberg,unimelb-pub-251521e09cb0fa59,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-cc5dab2d5af42997,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-cc037bd4ffd5e9cc,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-d0ac411d41ca146a,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-051c7430b4185e6f,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-feb992d01bb2f2b5,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-4022a37a6b0251b0,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-9b95e640733dde87,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-3fc97558323909f9,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-97a6f7aeb0ceac5a,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-012,Dr André Gygax,unimelb-pub-ad7f9abe4e169ea8,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-013,Professor John Handley,unimelb-pub-e40c2918f1c3fc01,University of Melbourne Minerva author metadata,exact_orcid,high,false,
unimelb-finance-013,Professor John Handley,unimelb-pub-48d1940d5c98f036,University of Melbourne Minerva author metadata,exact_orcid,high,false,
