researcher_id,researcher_name,profile_url,internal_id,orcid,repository_author_name,identity_match_method,identity_match_confidence,candidate_count,requires_review,review_reason
unimelb-finance-001,Dr Gil Aharoni,https://findanexpert.unimelb.edu.au/profile/144989,1207,0000-0001-5792-7171,"Aharoni, Gil",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-finance-002,Dr Attila Balogh,https://findanexpert.unimelb.edu.au/profile/954317,172695,0000-0002-7026-1965,"Balogh, Attila",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-finance-003,Dr Elizabeth Bowman,https://fbe.unimelb.edu.au/our-people/staff/finance/elizabeth-bowman,,,,exact_normalized_full_name_to_minerva_internal_author,ambiguous,2,true,Name maps to 2 internal IDs and 1 ORCIDs
unimelb-finance-004,Associate Professor James Brugler,https://findanexpert.unimelb.edu.au/profile/761748,117315,0000-0002-3905-6007,"Brugler, James",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-finance-005,Dr Shuang Chen,https://fbe.unimelb.edu.au/our-people/staff/finance/shuang-chen,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-finance-006,Professor Carole Comerton-Forde,https://findanexpert.unimelb.edu.au/profile/532357,25276,0000-0002-1618-0371,"Comerton-Forde, Carole",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-finance-007,Associate Professor Jonathan Dark,https://findanexpert.unimelb.edu.au/profile/181374,12012,0000-0002-7688-0193,"Dark, Jonathan",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-finance-008,Assaf Dekel,https://fbe.unimelb.edu.au/our-people/staff/finance/assaf-dekel,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-finance-009,Dr Juan Pablo Franco,https://findanexpert.unimelb.edu.au/profile/803361,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-finance-010,Jon Gauntlett,https://fbe.unimelb.edu.au/our-people/staff/finance/jon-gauntlett,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
unimelb-finance-011,Dr Marina Gertsberg,https://findanexpert.unimelb.edu.au/profile/955361,169936,0000-0003-4682-3654,"Gertsberg, Marina",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-finance-012,Dr André Gygax,https://findanexpert.unimelb.edu.au/profile/4210,223,0000-0001-7265-9400,"Gygax, Andre",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-finance-013,Professor John Handley,https://findanexpert.unimelb.edu.au/profile/116,14958,0000-0003-0734-5119,"Handley, John",exact_normalized_full_name_to_minerva_internal_author,high,1,false,
unimelb-finance-014,Allan Horsfall,https://fbe.unimelb.edu.au/our-people/staff/finance/allan-horsfall,,,,unmatched,none,0,true,No Minerva internal-author identity found in the departmental seed collection
