"researcher_id","researcher_name","academic_title","academic_level","inclusion_review_required","publication_count_in_minerva_collection","abdc_ranked_publication_count","abdc_a_star_count","abdc_a_count","abdc_b_count","abdc_c_count","unranked_publication_count"
"unimelb-finance-001","Dr Gil Aharoni","Senior Lecturer","C","false","2","1","1","0","0","0","1"
"unimelb-finance-002","Dr Attila Balogh","Senior Lecturer","C","false","3","1","0","1","0","0","2"
"unimelb-finance-003","Dr Elizabeth Bowman","Business Manager","","true","5","1","0","1","0","0","4"
"unimelb-finance-004","Associate Professor James Brugler","Associate Professor","D","false","6","6","4","1","1","0","0"
"unimelb-finance-005","Dr Shuang Chen","Senior Lecturer","C","true","0","0","0","0","0","0","0"
"unimelb-finance-006","Professor Carole Comerton-Forde","Professor","E","false","16","11","9","1","1","0","5"
"unimelb-finance-007","Associate Professor Jonathan Dark","Associate Professor","D","false","4","3","0","3","0","0","1"
"unimelb-finance-008","Assaf Dekel","Tutor - Education Focussed","","true","0","0","0","0","0","0","0"
"unimelb-finance-009","Dr Juan Pablo Franco","Postdoctoral Fellow","","true","0","0","0","0","0","0","0"
"unimelb-finance-010","Jon Gauntlett","Tutor - Education Focussed","","true","0","0","0","0","0","0","0"
"unimelb-finance-011","Dr Marina Gertsberg","Senior Lecturer","C","false","2","2","1","1","0","0","0"
"unimelb-finance-012","Dr André Gygax","Senior Lecturer","C","false","10","5","1","3","1","0","5"
"unimelb-finance-013","Professor John Handley","Professor","E","false","4","4","1","2","1","0","0"
"unimelb-finance-014","Allan Horsfall","Tutor - Education Focussed","","true","0","0","0","0","0","0","0"
"unimelb-finance-015","Associate Professor Joachim Inkmann","Associate Professor","D","false","2","2","0","2","0","0","0"
"unimelb-finance-016","Dr Eduard Inozemtsev","Senior Lecturer","C","false","1","1","1","0","0","0","0"
"unimelb-finance-017","Associate Professor Hae Won (Henny) Jung","Associate Professor","D","false","1","1","1","0","0","0","0"
"unimelb-finance-018","Associate Professor Patrick J. Kelly","Associate Professor","D","false","0","0","0","0","0","0","0"
"unimelb-finance-019","Dr Minsoo Kim","Senior Lecturer","C","true","0","0","0","0","0","0","0"
"unimelb-finance-020","Professor Paul Kofman","Professor","E","true","4","4","1","2","1","0","0"
"unimelb-finance-021","Associate Professor Asjeet Lamba","Associate Professor","D","false","3","2","0","2","0","0","1"
"unimelb-finance-022","Dr Gabriele Lattanzio","Senior Lecturer","C","true","1","1","1","0","0","0","0"
"unimelb-finance-023","Dr Natalie (Nhung) Le","Tutor - Education Focussed","","true","0","0","0","0","0","0","0"
"unimelb-finance-024","Tania Lee","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-finance-025","Dr Bob Li","Teaching Specialist","","true","0","0","0","0","0","0","0"
"unimelb-finance-026","Associate Professor Bryan Lim","Associate Professor","D","false","3","3","2","1","0","0","0"
"unimelb-finance-027","Associate Professor Andrea Lu","Associate Professor","D","false","1","1","1","0","0","0","0"
"unimelb-finance-028","Dr Lucie Lu","Senior Lecturer","C","true","0","0","0","0","0","0","0"
"unimelb-finance-029","Dr Maurice McCourt","Senior Lecturer","C","true","1","1","0","1","0","0","0"
"unimelb-finance-030","Dr Mrinal Mishra","Senior Lecturer","C","true","0","0","0","0","0","0","0"
"unimelb-finance-031","Professor Carsten Murawski","Professor","E","false","37","4","0","4","0","0","33"
"unimelb-finance-032","Professor Federico Nardari","Professor","E","false","1","1","0","1","0","0","0"
"unimelb-finance-033","Dr Gaby Nardari","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-finance-034","Dr Anthony Ng","Senior Lecturer","C","true","0","0","0","0","0","0","0"
"unimelb-finance-035","Dr Linh Nguyen","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-finance-036","Dr Hoonsuk Park","Senior Lecturer","C","true","1","1","1","0","0","0","0"
"unimelb-finance-037","Dr Hung (Harry) Viet Pham","Tutor - Education Focussed","","true","1","1","0","1","0","0","0"
"unimelb-finance-038","Associate Professor Sean Pinder","Associate Professor","D","false","8","7","0","7","0","0","1"
"unimelb-finance-039","Dr Chander Shekhar","Senior Lecturer","C","false","10","5","2","2","1","0","5"
"unimelb-finance-040","Dr Zhen Shi","Senior Lecturer","C","false","0","0","0","0","0","0","0"
"unimelb-finance-041","Bryan Tan","Tutor - Education Focussed","","true","0","0","0","0","0","0","0"
"unimelb-finance-042","Associate Professor Ekaterina Volkova","Associate Professor","D","false","3","2","1","0","1","0","1"
"unimelb-finance-043","Dr. Xiaoting Wei","Lecturer","B","true","0","0","0","0","0","0","0"
"unimelb-finance-044","Dr Nitin Yadav","Senior Lecturer","C","false","9","3","2","1","0","0","6"
"unimelb-finance-045","Dr Jun Yu","Senior Lecturer","C","true","0","0","0","0","0","0","0"
"unimelb-finance-046","Associate Professor Qi Zeng","Associate Professor","D","false","4","3","2","1","0","0","1"
"unimelb-finance-047","Associate Professor Zhuo Zhong","Associate Professor","D","false","1","1","1","0","0","0","0"
"unimelb-finance-048","Dr Yun (Tracy) Zhou","Tutor - Education Focussed","","true","1","1","0","1","0","0","0"
"unimelb-finance-049","Dr Silvia Zia","Lecturer","B","true","0","0","0","0","0","0","0"
