espace_id,name,journal_name,title,year,author_count,authors,quality_rank,sjr_quartile,doi,article_url,link,source,citation_percentile,cited_by_count,fwci,university,field_of_research,researcher_id,publication_id,issn,eissn,item_type,abdc_match_method,abdc_match_status,harvested_at
unimelb-accounting-027,Anne Lillis,Management Accounting Research,Using emphasis frames to embed values in the interpretation of multiple performance criteria,2025,3,"Martyn, P; Sweeney, B; Lillis, AM",A*,,10.1016/j.mar.2024.100914,https://doi.org/10.1016/j.mar.2024.100914,https://hdl.handle.net/11343/366485,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-027,abb0c310-a5e0-48dd-a180-96079e1ae662,1044-5005,,Journal Article,ISSN/eISSN,matched,2026-08-10T17:14:04.061Z
unimelb-accounting-027,Anne Lillis,Accounting Review,The Role of Subjectivity in Mitigating Incentive Contracting Risks,2022,3,"Lillis, AM; Malina, MA; Mundy, J",A*,,10.2308/TAR-2017-0652,https://doi.org/10.2308/TAR-2017-0652,https://hdl.handle.net/11343/281551,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-027,92a65f28-fa9e-5d11-a706-4324ea92c569,0001-4826,1558-7967,Journal Article,ISSN/eISSN,matched,2026-08-10T17:14:04.061Z
unimelb-accounting-027,Anne Lillis,Journal of Management Accounting Research,Performance Measurement System Design in Joint Strategy Settings,2008,2,"Lillis, AM; van Veen-Dirks, PMG",A*,,10.2308/jmar.2008.20.1.25,https://doi.org/10.2308/jmar.2008.20.1.25,https://hdl.handle.net/11343/27916,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-027,991c3471-ecf8-5514-a64f-01e04b98606f,1049-2127,1558-8033,Journal Article,ISSN/eISSN,matched,2026-08-10T17:14:04.061Z
unimelb-accounting-027,Anne Lillis,Qualitative Research in Accounting and Management,"Qualitative management accounting research: Rationale, pitfalls and potential: A comment on Vaivio (2008)",2008,1,"Lillis, A",A,,10.1108/11766090810910236,https://doi.org/10.1108/11766090810910236,https://hdl.handle.net/11343/29505,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-027,54126a3c-934f-5788-b1df-c439079eccb9,1176-6093,1758-7654,Journal Article,ISSN/eISSN,matched,2026-08-10T17:14:04.061Z
unimelb-accounting-027,Anne Lillis,Accounting Review,Profits versus Losses: Does Reporting an Accounting Loss Act as a Heuristic Trigger to Exercise the Abandonment Option and Divest Employees?,2007,2,"PINNUCK, M; LILLIS, A",A*,,10.2308/accr.2007.82.4.1031,https://doi.org/10.2308/accr.2007.82.4.1031,https://hdl.handle.net/11343/27921,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-027,e62d50f9-0786-5174-931f-57acdcce4f06,0001-4826,1558-7967,Journal Article,ISSN/eISSN,matched,2026-08-10T17:14:04.061Z
unimelb-accounting-027,Anne Lillis,Management Accounting Research,A multi-method approach to building causal performance maps from expert knowledge,2005,5,"Abernethy, MA; Horne, M; Lillis, AM; Malina, MA; Selto, FH",A*,,10.1016/j.mar.2005.03.003,https://doi.org/10.1016/j.mar.2005.03.003,https://hdl.handle.net/11343/29502,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-027,a85582c6-d1c6-59fe-a823-646905d36294,1044-5005,,Journal Article,ISSN/eISSN,matched,2026-08-10T17:14:04.061Z
unimelb-accounting-027,Anne Lillis,Journal of Management Accounting Research,Cross-Sectional Field Studies in Management Accounting Research—Closing the Gaps between Surveys and Case Studies,2005,2,"Lillis, AM; Mundy, J",A*,,10.2308/jmar.2005.17.1.119,https://doi.org/10.2308/jmar.2005.17.1.119,https://hdl.handle.net/11343/27906,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-027,1a22a373-6de3-5c96-902f-ba938a1b2c30,1049-2127,1558-8033,Journal Article,ISSN/eISSN,matched,2026-08-10T17:14:04.061Z
unimelb-accounting-027,Anne Lillis,Australian Accounting Review,Health Sector Performance Management,2005,2,"LILLIS, A; GRAFTON, J",B,,10.1111/j.1835-2561.2005.tb00297.x,https://doi.org/10.1111/j.1835-2561.2005.tb00297.x,https://hdl.handle.net/11343/26255,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-027,80f4c6f9-e073-55c5-8f72-4120ececcc30,1035-6908,1835-2561,Journal Article,ISSN/eISSN,matched,2026-08-10T17:14:04.061Z
unimelb-accounting-027,Anne Lillis,,The role of performance management and control systems in the implementation of public sector reforms: creating health care networks in Victoria,2005,2,"GRAFTON, JENNIFER; LILLIS, ANNE",,,,https://hdl.handle.net/11343/26256,https://hdl.handle.net/11343/26256,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-027,cc529f9a-d6f3-557e-a460-e5dc124a6584,,,Report,unmatched,unmatched,2026-08-10T17:14:04.061Z
unimelb-accounting-038,Bo Qin,Accounting and Business Research,Parent-subsidiary dispersion and ESG rating disparities: evidence from China,2026,4,"Li, B; Xu, X; Qin, B; Yang, X",A,,10.1080/00014788.2025.2518082,https://doi.org/10.1080/00014788.2025.2518082,https://hdl.handle.net/11343/364542,University of Melbourne Minerva Access,,,,University of Melbourne,Accounting,unimelb-accounting-038,4f1e8cc9-a895-4d7e-92a6-033d6af1ee4d,0001-4788,2159-4260,Journal Article,ISSN/eISSN,matched,2026-08-10T17:14:04.061Z
