researcher_name,discovered,in_business_journal,share,earliest_year,verdict
Suk Lee,186,2,1%,1958,probable name collision
Gordon Phillips,102,78,76%,1957,accepted
Fariborz Moshirian,69,68,99%,1993,accepted
Neil Warren,58,8,14%,1934,probable name collision
Amy Kwan,37,3,8%,2006,probable name collision
Lili Dai,35,0,0%,2007,probable name collision
Jianfeng Shen,19,0,0%,2006,probable name collision
Andrew Terry,17,8,47%,1988,accepted
Peter Swan,14,5,36%,1991,accepted
Gary Monroe,12,6,50%,1988,accepted
David Colwell,10,2,20%,2003,accepted
Ronald Masulis,10,10,100%,1984,accepted
Kristle Romero Cortes,10,2,20%,2012,accepted
Andrew Jackson,9,3,33%,2001,accepted
Yeejin Jang,9,0,0%,2022,probable name collision
Sander De Groote,8,0,0%,2017,probable name collision
Jonathan Reeves,8,8,100%,2000,accepted
Binh Tran-Nam,8,5,62%,1995,accepted
Noel Harding,7,3,43%,2007,accepted
Yiping Lin,7,0,0%,1992,probable name collision
Malcolm Miller,6,5,83%,1973,accepted
Roger Simnett,6,6,100%,1994,accepted
Ken Trotman,6,6,100%,1999,accepted
Elizabeth Carson,5,3,60%,2007,accepted
Linda Chang,5,2,40%,1994,accepted
Peter O'Neill,5,5,100%,2015,accepted
Jerry Parwada,5,5,100%,2006,accepted
Jason Zein,5,5,100%,2004,accepted
Dale Boccabella,4,4,100%,1999,accepted
Mandy Cheng,4,3,75%,2002,accepted
Mathieu Fournier,4,0,0%,2008,accepted
Alexandre Jeanneret,4,2,50%,2013,accepted
Evelyn Lai,4,0,0%,1997,accepted
Rachael Lewis,3,0,0%,2004,accepted
Natalie Oh,3,3,100%,2006,accepted
Michael Walpole,3,0,0%,1976,accepted
Alexander Dickerson,2,1,50%,2004,accepted
Kingsley Fong,2,2,100%,2001,accepted
Helen Kang,2,0,0%,2008,accepted
Youngdeok Lim,2,0,0%,2007,accepted
Elvira Sojli,2,2,100%,2007,accepted
Wing Wah Tham,2,2,100%,2015,accepted
Zhaoxia Xu,2,0,0%,2005,accepted
Maria Balatbat,1,0,0%,2011,accepted
Rodney Brown,1,0,0%,1981,accepted
Zongxi Chen,1,0,0%,2026,accepted
Demi Chung,1,1,100%,2005,accepted
Jeff Coulton,1,1,100%,2005,accepted
Hien Hoang,1,0,0%,2026,accepted
Ann Kayis-Kumar,1,1,100%,2019,accepted
Yee Shih Phua,1,1,100%,2011,accepted
Rik Sen,1,1,100%,2025,accepted
Robert Tumarkin,1,1,100%,2002,accepted
