researcher_name,researcher_profile_url,university,field_of_research,title,journal_name,year,publication_type,doi,article_url,coauthors,author_count,volume,pages,publisher,citation_percentile,source,citation_top_10_percent,cited_by_count,fwci,issn,openalex_id,author_match_type,openalex_author_id
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Inclusion in Cost Base of Investment Property of Interest Denied Deductibility under a Split Loan Because of Part IVA: Some Follow Up Analysis,Bond Law Review,2005,Journal Articles,10.53300/001c.5473,https://doi.org/10.53300/001c.5473,Dale Boccabella,1,17,,Bond University,0.27604787,OpenAlex,False,0,0.0,1033-4505,W2173038681,name+institution,A5058627756
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Extinguishment of tax attributes (eg losses) on death under Australia's income tax is anomalous and inequitable,Australian Tax Forum,2013,Journal Articles,,,Dale Boccabella,1,28,439,,0.23561919,OpenAlex,False,0,0.0,,W2342238539,name+institution,A5058627756
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,"Continuity of business tests facilitate the transfer of tax attributes under Australia's income tax: technical issues and policy justification. [This article is based on a thesis submitted by the author as part of the requirements for the award of the Master of Laws (Honours) degree in the Faculty of Law, University of Sydney.]",Australian Tax Forum,1999,Journal Articles,,,Dale Boccabella,1,15,243,,0.31406959,OpenAlex,False,0,0.0,,W2474784235,name+institution,A5058627756
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,ATO’s Determination on CGT Cost Base Inclusion for Interest Expenditure Denied Deductibility under Split Loans because Part IVA is Flawed and Misleading,Revenue Law Journal,2005,Journal Articles,10.53300/001c.6683,https://doi.org/10.53300/001c.6683,Dale Boccabella,1,15,,Bond University,0.0033428,OpenAlex,False,0,0.0,1034-7747,W8909986,name+institution,A5058627756
Elizabeth Carson,https://www.unsw.edu.au/staff/elizabeth-carson,UNSW Sydney,Accounting,Audit Reporting for Going-Concern Uncertainty: A Research Synthesis,Auditing A Journal of Practice & Theory,2012,Journal Articles,10.2308/ajpt-50324,https://doi.org/10.2308/ajpt-50324,Elizabeth Carson; Neil Fargher; Marshall A. Geiger; Clive S. Lennox; K. Raghunandan; Marleen Willekens,6,32,353-384,American Accounting Association,0.99492186,OpenAlex,True,373,27.7317,0278-0380,W3123890019,name+institution,A5102739755
Elizabeth Carson,https://www.unsw.edu.au/staff/elizabeth-carson,UNSW Sydney,Accounting,Note on audit fee premiums to client size and industry specialization,Accounting and Finance,2007,Journal Articles,10.1111/j.1467-629x.2007.00213.x,https://doi.org/10.1111/j.1467-629x.2007.00213.x,Elizabeth Carson; Neil Fargher,2,47,423-446,Wiley,0.96886098,OpenAlex,True,109,7.9125,0810-5391,W2092755937,name+institution,A5102739755
Elizabeth Carson,https://www.unsw.edu.au/staff/elizabeth-carson,UNSW Sydney,Accounting,Audit Reports in Australia during the Global Financial Crisis,Australian Accounting Review,2011,Journal Articles,10.1111/j.1835-2561.2010.00118.x,https://doi.org/10.1111/j.1835-2561.2010.00118.x,Yang Xu; Alicia Jiang; Neil Fargher; Elizabeth Carson,4,21,22-31,Wiley,0.97181971,OpenAlex,True,71,7.3424,1035-6908,W2120533754,name+institution,A5102739755
Linda Chang,https://www.unsw.edu.au/staff/linda-chang,UNSW Sydney,Accounting,Managing intellectual capital in a professional service firm: exploring the creativity–productivity paradox,Management Accounting Research,2003,Journal Articles,10.1016/j.mar.2003.10.004,https://doi.org/10.1016/j.mar.2003.10.004,Linda Chang; Bill Birkett,2,15,7-31,Elsevier BV,0.94871071,OpenAlex,True,111,4.9347,1044-5005,W2171228440,name+institution,A5048806060
Linda Chang,https://www.unsw.edu.au/staff/linda-chang,UNSW Sydney,Accounting,"Business's environmental responsibility in Taiwan ? Moral, legal or negotiated",Journal of Business Ethics,1994,Journal Articles,10.1007/bf00871702,https://doi.org/10.1007/bf00871702,Peihua Sheng; Linda Chang; Warren A. French,3,13,887-897,Springer Science+Business Media,0.8365105,OpenAlex,False,10,1.1723,0167-4544,W2015538040,name+institution,A5048806060
Mandy Cheng,https://www.unsw.edu.au/staff/mandy-cheng,UNSW Sydney,Accounting,Persistence in capital budgeting reinvestment decisions – personal responsibility antecedent and information asymmetry moderator: A note,Accounting and Finance,2002,Journal Articles,10.1111/1467-629x.00004,https://doi.org/10.1111/1467-629x.00004,Axel Schulz; Mandy M. Cheng,2,42,73-86,Wiley,0.84801781,OpenAlex,False,43,1.1286,0810-5391,W3121372918,name+institution,A5017140509
