researcher_name,researcher_profile_url,university,field_of_research,title,journal_name,year,publication_type,doi,article_url,coauthors,author_count,volume,pages,publisher,citation_percentile,source,citation_top_10_percent,cited_by_count,fwci,issn,openalex_id,author_match_type,openalex_author_id,review_reason
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Risk associated with managed investment primary production projects,International Journal of Project Organisation and Management,2011,Journal Articles,10.1504/ijpom.2011.042033,https://doi.org/10.1504/ijpom.2011.042033,David G. Carmichael; Maria C. A. Balatbat,2,3,273-273,Inderscience Publishers,0.82909673,OpenAlex,False,4,0.7567,1740-2891,W2050797327,name+institution,A5087570372,journal is not on the ABDC list
Rodney Brown,https://www.unsw.edu.au/staff/rodney-brown,UNSW Sydney,Accounting,Preferential codon usage in genes,Gene,1981,Journal Articles,10.1016/0378-1119(81)90015-9,https://doi.org/10.1016/0378-1119(81)90015-9,Simon Wain–Hobson; Ruth Nussinov; Rodney J. Brown; Joel L. Sussman,4,13,355-364,Elsevier BV,0.96183676,OpenAlex,True,63,4.9754,0378-1119,W2039338119,name+institution,A5112425101,journal is not on the ABDC list
Elizabeth Carson,https://www.unsw.edu.au/staff/elizabeth-carson,UNSW Sydney,Accounting,Choosing Wisely in Pre-clinical Medical Education: a Direct Comparison of Active Learning Methods for Teaching Metabolic Liver Disease,Medical Science Educator,2019,Journal Articles,10.1007/s40670-019-00821-2,https://doi.org/10.1007/s40670-019-00821-2,Elizabeth Carson; Rebecca Wilcox,2,30,139-146,Springer Science+Business Media,0.7347226,OpenAlex,False,6,0.6408,2156-8650,W2982322564,name+institution,A5102739755,journal is not on the ABDC list
Elizabeth Carson,https://www.unsw.edu.au/staff/elizabeth-carson,UNSW Sydney,Accounting,Audit reports in Australia : 2005-2013: Preliminary Findings,QUT Business School,2014,Journal Articles,,,Elizabeth Carson; Yuyu Zhang; Neil Fargher,3,,,,0.00112578,OpenAlex,False,0,0.0,,W9047450,name+institution,A5102739755,journal is not on the ABDC list
Linda Chang,https://www.unsw.edu.au/staff/linda-chang,UNSW Sydney,Accounting,Sketchy: Drawing Inspiration from the Crowd,Proceedings of the ACM on Human-Computer Interaction,2020,Journal Articles,10.1145/3415243,https://doi.org/10.1145/3415243,Shaun Wallace; Brendan Le; Luis A. Leiva; Aman Haq; Ari Kintisch; Gabrielle Bufrem; Linda Chang; Jeff Huang,8,4,1-27,Association for Computing Machinery,0.90220432,OpenAlex,True,31,2.6996,2573-0142,W3093594662,name+institution,A5048806060,journal is not on the ABDC list
Linda Chang,https://www.unsw.edu.au/staff/linda-chang,UNSW Sydney,Accounting,The Effects of Using CALL on Advanced Chinese Foreign Language Learners,CALICO Journal,2007,Journal Articles,10.1558/cj.v24i2.331-354,https://doi.org/10.1558/cj.v24i2.331-354,Linda Chang,1,24,331-354,Equinox Publishing,0.96186855,OpenAlex,True,25,6.7114,0742-7778,W1855179145,name+institution,A5048806060,journal is not on the ABDC list
Linda Chang,https://www.unsw.edu.au/staff/linda-chang,UNSW Sydney,Accounting,Aligning principal and agent’s incentives: A principal–agent perspective of social networking sites,Expert Systems with Applications,2013,Journal Articles,10.1016/j.eswa.2013.10.040,https://doi.org/10.1016/j.eswa.2013.10.040,Linda Chang; Victor Chen,2,41,3091-3104,Elsevier BV,0.84241716,OpenAlex,False,18,0.9582,0957-4174,W2004442441,name+institution,A5048806060,journal is not on the ABDC list
Zongxi Chen,https://www.unsw.edu.au/staff/zongxi-chen,UNSW Sydney,Accounting,Some three-weight linear codes and their complete weight enumerators and weight hierarchies,Designs Codes and Cryptography,2026,Journal Articles,10.1007/s10623-025-01747-0,https://doi.org/10.1007/s10623-025-01747-0,Xiumei Li; Zongxi Chen; Fei Li,3,94,,Springer Nature,0.07505667,OpenAlex,False,0,0.0,0925-1022,W7125376832,name+institution,A5123542660,journal is not on the ABDC list
Mandy Cheng,https://www.unsw.edu.au/staff/mandy-cheng,UNSW Sydney,Accounting,Automatic categorization of self-acknowledged limitations in randomized controlled trial publications,Journal of Biomedical Informatics,2024,Journal Articles,10.1016/j.jbi.2024.104628,https://doi.org/10.1016/j.jbi.2024.104628,Mengfei Lan; Mandy M. Cheng; Linh Hoang; Gerben ter Riet; Halil Kilicoglu,5,152,104628-104628,Elsevier BV,0.88318882,OpenAlex,False,8,2.3382,1532-0464,W4393187322,name+institution,A5017140509,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Model-agnostic explainable artificial intelligence for object detection in image data,Engineering Applications of Artificial Intelligence,2024,Journal Articles,10.1016/j.engappai.2024.109183,https://doi.org/10.1016/j.engappai.2024.109183,Milad Moradi; Ke Yan; David B. Colwell; Matthias Samwald; Rhona Asgari,5,137,109183-109183,Elsevier BV,0.95249257,OpenAlex,True,20,4.6169,0952-1976,W4401928363,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,A Critical Review of Methods and Challenges in Large Language Models,"Computers, materials & continua/Computers, materials & continua (Print)",2025,Journal Articles,10.32604/cmc.2025.061263,https://doi.org/10.32604/cmc.2025.061263,Rhona Asgari; Milad Moradi; Ke Yan; David B. Colwell; Matthias Samwald,5,82,1681-1698,,0.98580005,OpenAlex,True,13,13.7833,1546-2218,W4407048461,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,A jump diffusion model for spot electricity prices and market price of risk,Physica A Statistical Mechanics and its Applications,2013,Journal Articles,10.1016/j.physa.2013.03.026,https://doi.org/10.1016/j.physa.2013.03.026,Ramaprasad Bhar; David B. Colwell; Yuewen Xiao,3,392,3213-3222,Elsevier BV,0.86255249,OpenAlex,False,11,1.616,0378-4371,W2075066899,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Component Structure of Credit Default Swap Spreads and Their Determinants,International Journal of Accounting and Financial Reporting,2018,Journal Articles,10.5296/ijafr.v8i4.13811,https://doi.org/10.5296/ijafr.v8i4.13811,Ramaprasad Bhar; David B. Colwell; Peipei Wang,3,8,248-248,Macrothink Institute,0.66990765,OpenAlex,False,2,0.2769,2162-3082,W3125457254,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Resource conservation,Transactions of the IMF,2007,Journal Articles,10.1179/174591907x216477,https://doi.org/10.1179/174591907x216477,David B. Colwell,1,85,176-177,Taylor & Francis,0.66613599,OpenAlex,False,1,0.0,0020-2967,W4243004508,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Legal Update—a stay-out-of-jail card in the monopoly maze of environmental health and safety legislation,Transactions of the IMF,2003,Journal Articles,10.1080/00202967.2003.11871497,https://doi.org/10.1080/00202967.2003.11871497,David B. Colwell,1,81,B49-B50,Taylor & Francis,0.48783109,OpenAlex,False,0,0.0,0020-2967,W2612156042,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,RoHS Compliance,Transactions of the IMF,2007,Journal Articles,10.1179/imf.2007.85.2.65,https://doi.org/10.1179/imf.2007.85.2.65,David B. Colwell,1,85,65-65,Taylor & Francis,0.42276649,OpenAlex,False,0,0.0,0020-2967,W4238757341,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Artificial intelligence for context-aware visual change detection in software test automation,Progress in Artificial Intelligence,2025,Journal Articles,10.1007/s13748-025-00408-6,https://doi.org/10.1007/s13748-025-00408-6,Milad Moradi; Ke Yan; David B. Colwell; Rhona Asgari,4,,,Springer Science+Business Media,0.094174,OpenAlex,False,0,0.0,2192-6352,W4414847189,name+institution,A5069756293,journal is not on the ABDC list
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,"Nearly a decade‐long repeatable seasonal diversity patterns of bacterioplankton communities in the eutrophic Lake Donghu (Wuhan, China)",Molecular Ecology,2017,Journal Articles,10.1111/mec.14151,https://doi.org/10.1111/mec.14151,Qingyun Yan; James Stegen; Yuhe Yu; Ye Deng; Xinghao Li; Shu Wu; Lili Dai; Xiang Zhang; Jinjin Li; Chun Wang; Jiajia Ni; Xuemei Li; Hongjuan Hu; Fanshu Xiao; Weisong Feng; Daliang Ning; Zhili He; Joy D. Van Nostrand; Liyou Wu; Jizhong Zhou,20,26,3839-3850,Wiley,0.97652016,OpenAlex,True,101,7.7096,0962-1083,W2609191255,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,An apoptotic body-biomimic liposome in situ upregulates anti-inflammatory macrophages for stabilization of atherosclerotic plaques,Journal of Controlled Release,2019,Journal Articles,10.1016/j.jconrel.2019.10.043,https://doi.org/10.1016/j.jconrel.2019.10.043,Yue Wu; Yong Zhang; Lili Dai; Qianqian Wang; Lingjing Xue; Zhigui Su; Can Zhang,7,316,236-249,Elsevier BV,0.88150272,OpenAlex,False,78,2.0757,0168-3659,W2982621771,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Organic Matter Regulates Ammonia-Oxidizing Bacterial and Archaeal Communities in the Surface Sediments of Ctenopharyngodon idellus Aquaculture Ponds,Frontiers in Microbiology,2018,Journal Articles,10.3389/fmicb.2018.02290,https://doi.org/10.3389/fmicb.2018.02290,Lili Dai; Chengqing Liu; Liqin Yu; Chaofeng Song; Liang Peng; Xiaoli Li; Ling Tao; Li Gu,8,9,2290-2290,Frontiers Media,0.88918449,OpenAlex,False,76,2.3771,1664-302X,W2893903490,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Different distribution patterns of microorganisms between aquaculture pond sediment and water,The Journal of Microbiology,2021,Journal Articles,10.1007/s12275-021-0635-5,https://doi.org/10.1007/s12275-021-0635-5,Lili Dai; Chengqing Liu; Liang Peng; Chaofeng Song; Xiaoli Li; Ling Tao; Li Gu,7,59,376-388,Springer Science+Business Media,0.95250881,OpenAlex,True,49,4.7652,1225-8873,W3132042249,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
