name,profile_url,university,field_of_research,job_title,academic_level
Jennie Granger,https://www.unsw.edu.au/staff/jennie-granger,UNSW Sydney,Accounting,Professor,E
Ed Harbor,https://www.unsw.edu.au/staff/ed-harbor,UNSW Sydney,Accounting,Lecturer,B
Jing Lu,https://www.unsw.edu.au/staff/jing-lu,UNSW Sydney,Finance,Lecturer,B
Faiza Majid,https://www.unsw.edu.au/staff/faiza-majid,UNSW Sydney,Finance,Senior Lecturer,C
Peter O'Neill,https://www.unsw.edu.au/staff/peter-o-neill,UNSW Sydney,Finance,Senior Lecturer,C
Gordon Phillips,https://www.unsw.edu.au/staff/gordon-phillips,UNSW Sydney,Finance,Professor,E
Edward Shore,https://www.unsw.edu.au/staff/edward-shore,UNSW Sydney,Finance,Lecturer,B
Michael Triguboff,https://www.unsw.edu.au/staff/michael-triguboff,UNSW Sydney,Finance,Adjunct Professor,E
Su-Ming Wong,https://www.unsw.edu.au/staff/su-ming-wong,UNSW Sydney,Finance,Professor,E
Fahim Khondaker,https://www.unsw.edu.au/staff/fahim-khondaker,UNSW Sydney,Accounting,,E
