researcher_name,researcher_profile_url,university,field_of_research,title,journal_name,year,publication_type,doi,article_url,coauthors,volume,pages,publisher,abdc_self_reported,citation_percentile,source
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Does Self-certification Encourage or Reduce Escalation of Commitment?,Behavioral Research in Accounting,2016,Journal articles,10.2308/bria-51468,http://dx.doi.org/10.2308/bria-51468,Ang N; Cheng M,28,pp. 1 - 16,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The Utilization of Quantitative and Qualitative Information in Groups' Capital Investment Decisions,Behavioral Research in Accounting,2015,Journal articles,10.2308/bria-50917,http://dx.doi.org/10.2308/bria-50917,Ang NP; Trotman KT,27,pp. 1 - 24,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Fifty-year Overview of Judgment and Decision-making Research in Accounting.,Accounting and Finance,2011,Journal articles,10.1111/j.1467-629X.2010.00398.x,http://dx.doi.org/10.1111/j.1467-629X.2010.00398.x,Trotman KT; Ang N; Tan HC,51,pp. 278 - 360,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The incentives of Australian public companies lobbying against proposed superannuation accounting standards,ABACUS,2000,Journal articles,10.1111/1467-6281.00053,http://dx.doi.org/10.1111/1467-6281.00053,Ang N; Gallery G; Sidhu BK,36,pp. 40 - 70,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The value relevance of superannuation disclosures by Australian-listed firms sponsoring defined benefit plans,Accounting and Finance,1999,Journal articles,10.1111/1467-629X.00024,http://dx.doi.org/10.1111/1467-629X.00024,Ang NP; Gallery G; Sidhu BK,39,pp. 205 - 228,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Honesty in Managerial Reporting: The Impact of An Enabling Management Control System and Informal Cost Targets,Honesty in Managerial Reporting: The Impact of An Enabling Management Control System and Informal Cost Targets,2015,Conference Papers,,,Izani R; Cheng M; Ang NP,,,Accounting and Finance Association of Australia and New Zealand,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Do Informal Controls Encourage or Reduce Escalation of Commitment? The Effect of Self-certification on Capital Investment Decisions,"""Do Informal Controls Encourage or Reduce Escalation of Commitment? The Effect of Self-certification on Capital Investment Decisions""",2011,Conference Papers,,,Ang N; Cheng M,,,Accounting Behavior and Organizations conference,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The Utilisation of Quantitative Information in Groups' Capital Investment Decisions,,2009,Conference Papers,,,Ang N; Trotman KT,,,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The utilisation of Quantitative Information in Groups' capital investment decisions,,2009,Theses / Dissertations,,,Ang NP,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,An alternative valuation of energy options for atypical markets,Handbook of Energy Finance Theories Practices and Simulations,2020,Book Chapters,10.1142/9789813278387_0024,http://dx.doi.org/10.1142/9789813278387_0024,Carmichael DG; Balatbat MCA,,pp. 579 - 594,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,An Alternative Valuation of Energy Options for Atypical Markets,"Handbook of Energy Finance: Theories, Practices and Simulations",2019,Book Chapters,10.1142/11213,http://dx.doi.org/10.1142/11213,Carmichael DG; Balatbat MCA,,,World Scientific Publishing,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Management efficiency performance of construction businesses: Australian data,Built Environment and Property Management - A Focus on Australia,2015,Book Chapters,10.1108/09699981111111120,http://dx.doi.org/10.1108/09699981111111120,Balatbat MCA; Lin C-Y; Carmichael DG,,pp. 21 - 42,Emerald Group Publishing Limited,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Towards Credible GHG Reporting: The Role of GHG Assurance and Assurance Providers in Firm Valuation,Abacus,2026,Journal articles,10.1111/abac.70033,http://dx.doi.org/10.1111/abac.70033,Bose S; Balatbat M; Green W,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The financial additionality and viability of CDM projects allowing for uncertainty,"Environment, Development and Sustainability",2016,Journal articles,10.1007/s10668-015-9630-5,http://dx.doi.org/10.1007/s10668-015-9630-5,Carmichael DG; Lea KA; Balatbat MCA,18,pp. 129 - 141,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A proposed framework for assessing the sustainability of infrastructure,International Journal of Construction Management,2016,Journal articles,10.1080/15623599.2016.1146115,http://dx.doi.org/10.1080/15623599.2016.1146115,Siew RYJ; Balatbat MCA; Carmichael DG,16,pp. 281 - 298,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Measuring project sustainability maturity level - A fuzzy-based approach,International Journal of Sustainable Development,2016,Journal articles,10.1504/IJSD.2016.073680,http://dx.doi.org/10.1504/IJSD.2016.073680,Siew RYJ; Balatbat MCA; Carmichael DG,19,pp. 76 - 100,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The impact of ESG disclosures and institutional ownership on market information asymmetry,Asia-Pacific Journal of Accounting and Economics,2016,Journal articles,10.1080/16081625.2016.1170100,http://dx.doi.org/10.1080/16081625.2016.1170100,Siew RYJ; Balatbat MCA; Carmichael DG,23,pp. 432 - 448,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Improving the attractiveness of CDM projects through allowing and incorporating options,Energy Policy,2015,Journal articles,10.1016/j.enpol.2015.08.024,http://dx.doi.org/10.1016/j.enpol.2015.08.024,Carmichael DG; Ballouz JJ; Balatbat MCA,86,pp. 784 - 791,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The impact of litigation risk on the strategic timing of management earnings forecasts,Accounting and Finance,2015,Journal articles,10.1111/acfi.12065,http://dx.doi.org/10.1111/acfi.12065,Jackson AB; Gallery G; Balatbat MCA,55,pp. 467 - 495,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Review of Building/Infrastructure Sustainability Reporting Tools (SRTs),Smart and Sustainable Built Environment,2013,Journal articles,10.1108/SASBE-03-2013-0010,http://dx.doi.org/10.1108/SASBE-03-2013-0010,Siew RYJ; Balatbat MCA; Carmichael DG,2,pp. 106 - 139,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Relationship between Sustainability Practices and Financial Performance of Construction Companies,Smart and Sustainable Built Environment,2013,Journal articles,10.1108/20466091311325827,http://dx.doi.org/10.1108/20466091311325827,Siew RYJ; Balatbat MCA; Carmichael DG,2,pp. 6 - 27,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Does consideration matter to China’s split share structure reform?,Accounting and Finance,2012,Journal articles,10.1111/j.1467-629X.2011.00400.x,http://dx.doi.org/10.1111/j.1467-629X.2011.00400.x,Balatbat MC; Czernkowski R; Lu F,52,pp. 439 - 466,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Performance Risk Associated with Renewable Energy CDM Projects,Journal of Management in Engineering,2012,Journal articles,10.1061/(ASCE)ME.1943-5479.0000090,http://dx.doi.org/10.1061/(ASCE)ME.1943-5479.0000090,Balatbat MC; Findlay E; Carmichael DG,28,pp. 51 - 58,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Management Efficiency Performance of Construction Businesses – Australian Data,"Engineering, Construction and Architectural Management",2011,Journal articles,10.1108/09699981111111120,http://dx.doi.org/10.1108/09699981111111120,Balatbat MCA; Lin C; Carmichael DG,18,pp. 140 - 158,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,On the Analysis of Property Unit Sales over Time,International Journal of Strategic Property Management,2011,Journal articles,10.3846/1648715X.2011.631765,http://dx.doi.org/10.3846/1648715X.2011.631765,Carmichael DG; Balatbat MCA,15,pp. 329 - 339,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Australian Construction Growth Ratios: Industry and Company Analyses,The International Journal of Construction Management,2010,Journal articles,10.1080/15623599.2010.10773153,http://dx.doi.org/10.1080/15623599.2010.10773153,Balatbat MCA; Lin C; Carmichael DG,10,pp. 23 - 43,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Comparative Performance of Publicly Listed Construction Companies: Australian Evidence,Construction Management and Economics,2010,Journal articles,10.1080/01446193.2010.501805,http://dx.doi.org/10.1080/01446193.2010.501805,Balatbat MCA; Lin C; Carmichael DG,28,pp. 919 - 932,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Contractor's Analysis of the Likelihood of Payment of Claims,Journal of Financial management of property and construction,2010,Journal articles,10.1108/13664381011063412,http://dx.doi.org/10.1108/13664381011063412,Carmichael DG; Balatbat MCA,15,pp. 102 - 117,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Review and Study of Project Investment Cash Flow Correlations,International Journal of Project Planning and Finance,2010,Journal articles,,http://www.cidighana.org/pages/index.php?siteid=cidighana&page=current-issue,Carmichael DG; Balatbat MCA,1,pp. 1 - 21,,,,UNSW staff profile
