researcher_name,researcher_profile_url,university,field_of_research,title,journal_name,year,publication_type,doi,article_url,coauthors,author_count,volume,pages,publisher,abdc_self_reported,citation_percentile,source,citation_top_10_percent,cited_by_count,fwci,issn,openalex_id
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Does Self-certification Encourage or Reduce Escalation of Commitment?,Behavioral Research in Accounting,2016,Journal articles,10.2308/bria-51468,http://dx.doi.org/10.2308/bria-51468,Ang N; Cheng M,2,28,pp. 1 - 16,,,0.83468769,UNSW staff profile,False,12,1.1382,1050-4753,W2339484496
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The Utilization of Quantitative and Qualitative Information in Groups' Capital Investment Decisions,Behavioral Research in Accounting,2015,Journal articles,10.2308/bria-50917,http://dx.doi.org/10.2308/bria-50917,Ang NP; Trotman KT,2,27,pp. 1 - 24,,,0.7300635,UNSW staff profile,False,13,0.4004,1050-4753,W2125457838
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Fifty-year Overview of Judgment and Decision-making Research in Accounting.,Accounting and Finance,2011,Journal articles,10.1111/j.1467-629X.2010.00398.x,http://dx.doi.org/10.1111/j.1467-629X.2010.00398.x,Trotman KT; Ang N; Tan HC,3,51,pp. 278 - 360,,,0.98351205,UNSW staff profile,True,133,13.4458,0810-5391,W2052544672
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The incentives of Australian public companies lobbying against proposed superannuation accounting standards,ABACUS,2000,Journal articles,10.1111/1467-6281.00053,http://dx.doi.org/10.1111/1467-6281.00053,Ang N; Gallery G; Sidhu BK,3,36,pp. 40 - 70,,,0.96103896,UNSW staff profile,True,57,6.4153,0001-3072,W2050564022
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The value relevance of superannuation disclosures by Australian-listed firms sponsoring defined benefit plans,Accounting and Finance,1999,Journal articles,10.1111/1467-629X.00024,http://dx.doi.org/10.1111/1467-629X.00024,Ang NP; Gallery G; Sidhu BK,3,39,pp. 205 - 228,,,0.91139756,UNSW staff profile,True,15,2.5898,0810-5391,W1982675088
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Towards Credible GHG Reporting: The Role of GHG Assurance and Assurance Providers in Firm Valuation,Abacus,2026,Journal articles,10.1111/abac.70033,http://dx.doi.org/10.1111/abac.70033,Bose S; Balatbat M; Green W,3,,,,,0.31498976,UNSW staff profile,False,0,0.0,0001-3072,W7153781940
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The financial additionality and viability of CDM projects allowing for uncertainty,"Environment, Development and Sustainability",2016,Journal articles,10.1007/s10668-015-9630-5,http://dx.doi.org/10.1007/s10668-015-9630-5,Carmichael DG; Lea KA; Balatbat MCA,3,18,pp. 129 - 141,,,0.96234897,UNSW staff profile,True,17,6.5318,1387-585X,W2038048914
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A proposed framework for assessing the sustainability of infrastructure,International Journal of Construction Management,2016,Journal articles,10.1080/15623599.2016.1146115,http://dx.doi.org/10.1080/15623599.2016.1146115,Siew RYJ; Balatbat MCA; Carmichael DG,3,16,pp. 281 - 298,,,0.85985833,UNSW staff profile,False,31,2.1598,1562-3599,W2329052580
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Measuring project sustainability maturity level - A fuzzy-based approach,International Journal of Sustainable Development,2016,Journal articles,10.1504/IJSD.2016.073680,http://dx.doi.org/10.1504/IJSD.2016.073680,Siew RYJ; Balatbat MCA; Carmichael DG,3,19,pp. 76 - 100,,,0.8652871,UNSW staff profile,False,16,1.6467,0960-1406,W2282501913
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The impact of ESG disclosures and institutional ownership on market information asymmetry,Asia-Pacific Journal of Accounting and Economics,2016,Journal articles,10.1080/16081625.2016.1170100,http://dx.doi.org/10.1080/16081625.2016.1170100,Siew RYJ; Balatbat MCA; Carmichael DG,3,23,pp. 432 - 448,,,0.94198854,UNSW staff profile,True,118,4.2924,1608-1625,W2336378527
